
[00:00:00.000 --> 00:00:02.000]  第一個訊息是聖誕節的話
[00:00:02.000 --> 00:00:05.440]  弟兄姊妹說聖誕節快樂好不好
[00:00:05.440 --> 00:00:07.680]  和你旁邊左右的弟兄姊妹好不好
[00:00:07.680 --> 00:00:09.440]  聖誕節快樂
[00:00:09.440 --> 00:00:13.200]  看看你們的樣子
[00:00:13.200 --> 00:00:16.160]  剛才看見大家的樣子
[00:00:16.160 --> 00:00:17.600]  看不到你的嘴巴
[00:00:17.600 --> 00:00:18.720]  但是你的笑容
[00:00:18.720 --> 00:00:21.440]  令我想起香港的夜景
[00:00:21.440 --> 00:00:24.480]  在聖誕節有沒有人在尖東海旁走過的
[00:00:24.480 --> 00:00:25.360]  舉手給我看看
[00:00:25.360 --> 00:00:27.280]  哇好多喔
[00:00:27.280 --> 00:00:28.000]  你記不記得
[00:00:28.000 --> 00:00:29.680]  我很多年前走了
[00:00:29.680 --> 00:00:31.520]  走的時候有很多人在唱歌
[00:00:31.520 --> 00:00:32.560]  有東西賣
[00:00:32.560 --> 00:00:33.920]  有煙花
[00:00:33.920 --> 00:00:34.800]  應該是吧
[00:00:34.800 --> 00:00:35.840]  我上網找的
[00:00:35.840 --> 00:00:36.400]  OK
[00:00:36.400 --> 00:00:41.040]  商業那些公司用了很多心思
[00:00:41.040 --> 00:00:42.880]  弄了很多燈光來裝飾
[00:00:42.880 --> 00:00:44.080]  氣氛是不是一流
[00:00:44.080 --> 00:00:45.120]  正啊
[00:00:45.120 --> 00:00:45.840]  正得無比
[00:00:45.840 --> 00:00:46.320]  是不是
[00:00:46.320 --> 00:00:47.440]  移民到美國
[00:00:47.440 --> 00:00:48.160]  有沒有這些的
[00:00:48.160 --> 00:00:50.720]  不是這一隻
[00:00:50.720 --> 00:00:51.840]  是另外一隻
[00:00:51.840 --> 00:00:52.400]  是不是
[00:00:52.400 --> 00:00:54.560]  有沒有人像他們那樣
[00:00:54.560 --> 00:00:56.800]  在家門口弄一些聖誕燈飾的
[00:00:57.440 --> 00:00:58.720]  可不可以舉手給我看看
[00:00:58.720 --> 00:01:01.040]  哇好厲害
[00:01:01.040 --> 00:01:02.560]  我想弄
[00:01:02.560 --> 00:01:04.080]  我太太經常叫我弄
[00:01:04.080 --> 00:01:05.040]  但是我覺得
[00:01:05.040 --> 00:01:07.280]  虛空弄完就拆
[00:01:07.280 --> 00:01:08.160]  看人的那些
[00:01:08.160 --> 00:01:09.360]  下次你家去看一下
[00:01:09.360 --> 00:01:09.920]  OK
[00:01:09.920 --> 00:01:12.160]  其實你看到每一間家
[00:01:12.160 --> 00:01:14.320]  這麼用心去裝飾
