
[00:00:00.000 --> 00:00:02.840]  我們繼續講出拉及記
[00:00:02.840 --> 00:00:07.440]  這是謝牧師每一年的一本書
[00:00:07.440 --> 00:00:08.920]  我們一起分享的
[00:00:08.920 --> 00:00:12.680]  而今天我是去到出拉及記第三章
[00:00:12.680 --> 00:00:16.000]  由第九節到第二十二節
[00:00:16.000 --> 00:00:17.600]  而我的題目就是
[00:00:17.600 --> 00:00:21.040]  我能夠為主做些什麼
[00:00:21.040 --> 00:00:25.480]  這個題目在我們信主的過程中
[00:00:25.480 --> 00:00:28.720]  我們可能會某段時間都會問神
[00:00:28.720 --> 00:00:32.600]  究竟神啊 我可以為你做些什麼
[00:00:32.600 --> 00:00:34.200]  當然這個問題
[00:00:34.200 --> 00:00:37.200]  你可以在自己可能最有能力
[00:00:37.200 --> 00:00:38.600]  最風光的時候
[00:00:38.600 --> 00:00:39.520]  你可以跟神說
[00:00:39.520 --> 00:00:41.520]  神啊 我可以為你做些什麼
[00:00:41.520 --> 00:00:43.400]  我可以做大事
[00:00:43.400 --> 00:00:45.320]  但也都可能我們在人生裡
[00:00:45.320 --> 00:00:47.600]  可能最沮喪的時候
[00:00:47.600 --> 00:00:48.880]  有時都會問神
[00:00:48.880 --> 00:00:51.480]  神啊 我現在這樣的光景
[00:00:51.480 --> 00:00:53.400]  能夠為你做些什麼
[00:00:53.400 --> 00:00:56.400]  所以可能不同的人生的階段裡
[00:00:56.400 --> 00:00:58.480]  我們問這個問題的語氣
[00:00:58.480 --> 00:01:00.400]  都可能有些不同
[00:01:00.400 --> 00:01:03.200]  但今天我們看回第三章的時候
[00:01:03.200 --> 00:01:05.480]  因為第三章可以說是
[00:01:05.480 --> 00:01:07.280]  舊約一個偉人摩西
[00:01:07.280 --> 00:01:09.600]  大家可能都聽過摩西無數次
[00:01:09.600 --> 00:01:11.880]  之前同工都在講摩西
[00:01:11.880 --> 00:01:15.400]  摩西他在第三章可以說是
[00:01:15.400 --> 00:01:18.600]  他人生的一個很重要的
[00:01:18.600 --> 00:01:20.800]  其中一個轉捩點
[00:01:20.800 --> 00:01:24.440]  為什麼 因為第一章和第二章
[00:01:24.440 --> 00:01:26.560]  是交代了摩西
[00:01:26.560 --> 00:01:29.040]  頭那八十年的人生
[00:01:29.040 --> 00:01:29.840]  很簡短的
[00:01:29.840 --> 00:01:31.200]  用了兩章聖經
[00:01:31.200 --> 00:01:33.560]  講了他的八十歲的人生
[00:01:33.560 --> 00:01:35.000]  就頭那四十年
[00:01:35.000 --> 00:01:37.480]  他是在埃及做王子的
[00:01:37.480 --> 00:01:41.000]  因為當時又發覺要殺嬰兒
[00:01:41.000 --> 00:01:43.240]  那神就用了一種能力
[00:01:43.240 --> 00:01:44.520]  保護著這個嬰兒
[00:01:44.520 --> 00:01:45.440]  這個摩西
[00:01:45.440 --> 00:01:49.560]  就去了皇宮成長
[00:01:49.560 --> 00:01:50.800]  有四十年
[00:01:50.800 --> 00:01:52.440]  所以他在那四十年裡
[00:01:52.440 --> 00:01:55.000]  就是做了埃及王子
[00:01:55.000 --> 00:01:57.720]  不過因為他的奶媽
[00:01:57.720 --> 00:01:59.880]  當時他的奶媽原來是他媽媽
[00:01:59.880 --> 00:02:01.560]  也是上帝的安排
[00:02:01.560 --> 00:02:05.520]  讓他媽媽親自去餵養摩西
[00:02:05.520 --> 00:02:09.160]  讓他能夠從小去明白
[00:02:09.160 --> 00:02:12.080]  讓他明白他是一個意識的人
[00:02:12.080 --> 00:02:13.960]  所以到四十歲的時候
