
[00:00:00.000 --> 00:00:02.000]  定題目的時候我想過的
[00:00:02.000 --> 00:00:04.240]  如果將它改為兒女與僕人
[00:00:04.240 --> 00:00:06.240]  都行嗎? 都行的
[00:00:06.240 --> 00:00:07.840]  不過聖經是講到兒子
[00:00:07.840 --> 00:00:09.080]  我就講兒子
[00:00:09.080 --> 00:00:11.580]  一會兒我會和大家解釋
[00:00:11.580 --> 00:00:13.920]  神做人的時候
[00:00:13.920 --> 00:00:15.480]  是做男做女
[00:00:15.480 --> 00:00:17.820]  所以在名詞上面
[00:00:17.820 --> 00:00:20.180]  希望大家不要介意
[00:00:20.180 --> 00:00:23.360]  兒女與僕人
[00:00:23.360 --> 00:00:25.360]  或者兒子與奴僕
[00:00:25.360 --> 00:00:27.120]  我相信我們今天每一位
[00:00:27.120 --> 00:00:29.920]  信了耶穌的姐妹們
[00:00:29.920 --> 00:00:32.260]  或者包括弟兄嫂女
[00:00:32.260 --> 00:00:35.060]  我們與神的關係
[00:00:35.060 --> 00:00:36.560]  是什麼關係?
[00:00:36.560 --> 00:00:37.840]  我們都肯定
[00:00:37.840 --> 00:00:39.540]  我們是神的兒女
[00:00:39.540 --> 00:00:43.880]  這個可以說是一個直接的關係
[00:00:43.880 --> 00:00:46.280]  血緣關係
[00:00:46.280 --> 00:00:49.980]  為什麼一會兒會和大家看
[00:00:49.980 --> 00:00:53.220]  從神而生的
[00:00:53.220 --> 00:00:55.660]  從亞當開始到現在
[00:00:55.660 --> 00:00:58.060]  我們怎樣給神生呢?
[00:00:58.060 --> 00:01:02.520]  第二 如果我們和神有這樣的關係的時候
[00:01:02.520 --> 00:01:04.520]  我們在職責上面
[00:01:04.520 --> 00:01:09.060]  我們會不會有一個僕人的身份呢?
[00:01:09.060 --> 00:01:11.200]  大家看耶穌在講比喻的時候
[00:01:11.200 --> 00:01:15.000]  有講到爸爸與子女的關係
[00:01:15.000 --> 00:01:18.240]  也有講到主人與僕人的關係
[00:01:18.240 --> 00:01:21.880]  如果大家還記得一個故事《浪子》的比喻
[00:01:21.880 --> 00:01:24.880]  會看到一個
[00:01:24.880 --> 00:01:27.480]  都不應該說是不是敗家子
[00:01:27.480 --> 00:01:30.880]  總而言之他爸爸還沒死就想分家產
[00:01:30.880 --> 00:01:33.080]  分家產之後就傾家蕩產
[00:01:33.080 --> 00:01:36.220]  傾家蕩產之後就想回家好了
[00:01:36.220 --> 00:01:38.420]  這樣的小孩
[00:01:38.420 --> 00:01:40.400]  我相信這些這樣的小孩
[00:01:40.400 --> 00:01:42.660]  如果我們看別人的家庭
[00:01:42.660 --> 00:01:44.300]  就覺得豈有此理
[00:01:44.300 --> 00:01:46.540]  但如果發生在你的家庭
[00:01:46.540 --> 00:01:47.600]  你會覺得
[00:01:47.600 --> 00:01:49.340]  就是這樣
[00:01:49.340 --> 00:01:51.740]  如果你是一個好的媽媽
[00:01:51.740 --> 00:01:53.740]  是不是?
[00:01:53.740 --> 00:01:56.820]  但是有沒有想到除了這個敗家子之外
[00:01:56.820 --> 00:01:58.820]  還有一個兒子 是個大兒子
[00:01:58.820 --> 00:02:01.320]  這個大兒子循規蹈矩
[00:02:01.320 --> 00:02:03.920]  在家裡後來跟他爸爸說
[00:02:03.920 --> 00:02:05.920]  我一輩子在這裡跟你打工
[00:02:05.920 --> 00:02:07.920]  我沒有失職過
[00:02:07.920 --> 00:02:11.920]  你都不讓我享受一下
[00:02:11.920 --> 00:02:13.920]  因為小孩回來了
[00:02:13.920 --> 00:02:17.720]  爸爸與小孩慶祝過 開派對
[00:02:17.720 --> 00:02:19.720]  這句話一講的時候
[00:02:19.720 --> 00:02:22.720]  就擺出一件事實和心態
[00:02:22.720 --> 00:02:24.420]  他雖然是兒子
[00:02:24.420 --> 00:02:27.420]  但是在他腦補的心態
[00:02:27.420 --> 00:02:30.120]  他一輩子跟老婆打工
[00:02:30.120 --> 00:02:31.620]  你做神的兒女
[00:02:31.620 --> 00:02:35.120]  上帝是不是要你一輩子跟祂打工?
[00:02:35.120 --> 00:02:37.120]  你有沒有享受過
[00:02:37.120 --> 00:02:41.420]  是神兒女那個身份
[00:02:41.420 --> 00:02:44.320]  那種的尊貴 那種的榮耀
[00:02:44.320 --> 00:02:47.320]  甚至乎你很落拓的時候
[00:02:47.320 --> 00:02:49.120]  是不是?
[00:02:49.120 --> 00:02:51.720]  叫天 叫地都沒有回應的時候
[00:02:51.720 --> 00:02:54.720]  最後 我還是回到你爸爸那裡
[00:02:54.720 --> 00:02:56.420]  但是這個心態
[00:02:56.420 --> 00:03:00.120]  其實是今天我們每一個屬於神的兒女
[00:03:00.120 --> 00:03:02.620]  要常常作準備的
[00:03:02.620 --> 00:03:05.420]  你說我哪有這麼壞
[00:03:05.420 --> 00:03:09.320]  要壞到 我要向天起誓了
[00:03:09.320 --> 00:03:11.220]  我去到你面前 我不配做你的兒子
[00:03:11.220 --> 00:03:12.720]  我做奴隸
[00:03:12.720 --> 00:03:15.720]  其實這個悔改的心
[00:03:15.720 --> 00:03:17.220]  這個悔改的心
[00:03:17.220 --> 00:03:20.420]  是我們不知不覺中間
[00:03:20.420 --> 00:03:25.920]  是失去了一個做兒子權利的心
[00:03:25.920 --> 00:03:28.220]  最怕很多時候我們遇到一些考驗困難
[00:03:28.220 --> 00:03:30.020]  今天生了一首詩歌唱的時候
[00:03:30.020 --> 00:03:32.420]  遇到困難 我們唱是很興奮
[00:03:32.420 --> 00:03:34.020]  唱是甚至很開心
[00:03:34.020 --> 00:03:35.920]  但是遇到困擾的時候
[00:03:35.920 --> 00:03:37.420]  經常都會問
[00:03:37.420 --> 00:03:39.120]  神啊 你在哪裡啊?
[00:03:39.120 --> 00:03:40.420]  甚至乎想一想
[00:03:40.420 --> 00:03:44.120]  你都不理我
[00:03:44.120 --> 00:03:46.220]  你們常常的兒女
[00:03:46.220 --> 00:03:51.320]  請問你什麼時候會不理你的小孩?
[00:03:51.320 --> 00:03:53.320]  有沒有試過?
[00:03:53.320 --> 00:03:57.220]  有啊 當這裡出了問題的時候
[00:03:57.220 --> 00:03:58.120]  是不是?
[00:03:58.120 --> 00:04:00.220]  上帝會不會在這裡出問題?
[00:04:00.220 --> 00:04:02.120]  永遠不會的
[00:04:02.120 --> 00:04:04.520]  如果 像聖經這樣說
[00:04:04.520 --> 00:04:06.920]  父親怎樣連戌他的兒女
[00:04:06.920 --> 00:04:10.220]  耶和華也照樣連戌敬畏他的人
[00:04:10.220 --> 00:04:14.020]  只要你敬畏 肯回到他那裡的時候
[00:04:14.020 --> 00:04:17.520]  什麼問題真的謙卑信服
[00:04:17.520 --> 00:04:19.420]  願意去到他面前的時候
[00:04:19.420 --> 00:04:22.720]  他一定是回到你的父親
[00:04:22.720 --> 00:04:24.120]  他會處理的
[00:04:24.120 --> 00:04:25.720]  所以今天我想
[00:04:25.720 --> 00:04:27.320]  本來就長一點經文
[00:04:27.320 --> 00:04:28.820]  我就把它縮短一點
[00:04:28.820 --> 00:04:30.820]  就在羅馬書第八章
[00:04:30.820 --> 00:04:34.520]  第十四到十七節
[00:04:34.520 --> 00:04:37.720]  因為凡被神的靈引導的
[00:04:37.720 --> 00:04:39.620]  都是神的兒子
[00:04:39.620 --> 00:04:43.120]  留心 是神的靈引導的
[00:04:43.120 --> 00:04:45.520]  沒有神的靈引導的
[00:04:45.520 --> 00:04:47.520]  用你自己的思維
[00:04:47.520 --> 00:04:48.920]  用你的經驗
[00:04:48.920 --> 00:04:51.120]  用你努力的工作
[00:04:51.120 --> 00:04:52.220]  包括那個大兒子
[00:04:52.220 --> 00:04:53.520]  整天在家裡做 做 做 做
[00:04:53.520 --> 00:04:54.920]  只有做字
[00:04:54.920 --> 00:04:58.120]  但是他不覺得自己是爸爸的兒子
[00:04:58.120 --> 00:05:01.620]  他就覺得爸爸是虧欠了他
[00:05:01.620 --> 00:05:05.020]  所以神的靈引導的
[00:05:05.020 --> 00:05:06.920]  是我們今天做神的兒女
[00:05:06.920 --> 00:05:11.020]  每天的生活中間是必須有的
