
[00:00:00.000 --> 00:00:02.800]  今天有什麼特別呢?
[00:00:02.800 --> 00:00:08.200]  特別是很久沒有站在這裡
[00:00:08.200 --> 00:00:10.200]  跟大家一起分享神的話語
[00:00:10.200 --> 00:00:13.700]  特別是今天是一個特別的日子
[00:00:13.700 --> 00:00:15.300]  因為是父親節
[00:00:15.300 --> 00:00:17.700]  但也有人說父親節
[00:00:17.700 --> 00:00:19.400]  沒什麼特別
[00:00:19.400 --> 00:00:22.800]  所以今天去酒樓訂桌子
[00:00:22.800 --> 00:00:24.400]  也不用怎麼訂
[00:00:24.400 --> 00:00:25.700]  一定有位置的
[00:00:25.700 --> 00:00:28.700]  母親節就不一樣了
[00:00:29.700 --> 00:00:32.100]  母親節就老早兩個禮拜
[00:00:32.100 --> 00:00:35.400]  甚至一個月就要訂桌子
[00:00:35.400 --> 00:00:39.700]  似乎媽媽在家庭裏面的角色
[00:00:39.700 --> 00:00:41.600]  和父親在家庭的角色
[00:00:41.600 --> 00:00:43.400]  好像有些距離
[00:00:43.400 --> 00:00:45.900]  但我又感恩
[00:00:45.900 --> 00:00:49.500]  當我在平洲機子服侍的時候
[00:00:49.500 --> 00:00:51.600]  到父親節的時候
[00:00:51.600 --> 00:00:54.200]  弟兄姊妹很珍惜這個日子
[00:00:54.200 --> 00:00:56.200]  通常送禮物
[00:00:56.200 --> 00:00:59.400]  給父親節送禮物的時候
[00:00:59.400 --> 00:01:00.700]  想到的只有兩樣東西
[00:01:00.700 --> 00:01:02.300]  襪子
[00:01:02.300 --> 00:01:03.900]  手帕
[00:01:03.900 --> 00:01:05.900]  沒有第三樣
[00:01:05.900 --> 00:01:08.700]  但是那一年
[00:01:08.700 --> 00:01:11.200]  姊妹很愛惜父親
[00:01:11.200 --> 00:01:12.700]  很愛惜弟兄
[00:01:12.700 --> 00:01:14.600]  買手帕也好
[00:01:14.600 --> 00:01:18.200]  把手帕摺成一件恤衫
[00:01:18.200 --> 00:01:20.800]  熨得整整齊齊
[00:01:20.800 --> 00:01:24.900]  然後放進一個很漂亮的膠袋裏面
[00:01:24.900 --> 00:01:26.400]  封很厚
[00:01:27.500 --> 00:01:29.600]  然後在父親節當天
[00:01:29.600 --> 00:01:33.000]  就派給每一位父會的父親
[00:01:33.000 --> 00:01:35.200]  我很珍惜這份禮物
[00:01:35.200 --> 00:01:37.300]  所以我都不拆
[00:01:37.300 --> 00:01:40.600]  我一直用膠袋仍然帶著
[00:01:40.600 --> 00:01:41.500]  一方面我的紀念
[00:01:41.500 --> 00:01:43.800]  只能夠在平洲這個機子裏面
[00:01:43.800 --> 00:01:45.100]  服侍是一個恩典
[00:01:45.100 --> 00:01:47.100]  另一方面看到弟兄姊妹
[00:01:47.100 --> 00:01:48.900]  原來是很看重父親
[00:01:48.900 --> 00:01:52.700]  要把一條手帕摺成一件恤衫
[00:01:52.700 --> 00:01:54.500]  又要熨得整整齊齊
[00:01:54.500 --> 00:01:56.400]  不是一件容易的事
[00:01:56.900 --> 00:01:59.100]  是甘願花上一些努力
[00:01:59.100 --> 00:02:01.300]  甘願花上一些心思
[00:02:01.300 --> 00:02:03.100]  確實
[00:02:03.100 --> 00:02:05.300]  父親在家庭裏面
[00:02:05.300 --> 00:02:07.600]  是擺上了很多
[00:02:07.600 --> 00:02:10.300]  確實父親在家庭裏面
[00:02:10.300 --> 00:02:13.800]  是扮演了一個很特別的角色
[00:02:13.800 --> 00:02:19.700]  所以往往形容父親和兒女的關係的時候
[00:02:19.700 --> 00:02:24.200]  很少敢形容母親有奶母之親
[00:02:25.800 --> 00:02:28.200]  但是形容父親就是往往會
[00:02:28.200 --> 00:02:30.900]  奶母之風
[00:02:30.900 --> 00:02:32.900]  很少敢形容
[00:02:32.900 --> 00:02:34.600]  但是當形容父親的時候
[00:02:34.600 --> 00:02:36.100]  就很容易會搭上
[00:02:36.100 --> 00:02:38.200]  你有奶父之風
