
[00:00:00.000 --> 00:00:01.440]  我們同心得流祈禱,好嗎?
[00:00:01.440 --> 00:00:02.920]  去到感謝我們的主
[00:00:02.920 --> 00:00:04.600]  上帝你是供應我們的神
[00:00:04.600 --> 00:00:06.280]  我們為了我們教會
[00:00:06.280 --> 00:00:08.840]  能夠繼續在地上為你作見證
[00:00:08.840 --> 00:00:11.040]  去拓展你的侍公,去到傳福音
[00:00:11.040 --> 00:00:12.040]  去到傳你自己的道
[00:00:12.040 --> 00:00:13.000]  我們獻上感謝
[00:00:13.000 --> 00:00:14.640]  給我們這個角色、這個責任
[00:00:14.640 --> 00:00:16.240]  這個這麼大的使命
[00:00:16.240 --> 00:00:18.080]  同樣你自己聖靈都會繼續的
[00:00:18.080 --> 00:00:22.600]  來推動我們,去感動我們
[00:00:22.600 --> 00:00:24.280]  以致我們能夠去回應
[00:00:24.280 --> 00:00:26.680]  基督你自己偉大的十字架
[00:00:26.680 --> 00:00:27.760]  你自己的救恩
[00:00:27.760 --> 00:00:31.440]  值得我們整個的生命去回應、去回響
[00:00:31.440 --> 00:00:33.840]  上帝我們求你的愛來幫助我們
[00:00:33.840 --> 00:00:34.720]  讓我們弟兄姊妹
[00:00:34.720 --> 00:00:38.800]  我們成會裡面的會友
[00:00:38.800 --> 00:00:42.320]  我們能夠盡心盡力去奉獻
[00:00:42.320 --> 00:00:44.840]  盡心盡力做一個好的管家
[00:00:44.840 --> 00:00:47.480]  讓我們看到教會能夠繼續成長
[00:00:47.480 --> 00:00:50.560]  並且我們所做的事工能夠祝福更多的人
[00:00:50.560 --> 00:00:52.320]  主要是為了去年,2023年
[00:00:52.320 --> 00:00:56.080]  我們能夠成為你自己的一個小的器皿
[00:00:56.080 --> 00:00:58.600]  能夠在芝加哥這個地方
[00:00:58.600 --> 00:01:00.880]  在芝加哥以外不同的地方
[00:01:00.880 --> 00:01:03.240]  能夠向你宣講
[00:01:03.240 --> 00:01:04.520]  神你自己的福音
[00:01:04.520 --> 00:01:07.320]  向別人宣講上帝你自己的道
[00:01:07.320 --> 00:01:08.840]  主要你的道是至聖的
[00:01:08.840 --> 00:01:10.880]  也是能夠使我們重生
[00:01:10.880 --> 00:01:13.040]  上帝我們勤力繼續的使用我們
[00:01:13.040 --> 00:01:14.200]  在2023年裡面
