
[00:00:00.000 --> 00:00:05.540]  今天跟大家分享的課題就是受苦之中的矛盾
[00:00:05.540 --> 00:00:09.980]  我們人生當中就有很多的矛盾
[00:00:09.980 --> 00:00:13.140]  人生裡面有很多矛盾的 看你怎麼看的
[00:00:13.140 --> 00:00:14.840]  最簡單舉個例子
[00:00:14.840 --> 00:00:20.080]  昨天就為了一個婆婆負責安息禮
[00:00:20.080 --> 00:00:25.180]  今天在我們當中都有他們的教會團友出席
[00:00:25.180 --> 00:00:29.180]  死亡是每一個人都不想面對
[00:00:29.180 --> 00:00:31.420]  但是如果我們基督徒就有這個矛盾
[00:00:31.420 --> 00:00:34.300]  因為我們知道如果離開世界的時候
[00:00:34.300 --> 00:00:36.920]  我們已經信了主 我們已經去到天國裡面
[00:00:36.920 --> 00:00:39.980]  但是 甚至我們知道在天國裡面
[00:00:39.980 --> 00:00:42.680]  我們是不會有那個痛苦的
[00:00:42.680 --> 00:00:46.140]  不會有疾病的 不會被罪來纏繞的
[00:00:46.140 --> 00:00:49.420]  但是有哪幾個喜歡 我現在馬上想想天國
[00:00:49.420 --> 00:00:51.420]  這個就是我們的矛盾
[00:00:51.420 --> 00:00:55.820]  在英國 如果我坐英航去日本的話
[00:00:55.820 --> 00:00:57.820]  你知不知道經濟客位
[00:00:57.820 --> 00:01:01.200]  每一個人有兩件23公斤的行李
[00:01:01.200 --> 00:01:05.960]  這個你說是祝福還是奏祚呢?
[00:01:05.960 --> 00:01:09.380]  你想想 可以買更多更多的東西回來
[00:01:09.380 --> 00:01:12.380]  質料又好 那就真的很划算了
[00:01:12.380 --> 00:01:16.480]  但是問題就是你也會花很多錢 這個矛盾
[00:01:16.480 --> 00:01:21.520]  其實主耶穌祂面對十字架的苦楚的時候
[00:01:21.520 --> 00:01:24.420]  都很矛盾的 祂曾經呼求
[00:01:24.420 --> 00:01:28.300]  可不可以將這個杯子挪開
[00:01:28.300 --> 00:01:31.880]  在禱告裡面三次求神
[00:01:31.880 --> 00:01:34.220]  當然我要按你的心意而行
[00:01:34.220 --> 00:01:35.600]  但是祂又跟門徒說
[00:01:35.600 --> 00:01:37.600]  我得榮耀的時候到了
[00:01:37.600 --> 00:01:39.600]  這個榮耀是什麼呢?
[00:01:39.600 --> 00:01:41.940]  不是祂騎驢入 驢入沙冷
