
[00:00:00.000 --> 00:00:03.640]  各位親愛的北愛爾蘭弟兄姊妹你們好
[00:00:03.640 --> 00:00:07.620]  很高興你們給我機會跟大家一起分享神的說話
[00:00:07.620 --> 00:00:12.020]  你們教會要求我一起講《尼西米記》第四章
[00:00:12.020 --> 00:00:13.820]  這個題目也非常好
[00:00:13.820 --> 00:00:17.740]  就是以備戰的心作主的工作
[00:00:17.740 --> 00:00:20.760]  其實我們真的需要在心理上
[00:00:20.760 --> 00:00:23.240]  要好好的有一個好的準備
[00:00:23.240 --> 00:00:27.420]  然後我們才可以面對突然而來的挑戰
[00:00:27.420 --> 00:00:31.420]  我跟大家分享這段說話的時候
[00:00:31.420 --> 00:00:36.900]  我會先跟大家去看一些部分
[00:00:36.900 --> 00:00:43.780]  很希望這個可以成為大家的幫助和提醒
[00:00:43.780 --> 00:00:48.560]  做神的工作絕對不容易
[00:00:48.560 --> 00:00:52.860]  其中一個因素就是撒旦會不斷地攻擊我們
[00:00:52.860 --> 00:00:58.620]  他不會容讓神的子民很順利地為神工作
[00:00:58.620 --> 00:01:01.400]  他要挫敗我們的信心
[00:01:01.400 --> 00:01:03.540]  面對種種攻擊的時候
[00:01:03.540 --> 00:01:06.180]  我們怎樣去回應呢?
[00:01:06.180 --> 00:01:09.740]  我們透過尼西米去面對不同的攻擊
[00:01:09.740 --> 00:01:11.500]  怎樣去回應
[00:01:11.500 --> 00:01:14.700]  怎樣帶領子民繼續努力地為神工作
[00:01:14.700 --> 00:01:16.900]  給我們有一個學習
[00:01:16.900 --> 00:01:19.940]  當尼西米回到自己的故鄉
[00:01:19.940 --> 00:01:23.420]  要為自己的子民建造城牆的時候
[00:01:23.420 --> 00:01:25.740]  一定是很艱鉅
[00:01:25.740 --> 00:01:31.720]  但艱鉅不僅是他還要面對周圍的敵人對他的攻擊
[00:01:31.720 --> 00:01:35.060]  但是我們知道尼西米他不斷仰望神
[00:01:35.060 --> 00:01:36.820]  知人善用
[00:01:36.820 --> 00:01:39.940]  分派不同的人去做不同的工作
[00:01:39.940 --> 00:01:44.880]  在第四章裏面就記載了敵人來他攻擊他
[00:01:44.880 --> 00:01:47.700]  那怎樣來他攻擊呢?
[00:01:47.700 --> 00:01:50.140]  我們會來看
[00:01:50.140 --> 00:01:52.940]  原來敵人就用不同的方法
[00:01:52.940 --> 00:01:56.920]  嘲弄、恐嚇、動手
[00:01:56.920 --> 00:02:02.480]  這三方面來面對尼西米的工作
[00:02:02.480 --> 00:02:03.700]  我們逐一逐一看
[00:02:03.700 --> 00:02:07.040]  第一就是譏笑、嘲弄他們
[00:02:07.040 --> 00:02:10.000]  我們先看第四章的第一節
[00:02:10.000 --> 00:02:13.000]  「參巴拉聽見我們修造城牆
[00:02:13.000 --> 00:02:17.800]  就發怒、大大怒恨、恥笑猶太人」
[00:02:17.800 --> 00:02:21.060]  你留意到參巴拉聽到
[00:02:21.060 --> 00:02:23.840]  其實如果我們讀尼西米就知道
[00:02:23.840 --> 00:02:27.080]  當我們第一次聽到尼西米會回歸
[00:02:27.080 --> 00:02:30.120]  帶領子民來建造城牆的時候
[00:02:30.120 --> 00:02:32.520]  他就已經生氣了
[00:02:32.520 --> 00:02:36.280]  第二次聽見的時候就是第二章的第九節
[00:02:36.280 --> 00:02:38.880]  他就特意散播謠言
[00:02:38.880 --> 00:02:41.740]  就說尼西米想搞獨立
[00:02:41.740 --> 00:02:45.400]  令到王質疑他的工作
[00:02:45.400 --> 00:02:50.200]  這次他就會發動一些人
[00:02:50.200 --> 00:02:52.860]  挑撥離間他們
[00:02:52.860 --> 00:02:55.080]  事實上這些嘲弄
[00:02:55.080 --> 00:02:58.680]  往往產生到很好的果效
[00:02:58.680 --> 00:03:02.280]  這些尖酸刻薄的說話
[00:03:02.280 --> 00:03:03.820]  就好像利箭一樣
[00:03:03.820 --> 00:03:06.080]  刺入他們的內心
[00:03:06.080 --> 00:03:10.160]  叫他們喪失了意志和失敗
[00:03:10.160 --> 00:03:13.920]  我們看看他究竟有些什麼嘲弄
[00:03:13.920 --> 00:03:19.000]  留意短短的第四章第二節裏有五個問題
[00:03:19.000 --> 00:03:22.960]  我們一起來看第四章的第二節
[00:03:22.960 --> 00:03:26.240]  「對他弟兄和撒瑪利亞的軍兵說
[00:03:26.240 --> 00:03:29.040]  這些軟弱的猶太人做什麼呢?
[00:03:29.040 --> 00:03:30.660]  是要保護自己嗎?
[00:03:30.660 --> 00:03:32.160]  要獻祭嗎?
[00:03:32.160 --> 00:03:33.900]  要一日成功嗎?
[00:03:33.900 --> 00:03:39.660]  要從土堆裡拿出火燒的石頭再立牆嗎?」
[00:03:39.660 --> 00:03:42.400]  五樣的問號
[00:03:42.400 --> 00:03:43.700]  但是你留意到
[00:03:43.700 --> 00:03:48.860]  他表面上是和撒瑪利亞的軍兵去說話的
[00:03:48.860 --> 00:03:52.320]  因為他們是一個聯盟
[00:03:52.320 --> 00:03:56.300]  去對付尼西米和他的子民
[00:03:56.300 --> 00:03:59.120]  他們好像是和自己人說
[00:03:59.120 --> 00:04:04.740]  但其實就是在和尼西米和他的子民說的
[00:04:04.740 --> 00:04:06.140]  很簡單舉個例子
[00:04:06.140 --> 00:04:08.520]  當兩個人在談話
[00:04:08.520 --> 00:04:11.680]  旁邊有一個他很不喜歡的女人
[00:04:11.680 --> 00:04:13.720]  於是他就大聲說
[00:04:13.720 --> 00:04:17.080]  「哎呀!有些人裝模作樣
[00:04:17.080 --> 00:04:19.060]  穿金戴銀
[00:04:19.060 --> 00:04:20.940]  在那裏演戲
[00:04:20.940 --> 00:04:24.260]  其實他們就是窮操大」
[00:04:24.260 --> 00:04:27.120]  好像是在和對面自己的朋友說
[00:04:27.120 --> 00:04:32.420]  其實這些說話是在嘲弄他旁邊不喜歡的婦人
[00:04:32.420 --> 00:04:36.580]  所以你留意到他和他的弟兄和撒瑪利亞軍兵說
[00:04:36.580 --> 00:04:40.820]  其實是在嘲弄尼西米的一班人
[00:04:40.820 --> 00:04:45.800]  第一就是這些軟弱的猶太人
[00:04:45.800 --> 00:04:48.820]  他說的是一個事實
[00:04:48.820 --> 00:04:50.080]  為什麼呢?
[00:04:50.080 --> 00:04:55.140]  這班人現在從波斯王國回歸
[00:04:55.140 --> 00:04:57.200]  如果他們國家堅強
[00:04:57.200 --> 00:04:59.220]  他們國家就不會被擄
[00:04:59.220 --> 00:05:01.620]  不會被巴比倫滅亡
[00:05:01.620 --> 00:05:04.940]  如果他們是一些很有勢力的猶太人
[00:05:04.940 --> 00:05:08.300]  就不會住在一些頹垣敗瓦的中間
[00:05:08.300 --> 00:05:12.380]  所以特意就說到這班軟弱的猶太人
[00:05:12.380 --> 00:05:14.840]  我們中國人、香港人都有一句話
[00:05:14.840 --> 00:05:17.340]  就是崩口人忌崩口碗
[00:05:17.340 --> 00:05:20.560]  特別提醒弟兄要很小心
[00:05:20.560 --> 00:05:24.140]  比如有一個女士覺得自己最近胖了
[00:05:24.140 --> 00:05:25.020]  不知道怎麼辦
[00:05:25.020 --> 00:05:27.120]  她覺得自己胖是不要緊的
[00:05:27.120 --> 00:05:28.900]  可能她就問丈夫
[00:05:28.900 --> 00:05:31.140]  「怎樣?你覺得我是不是胖了?」
[00:05:31.140 --> 00:05:34.740]  做丈夫要有智慧的去回答
[00:05:34.740 --> 00:05:37.940]  你直接說「是的,是的,你胖了」
[00:05:37.940 --> 00:05:40.540]  「你嫌棄我嗎?你不喜歡我胖嗎?」
[00:05:40.540 --> 00:05:44.320]  「會死嗎?是嗎?不太覺得」
[00:05:44.320 --> 00:05:47.420]  你留意到原來你覺得自己有問題
[00:05:47.420 --> 00:05:49.140]  可能你都接受到
[00:05:49.140 --> 00:05:51.960]  但你卻很不喜歡別人去說你
[00:05:51.960 --> 00:05:53.660]  你自己覺得自己胖是沒有問題
[00:05:53.660 --> 00:05:55.660]  你說你胖是不開心的
[00:05:55.660 --> 00:05:59.580]  所以他說你們這班軟弱的猶太人
[00:05:59.580 --> 00:06:02.080]  這是一個事實
[00:06:02.080 --> 00:06:06.700]  我們居住在頹垣敗瓦的防禦裏面
[00:06:06.700 --> 00:06:09.360]  他們人丁稀少
[00:06:09.360 --> 00:06:13.060]  所以這是正正針對他們的要害
[00:06:13.060 --> 00:06:14.940]  令他們失去了信心
[00:06:14.940 --> 00:06:16.940]  打擊他們的鬥志
[00:06:16.940 --> 00:06:21.180]  第二方面就是是不是要保護自己
[00:06:21.180 --> 00:06:25.620]  敵人刻意質疑他們的能力
[00:06:25.620 --> 00:06:28.360]  你們靠著自己?保護自己?
[00:06:28.360 --> 00:06:30.060]  你們是弱不禁風的
[00:06:30.060 --> 00:06:31.580]  你們是很脆弱的
[00:06:31.580 --> 00:06:33.280]  你們是不自量力的
[00:06:33.280 --> 00:06:36.020]  你怎樣去保護自己?
