
[00:00:00.000 --> 00:00:02.800]  今天要和大家講的一個訊息
[00:00:02.800 --> 00:00:05.300]  叫做「得救與成性」
[00:00:05.300 --> 00:00:10.820]  這個訊息是我在兩個月前去Cal State Northridge
[00:00:10.820 --> 00:00:13.220]  和一班年青人分享
[00:00:13.220 --> 00:00:14.900]  這班年青人很有趣
[00:00:14.900 --> 00:00:18.880]  是給我他們要學的title
[00:00:18.880 --> 00:00:21.680]  他們要學的就是甚麼叫做「得救」
[00:00:21.680 --> 00:00:23.560]  甚麼叫做「成性」
[00:00:23.560 --> 00:00:27.500]  今天的經文在希伯來書十章十四節
[00:00:27.500 --> 00:00:30.160]  如果你是熟悉我的講道的話
[00:00:30.160 --> 00:00:35.120]  你都知道我很著重新約舊約的一致性
[00:00:35.120 --> 00:00:38.200]  因為全部聖經六十六部書
[00:00:38.200 --> 00:00:42.640]  四十多位作者都是由聖靈來密使
[00:00:42.640 --> 00:00:47.200]  一位聖靈密使出來的一定訊息是非常一致
[00:00:47.200 --> 00:00:52.440]  你能夠見到舊約所講和新約所講都是一樣的
[00:00:52.440 --> 00:00:54.880]  另外加上很多的神蹟騎士
[00:00:54.880 --> 00:01:01.960]  真的不能否認聖經真的是神的話語
[00:01:01.960 --> 00:01:06.240]  講到希伯來書想和大家講一講
[00:01:06.240 --> 00:01:12.880]  就是很多人認為希伯來書是保羅所作的
[00:01:12.880 --> 00:01:16.740]  因為他寫作的作風有點像保羅
[00:01:16.740 --> 00:01:21.080]  但是我覺得這個希伯來書的作者不是保羅
[00:01:21.080 --> 00:01:24.180]  如果我們看希伯來書二章三節
[00:01:24.180 --> 00:01:28.880]  「敬文華者救恩,起先是主親自講的
[00:01:28.880 --> 00:01:32.760]  後來是聽見的人給我們證實了」
[00:01:32.760 --> 00:01:39.000]  這位作者說他所得到的福音訊息是二手得來的
[00:01:39.000 --> 00:01:41.240]  是有人從主那裡領受了
[00:01:41.240 --> 00:01:44.900]  然後教給他,向他證實
[00:01:44.900 --> 00:01:48.180]  但是保羅自己的教導是很不同的
[00:01:48.180 --> 00:01:51.880]  保羅時時都說他所得到的啟示
[00:01:51.880 --> 00:01:54.780]  是由耶穌基督直接給他的
[00:01:54.780 --> 00:01:59.180]  例如在《加拉太書》一章一至二節
[00:01:59.180 --> 00:02:04.820]  他說「作使徒的保羅不是藉著人乃是藉著耶穌基督
[00:02:04.820 --> 00:02:07.860]  是捨給加拉太教會」
[00:02:07.860 --> 00:02:11.760]  他的啟示是直接由耶穌基督那裡來
[00:02:11.760 --> 00:02:15.060]  不是從別人那裡領受回來
[00:02:15.060 --> 00:02:18.100]  在哥倫多前書九章一節他都說
[00:02:18.100 --> 00:02:24.240]  「我不是使徒,我不是見過我們的主耶穌」
[00:02:24.240 --> 00:02:27.980]  有很多人問保羅何時見過耶穌基督
[00:02:27.980 --> 00:02:30.880]  在《加拉太書》一章十七至十八節
[00:02:30.880 --> 00:02:35.460]  保羅說自己曾經去到阿拉伯在那裡三年
[00:02:35.460 --> 00:02:38.160]  有很多聖經學者、神學家說
[00:02:38.160 --> 00:02:42.100]  他在那裡是被耶穌基督親自教導他
[00:02:42.100 --> 00:02:45.900]  親自給他啟示,有三年那麼久
[00:02:45.900 --> 00:02:50.040]  所以我相信希伯來書的作者不是保羅
[00:02:50.040 --> 00:02:52.180]  是另有其人
[00:02:52.180 --> 00:02:57.280]  今天的經文是記載在希伯來書十章十四節
[00:02:57.280 --> 00:02:59.400]  請聽我讀一次
[00:02:59.400 --> 00:03:05.800]  「因為他一次獻祭便叫那得以成聖的人永遠完全」
