
[00:00:00.000 --> 00:00:03.020]  好 鼎姐妹 今天的講題是什麼呢
[00:00:03.020 --> 00:00:07.240]  就是同被建造的人生
[00:00:07.240 --> 00:00:09.680]  是同被建造的人生
[00:00:09.680 --> 00:00:11.120]  我們看一看
[00:00:11.120 --> 00:00:14.240]  那個投影片那裏
[00:00:14.240 --> 00:00:20.820]  是一起被建造 一起被建造
[00:00:20.820 --> 00:00:23.060]  今天你見到這幅圖畫呢
[00:00:23.060 --> 00:00:24.700]  就是一個什麼圖畫
[00:00:24.700 --> 00:00:27.540]  有個建築地盤 是不是
[00:00:27.540 --> 00:00:29.640]  有些人在做什麼
[00:00:30.680 --> 00:00:33.140]  在建樓 或者在做什麼
[00:00:33.140 --> 00:00:38.520]  最近我們香港最大的工程完成的就是這個港珠澳
[00:00:38.520 --> 00:00:39.520]  有沒有人去過
[00:00:39.520 --> 00:00:41.140]  有啊 有人去過
[00:00:41.140 --> 00:00:44.500]  我都想去回來 沒去得到
[00:00:44.500 --> 00:00:48.020]  但原來呢 一個這麼大的工程背後呢
[00:00:48.020 --> 00:00:52.740]  其實是要有個建築師
[00:00:52.740 --> 00:00:55.640]  有個設計師的 是不是
[00:00:55.640 --> 00:00:57.220]  大家知不知道
[00:00:57.220 --> 00:01:01.180]  不是隻有一幫工人在那裏做啊做啊 蓋啊蓋啊
[00:01:01.180 --> 00:01:04.520]  不知道蓋了些什麼出來 不知道做了些什麼出來
[00:01:04.520 --> 00:01:08.060]  所以原來呢 在這個建造的過程裏面
[00:01:08.060 --> 00:01:10.420]  一定要有個建築師
[00:01:10.420 --> 00:01:13.380]  有些工程師 有些設計師在這裏
[00:01:13.380 --> 00:01:17.060]  這樣才能夠將那個工程
[00:01:17.060 --> 00:01:18.440]  做得好
[00:01:18.440 --> 00:01:20.840]  這樣才能夠做得好
[00:01:20.840 --> 00:01:23.280]  如果建樓
[00:01:23.280 --> 00:01:25.580]  要有建築師
[00:01:26.720 --> 00:01:28.300]  那建造生命呢
[00:01:28.300 --> 00:01:30.740]  我們要有什麼
[00:01:30.740 --> 00:01:34.620]  我們要有神啊
[00:01:34.620 --> 00:01:38.620]  我們要有神啊 因爲神創造生命
[00:01:38.620 --> 00:01:41.020]  祂最認識我們 最知道我們
[00:01:41.020 --> 00:01:43.540]  所以當我們來到呢
[00:01:43.540 --> 00:01:47.200]  想生命成長的時候呢 我們不可以離開上帝
[00:01:47.200 --> 00:01:50.220]  在我們人生裏面 如果我們想活得好
[00:01:50.220 --> 00:01:52.020]  真的活得好
[00:01:52.020 --> 00:01:54.460]  我們一定要抓緊上帝
[00:01:55.060 --> 00:01:57.840]  如果我們想象一下一個工程
[00:01:57.840 --> 00:02:00.680]  只有一羣工人在那裏做啊做啊
[00:02:00.680 --> 00:02:03.980]  做泥水的就去做泥水
[00:02:03.980 --> 00:02:05.740]  做雜鐵的就去雜鐵
[00:02:05.740 --> 00:02:08.540]  不過在這邊是雜鐵 那邊在那裏倒泥水
[00:02:08.540 --> 00:02:11.560]  大家想想有什麼事發生
[00:02:11.560 --> 00:02:14.680]  最後就是這裏一堆鐵在那裏 不知道在做什麼
[00:02:14.680 --> 00:02:18.020]  那裏就一座泥水山就建在那裏
[00:02:18.020 --> 00:02:22.820]  就是說 原來我們
[00:02:22.820 --> 00:02:27.020]  一定要有一個工程師 一個規劃師
[00:02:27.020 --> 00:02:30.020]  才能夠幫助我們建立
[00:02:30.020 --> 00:02:31.740]  去建那層樓建得好
[00:02:31.740 --> 00:02:34.520]  生命裏頭就是我們真的要有神
[00:02:34.520 --> 00:02:38.000]  在教會里面我們更加要有上帝
[00:02:38.000 --> 00:02:41.980]  上帝纔是我們這裏的一家之什麼
[00:02:41.980 --> 00:02:44.340]  一家之主啊
[00:02:44.340 --> 00:02:46.160]  沒有了上帝呢
[00:02:46.160 --> 00:02:48.700]  我們在那裏搭啊搭啊 不知道在做什麼
[00:02:48.700 --> 00:02:51.560]  我們可能很努力 但不知道在做什麼
[00:02:51.560 --> 00:02:53.140]  所以我們一定要有上帝
[00:02:53.140 --> 00:02:55.640]  在我們的生命裏面也是
[00:02:55.640 --> 00:02:58.360]  其實我們的服事不單止在這裏
[00:02:58.360 --> 00:03:03.320]  可能一個禮拜我們有六天都在外面打工
[00:03:03.320 --> 00:03:06.260]  當然某個層次來說我們都是要賺錢
[00:03:06.260 --> 00:03:09.180]  但原來其實又不只是賺錢那麼簡單
[00:03:09.180 --> 00:03:13.700]  因爲上帝的眼裏工作不只是賺錢
[00:03:13.700 --> 00:03:17.080]  上帝其實是讓我們去享受工作
[00:03:17.080 --> 00:03:19.880]  所以其實在工作裏面我們都需要有上帝
[00:03:19.880 --> 00:03:24.020]  上帝不只是在這裏我們去敬拜上帝
[00:03:24.020 --> 00:03:28.360]  在外面 在我們的工作 在我們的家裏面
[00:03:28.360 --> 00:03:31.280]  我們一樣需要有上帝在我們中間
[00:03:31.280 --> 00:03:34.920]  如果沒有上帝的人生會是怎樣呢
[00:03:34.920 --> 00:03:37.620]  今天第一段經文就是講這件事
[00:03:37.620 --> 00:03:42.300]  我們會看一看十一節十二節
[00:03:42.300 --> 00:03:45.560]  我們一起讀 再讀多一次 預備一二三
[00:03:45.560 --> 00:03:48.440]  所以你們應當紀念
[00:03:48.440 --> 00:03:52.280]  你們從前按玉體侍外邦人
[00:03:52.280 --> 00:03:55.140]  是稱爲沒受割禮的
[00:03:55.140 --> 00:03:59.740]  這明然是那些憑人手在玉身上
[00:03:59.740 --> 00:04:03.560]  稱爲受割禮之人所起的
[00:04:03.560 --> 00:04:06.940]  那時你們與基督無關
[00:04:06.940 --> 00:04:09.700]  在以色列國民以外
[00:04:09.700 --> 00:04:13.940]  在所應許的諸約上是局外人
[00:04:13.940 --> 00:04:19.620]  並且活在世上 沒有子王 沒有神
[00:04:19.620 --> 00:04:22.300]  其實剛剛這兩節經文就是
[00:04:22.300 --> 00:04:27.460]  保羅他來到寫信給以弗所的頂子妹
[00:04:27.460 --> 00:04:29.660]  但其實保羅是什麼人呢
[00:04:29.660 --> 00:04:32.600]  保羅是猶太人來的
[00:04:32.600 --> 00:04:34.540]  以弗所的頂子妹是什麼人呢
[00:04:34.540 --> 00:04:36.300]  當然是以弗所人
[00:04:36.300 --> 00:04:38.340]  但在猶太人的眼中
[00:04:38.340 --> 00:04:43.620]  就是稱那些叫做未受割禮的外邦人
[00:04:43.620 --> 00:04:47.100]  即是說大家其實是有分別的
