
[00:00:00.000 --> 00:00:02.000]  各位弟兄姐妹平安。
[00:00:02.000 --> 00:00:06.000]  很高興今天有機會再次跟大家來
[00:00:06.000 --> 00:00:09.000]  誦讀神的話語。
[00:00:09.000 --> 00:00:12.000]  今天的講題是最棒的禱告。
[00:00:12.000 --> 00:00:16.000]  那我們基督徒常常都有禱告。
[00:00:16.000 --> 00:00:19.000]  我不知道你每天有沒有禱告。
[00:00:19.000 --> 00:00:21.000]  有的,恭喜你。
[00:00:21.000 --> 00:00:24.000]  沒有的,我們邀請你真的是
[00:00:24.000 --> 00:00:28.000]  每天都要跟我們的上帝來通話。
[00:00:31.000 --> 00:00:33.000]  我們剛才讀了兩段經文,
[00:00:33.000 --> 00:00:35.000]  大家都很熟了。
[00:00:35.000 --> 00:00:38.000]  所以我們的整個內容
[00:00:38.000 --> 00:00:41.000]  都是環繞著這兩段的經文。
[00:00:41.000 --> 00:00:43.000]  那我們先看一下,
[00:00:43.000 --> 00:00:48.000]  可能你會自己問自己,
[00:00:48.000 --> 00:00:53.000]  我的禱告有效嗎?
[00:00:53.000 --> 00:00:58.000]  我常常禱告,上帝到底聽了沒有?
[00:00:58.000 --> 00:01:03.000]  或者我禱告的時候要這要那,
[00:01:03.000 --> 00:01:09.000]  很多要求,好像神都沒有聽。
[00:01:09.000 --> 00:01:11.000]  第二個問題,
[00:01:11.000 --> 00:01:14.000]  既然有的人禱告說很有功效,
[00:01:14.000 --> 00:01:20.000]  那我們到底應該學誰的禱告呢?
[00:01:20.000 --> 00:01:23.000]  所以今天我們整個訊息
[00:01:23.000 --> 00:01:27.000]  就是環繞著這兩個問題。
[00:01:27.000 --> 00:01:30.000]  剛才主席讀的主導文,
[00:01:30.000 --> 00:01:32.000]  大家都會背了。
[00:01:32.000 --> 00:01:35.000]  主導文我們看一下,
[00:01:35.000 --> 00:01:38.000]  剛才所中讀的主導文,
[00:01:38.000 --> 00:01:46.000]  我們可以將它分成五個大題目。
[00:01:46.000 --> 00:01:53.000]  首先,門徒聽耶穌在登身報訊的時候,
[00:01:53.000 --> 00:01:55.000]  講很多的道理,
[00:01:55.000 --> 00:02:00.000]  其中就是教導他們怎麼去禱告。
