
[00:00:00.000 --> 00:00:02.560]  如果我們一開始的時候
[00:00:02.560 --> 00:00:06.480]  聽加拉太書的經文
[00:00:06.480 --> 00:00:09.440]  假設你很投入地聽
[00:00:09.440 --> 00:00:13.840]  我不知道你有沒有覺得有些冒犯性
[00:00:13.840 --> 00:00:16.160]  他第一句的說話
[00:00:16.160 --> 00:00:18.000]  馬上跟我們說
[00:00:18.000 --> 00:00:21.360]  無知的加拉太人
[00:00:21.360 --> 00:00:24.320]  我在想像如果我今天早上第一句跟大家說
[00:00:24.320 --> 00:00:27.360]  無知的北宣家弟兄姊妹
[00:00:27.360 --> 00:00:32.320]  你沒有石頭也要找半生命聖詩給我也不一定
[00:00:32.320 --> 00:00:35.040]  但是保羅是保羅
[00:00:35.040 --> 00:00:38.400]  保羅有他這樣的份量
[00:00:38.400 --> 00:00:40.640]  去跟加拉太人說話
[00:00:40.640 --> 00:00:42.880]  加拉太人也是加拉太人
[00:00:42.880 --> 00:00:47.840]  他們有謙遜的態度
[00:00:47.840 --> 00:00:50.560]  去接受保羅的勸勉
[00:00:50.560 --> 00:00:53.360]  我猜這個心態是很重要的
[00:00:53.360 --> 00:00:56.000]  以致我們聽得明白神的話
[00:00:56.000 --> 00:00:59.840]  或者聽得明白保羅在這裡對加拉太人的勸喻
[00:00:59.840 --> 00:01:02.400]  是對我們的勸喻
[00:01:02.400 --> 00:01:04.960]  而我們今天的題目也是很特別的
[00:01:04.960 --> 00:01:09.600]  聽信福音領受聖靈
[00:01:09.600 --> 00:01:13.920]  同樣如果你有留意經文讀出來的時候
[00:01:13.920 --> 00:01:18.800]  其實加拉太人是領受了聖靈
[00:01:18.800 --> 00:01:24.160]  因為保羅說他們聽信了福音
[00:01:24.160 --> 00:01:30.560]  所以我想整個題目已經是過去式了
[00:01:30.560 --> 00:01:32.480]  還有什麼可以說呢?
[00:01:32.480 --> 00:01:33.840]  接受了聖靈
[00:01:33.840 --> 00:01:35.920]  不是因為行律法
[00:01:35.920 --> 00:01:39.760]  是因為聽而相信福音
[00:01:39.760 --> 00:01:42.080]  還有什麼可以說呢?
[00:01:42.080 --> 00:01:44.640]  不過好在到了最後的時候
[00:01:44.640 --> 00:01:47.440]  到了第十四節下半節最後
[00:01:47.440 --> 00:01:52.960]  他也說藉著信心繼續領受所應許的聖靈
[00:01:52.960 --> 00:02:01.120]  似乎過去式也勉勵我們繼續領受聖靈
[00:02:01.120 --> 00:02:03.760]  所以我發覺也有話題可以說
[00:02:03.760 --> 00:02:06.800]  過去式變成了現在進行式
[00:02:06.800 --> 00:02:09.360]  所以就跟大家說
[00:02:09.360 --> 00:02:12.640]  不過在開始的時候我想提醒
[00:02:12.640 --> 00:02:19.840]  我猜我不敢大膽假設大家很熟悉聖靈的工作
[00:02:19.840 --> 00:02:22.640]  經歷了我們也未必知道
[00:02:22.640 --> 00:02:24.640]  所以我又讀幾句
[00:02:24.640 --> 00:02:30.640]  或者說一些關於聖靈很基本應該有的認識
[00:02:30.640 --> 00:02:33.840]  給大家去參考一下
[00:02:33.840 --> 00:02:36.480]  或者這樣開始
[00:02:36.480 --> 00:02:40.560]  聖靈是三位一體的神的第三位
[00:02:40.560 --> 00:02:41.920]  這個我們也知道
[00:02:41.920 --> 00:02:43.600]  他們沒有分冠、亞、貴、君
[00:02:43.600 --> 00:02:46.320]  所以這個排名是不分先後
[00:02:46.320 --> 00:02:48.960]  如果我們用生命聖詩
[00:02:48.960 --> 00:02:51.920]  我們後面也有看到的尼西亞信經
[00:02:51.920 --> 00:02:53.360]  雖然我們少讀一點
[00:02:53.360 --> 00:02:57.680]  但是那裡介紹聖靈是有這樣的說話的
[00:02:57.680 --> 00:03:02.320]  他說「我信聖靈為主
[00:03:02.320 --> 00:03:05.440]  並似生命的根源
[00:03:05.440 --> 00:03:08.080]  從父子出來的
[00:03:08.080 --> 00:03:11.760]  與父子同受敬拜
[00:03:11.760 --> 00:03:13.840]  同受尊榮
[00:03:13.840 --> 00:03:17.440]  曾藉著先知傳言」
[00:03:17.440 --> 00:03:20.960]  差不多這裡的說話
[00:03:20.960 --> 00:03:22.480]  其實在聖經裡面
[00:03:22.480 --> 00:03:24.400]  很多都可以找到
[00:03:24.400 --> 00:03:25.440]  譬如說
[00:03:25.440 --> 00:03:29.200]  聖靈以神的靈的身份
[00:03:29.200 --> 00:03:31.440]  在創世紀告訴我們
[00:03:31.440 --> 00:03:34.080]  祂參與創造
[00:03:34.080 --> 00:03:36.720]  然後祂在以色列人的群體當中
[00:03:36.720 --> 00:03:39.440]  祂次下不同的能力
[00:03:39.440 --> 00:03:42.000]  例如有解夢的能力
[00:03:42.000 --> 00:03:43.840]  你記得約瑟
[00:03:43.840 --> 00:03:53.120]  又有我稱為「設計與工藝」
[00:03:53.120 --> 00:03:54.240]  你說這些也有關
[00:03:54.240 --> 00:03:56.960]  有比薩列
[00:03:56.960 --> 00:04:00.640]  他創造、製造、繪磨
[00:04:00.640 --> 00:04:04.240]  設計與製造出來
[00:04:04.240 --> 00:04:07.200]  又或者次比士斯門
[00:04:07.200 --> 00:04:09.920]  有戰鬥的能力
[00:04:09.920 --> 00:04:11.280]  保護以色列人
[00:04:11.280 --> 00:04:14.480]  參宣是其中一個很好的例子
[00:04:14.480 --> 00:04:16.560]  然後就像聖經所說
[00:04:16.560 --> 00:04:19.680]  「次傳上帝說話的能力
[00:04:19.680 --> 00:04:21.440]  比眾先知」
[00:04:21.440 --> 00:04:23.600]  然後我們也很熟悉
[00:04:23.600 --> 00:04:26.080]  聖靈感人
[00:04:26.080 --> 00:04:29.360]  帶領耶穌來到世界上
[00:04:29.360 --> 00:04:33.200]  然後耶穌基督在世上行走的時候
[00:04:33.200 --> 00:04:35.840]  又有聖靈的帶領
[00:04:35.840 --> 00:04:39.440]  然後直到耶穌基督升天之後
[00:04:39.440 --> 00:04:42.960]  聖靈降臨在教會當中
[00:04:42.960 --> 00:04:45.840]  帶領我們接觸耶穌的工作
[00:04:45.840 --> 00:04:48.640]  然後如《仕途信經》所說
[00:04:48.640 --> 00:04:49.680]  「我信聖靈」
[00:04:49.680 --> 00:04:52.240]  然後後面有什麼?
[00:04:52.240 --> 00:04:54.320]  「信聖兒宮之教會」
[00:04:54.320 --> 00:04:56.080]  「聖徒相通」
[00:04:56.080 --> 00:04:57.680]  「聚得赦免」
[00:04:57.680 --> 00:04:59.280]  「身體復活」
[00:04:59.280 --> 00:05:00.960]  「永生」等等
[00:05:00.960 --> 00:05:06.080]  都與聖靈的工作走不掉的關係
[00:05:06.080 --> 00:05:08.320]  所以既熟悉
[00:05:08.320 --> 00:05:09.520]  又陌生
[00:05:09.520 --> 00:05:12.800]  但我希望我們可以對聖靈的了解
[00:05:12.800 --> 00:05:16.480]  經歷有根有記
[00:05:16.480 --> 00:05:20.160]  在《迦拉太書》這三章開始的時候
[00:05:20.160 --> 00:05:25.920]  鼓勵我們面對著聖靈這麼豐富的工作的時候
[00:05:25.920 --> 00:05:30.240]  我們應該怎樣對待聖靈的工作
[00:05:30.240 --> 00:05:32.160]  保羅當然剛才提過
[00:05:32.160 --> 00:05:34.240]  很不客氣地問迦拉太人
[00:05:34.240 --> 00:05:37.600]  你們是由聖靈的工作開始
[00:05:37.600 --> 00:05:42.720]  然後難道現在要靠肉身去完成嗎?
[00:05:42.720 --> 00:05:45.040]  接著又說受了這麼多苦
[00:05:45.040 --> 00:05:47.520]  白受的嗎?
[00:05:47.520 --> 00:05:50.560]  當然這裡提及受苦
[00:05:50.560 --> 00:05:52.320]  原本的文字是沒有的
[00:05:52.320 --> 00:05:55.840]  其實是說你們經歷了這麼多
[00:05:55.840 --> 00:05:58.080]  還不夠嗎?
[00:05:58.080 --> 00:06:00.320]  不過通常我們這樣說的時候
[00:06:00.320 --> 00:06:01.840]  都是經歷一些苦
[00:06:01.840 --> 00:06:02.560]  未必的
[00:06:02.560 --> 00:06:04.960]  可能是經歷聖靈也說不定
[00:06:04.960 --> 00:06:06.720]  經歷了聖靈這麼多
[00:06:06.720 --> 00:06:09.760]  現在你還要靠肉身嗎?
[00:06:09.760 --> 00:06:11.280]  以聖靈開始
[00:06:11.280 --> 00:06:14.960]  難道不是靠聖靈去完成嗎?
[00:06:14.960 --> 00:06:16.800]  其實這句話
[00:06:16.800 --> 00:06:20.640]  保羅好像在質問我們
[00:06:20.640 --> 00:06:25.040]  但其實又是一個對我們很好的提醒
[00:06:25.040 --> 00:06:26.880]  然後去到第六節
