
[00:00:00.000 --> 00:00:03.640]  今天我們開始一個新的講道系列
[00:00:03.640 --> 00:00:06.540]  叫做Be The Light Together
[00:00:06.540 --> 00:00:11.480]  我們的溝通團隊沒有透過翻譯
[00:00:11.480 --> 00:00:14.200]  我暫時翻譯成一同發亮
[00:00:14.200 --> 00:00:16.200]  Be The Light Together
[00:00:16.200 --> 00:00:20.720]  我相信基督徒在教會裡都聽過這節聖經
[00:00:20.720 --> 00:00:23.000]  《馬太福音》第五章十五節說
[00:00:23.000 --> 00:00:26.720]  沒有人點亮了燈放在斗底下
[00:00:26.720 --> 00:00:29.600]  一定是放在燈台上
[00:00:29.600 --> 00:00:31.600]  可以照亮全家的人
[00:00:31.600 --> 00:00:34.920]  今天跟大家講的不單是點一盞燈
[00:00:34.920 --> 00:00:38.840]  今天我們說我們很多的燈已經被燃點
[00:00:38.840 --> 00:00:41.560]  我們要一齊發光、一齊發亮
[00:00:41.560 --> 00:00:43.560]  問題是為什麼?
[00:00:43.560 --> 00:00:48.600]  為什麼我們基督徒要一齊發亮、一同發光呢?
[00:00:48.600 --> 00:00:50.600]  當我們思考這個問題的時候
[00:00:50.600 --> 00:00:52.120]  很自然的答案就是
[00:00:52.120 --> 00:00:54.120]  因為我們環顧了世界的社會
[00:00:54.120 --> 00:00:56.360]  在我們社會當中的世界裡
[00:00:56.360 --> 00:01:00.600]  其實是充滿了黑暗和冷漠
[00:01:00.600 --> 00:01:05.080]  我們是活在一個黑暗和冷漠的世代裡
[00:01:05.080 --> 00:01:07.960]  很多人、朋友包括我們自己在內
[00:01:07.960 --> 00:01:10.400]  很多時候每天為了生活、為了享受
[00:01:10.400 --> 00:01:11.920]  去過我們每天的日子
[00:01:11.920 --> 00:01:14.640]  但是很多時候不知不覺裡
[00:01:14.640 --> 00:01:18.560]  我們對人的需要越來越冷感
[00:01:18.560 --> 00:01:20.400]  其實很多人有需要的
[00:01:20.400 --> 00:01:23.240]  你環顧你的家人、朋友都很多的
[00:01:23.240 --> 00:01:25.240]  但是我們好像不太在乎
[00:01:25.240 --> 00:01:27.240]  有一些原因
[00:01:27.240 --> 00:01:29.240]  特別是我們中國人
[00:01:29.240 --> 00:01:32.560]  我們中國人稱之為禮義之邦
[00:01:32.560 --> 00:01:34.560]  這個以前說過的
[00:01:34.560 --> 00:01:37.200]  不過想下去是好還是不好呢?
[00:01:37.200 --> 00:01:38.720]  樣樣太過禮讓
[00:01:38.720 --> 00:01:41.640]  就算去幫助人都相當禮讓
[00:01:41.640 --> 00:01:45.000]  所以很多時候我們中國人另外一句話是什麼呢?
[00:01:45.000 --> 00:01:48.000]  國家自掃門前雪
[00:01:48.000 --> 00:01:49.800]  我昨天不是國語組弟兄姊妹
[00:01:49.800 --> 00:01:51.480]  他幫不了下一句話
[00:01:51.480 --> 00:01:53.480]  我現在年輕一代真的糟糕了
[00:01:53.480 --> 00:01:55.480]  下一句是什麼呢?
[00:01:55.480 --> 00:01:57.480]  國家自掃門前雪
[00:01:57.480 --> 00:01:59.480]  下面那句是什麼呢?
[00:01:59.480 --> 00:02:01.480]  哦,OK
[00:02:01.480 --> 00:02:03.480]  是不是代表我年紀大一點呢?
[00:02:03.480 --> 00:02:05.480]  不是的,你們不是的
[00:02:05.480 --> 00:02:07.480]  優管他人,雅尚相
[00:02:07.480 --> 00:02:09.480]  中國人有這樣的文化
[00:02:09.480 --> 00:02:11.480]  賓賓有禮,舉手抬頭
[00:02:11.480 --> 00:02:14.480]  但是很多時候,到有人有需要的時候
[00:02:14.480 --> 00:02:16.480]  通常我們都好保留
[00:02:16.480 --> 00:02:18.480]  好有保留
[00:02:18.480 --> 00:02:20.480]  現在呢
[00:02:20.480 --> 00:02:23.320]  我們很多中國同胞更加糟糕
[00:02:23.320 --> 00:02:26.080]  很多時候我們看新聞、看電視的時候
[00:02:26.080 --> 00:02:31.080]  現在很多中國同胞變得越來越自私自利
[00:02:31.080 --> 00:02:33.080]  為了個人的利益
[00:02:33.080 --> 00:02:35.080]  甚至可以到一個地步
[00:02:35.080 --> 00:02:38.080]  是不顧人的死活的
[00:02:38.080 --> 00:02:41.080]  我們聽到在中國大陸裡面
[00:02:41.080 --> 00:02:47.080]  有很多道德淪喪、貪污、造假
[00:02:47.080 --> 00:02:50.080]  男盜女娼這樣的故事
[00:02:50.080 --> 00:02:52.080]  甚至很多時候呢
[00:02:52.080 --> 00:02:55.080]  我從電視報導裡面看到
[00:02:55.080 --> 00:02:57.080]  在中國大陸裡面
[00:02:57.080 --> 00:03:00.080]  有人跌倒在你面前
[00:03:00.080 --> 00:03:02.080]  你千萬不要去幫他
[00:03:02.080 --> 00:03:03.080]  為什麼?
[00:03:03.080 --> 00:03:05.080]  你可能會招惹很多麻煩人上身
[00:03:05.080 --> 00:03:07.080]  你一過去,扶一扶他
[00:03:07.080 --> 00:03:08.080]  你弄傷我的?
[00:03:08.080 --> 00:03:10.080]  那就拿錢了
[00:03:10.080 --> 00:03:12.080]  我受傷了,你要賠償
[00:03:12.080 --> 00:03:14.080]  所以現在變得很多時候
[00:03:14.080 --> 00:03:17.080]  就算我見到有人在街上有什麼問題
[00:03:17.080 --> 00:03:19.080]  我們不敢貿貿然走上去
[00:03:19.080 --> 00:03:21.080]  伸出我們的援手
[00:03:21.080 --> 00:03:23.080]  所以人越來越謹慎
[00:03:23.080 --> 00:03:26.080]  越來越對那些所謂有需要的人
[00:03:26.080 --> 00:03:29.080]  越來越沒有知覺
[00:03:29.080 --> 00:03:31.080]  你想想人變成這樣
[00:03:31.080 --> 00:03:34.080]  其實都是很淒涼的
[00:03:34.080 --> 00:03:36.080]  我忘記是去年還是前年
[00:03:36.080 --> 00:03:38.080]  大家有沒有看電視新聞
[00:03:38.080 --> 00:03:39.080]  在中國大陸裡面
[00:03:39.080 --> 00:03:41.080]  有一個小朋友被車撞倒
[00:03:41.080 --> 00:03:42.080]  車走了
[00:03:42.080 --> 00:03:44.080]  很多人走過
[00:03:44.080 --> 00:03:46.080]  見到他躺在那裡
[00:03:46.080 --> 00:03:48.080]  沒有人看一眼
[00:03:48.080 --> 00:03:50.080]  結果這個小朋友
[00:03:50.080 --> 00:03:53.080]  太遲被人救就死了
[00:03:53.080 --> 00:03:55.080]  今天原來我們生活在一個
[00:03:55.080 --> 00:03:57.080]  這樣的世代當中
[00:03:57.080 --> 00:04:00.080]  我們稱之為黑暗
[00:04:00.080 --> 00:04:01.080]  人類活在黑暗當中
[00:04:01.080 --> 00:04:03.080]  因為心黑暗
[00:04:03.080 --> 00:04:05.080]  心黑暗
[00:04:05.080 --> 00:04:07.080]  美國會不會好一點呢
[00:04:07.080 --> 00:04:09.080]  當我們看到大陸裡面有這樣的故事的時候
[00:04:09.080 --> 00:04:11.080]  可能我們會慶幸
[00:04:11.080 --> 00:04:13.080]  感謝主,我們來到美國
[00:04:13.080 --> 00:04:15.080]  美國環境好一點吧
[00:04:15.080 --> 00:04:17.080]  特別我們生活在灣區
[00:04:17.080 --> 00:04:20.080]  前天我看新聞的時候
[00:04:20.080 --> 00:04:23.080]  灣區原來生活的指數
[00:04:23.080 --> 00:04:25.080]  真的比其他地方高很多
[00:04:25.080 --> 00:04:27.080]  其實不是三藩市
[00:04:27.080 --> 00:04:28.080]  原來是聖濠四
[00:04:28.080 --> 00:04:29.080]  為什麼我這樣說呢
[00:04:29.080 --> 00:04:31.080]  前天的時候我看到
[00:04:31.080 --> 00:04:33.080]  原來聖濠四
[00:04:33.080 --> 00:04:36.080]  房屋的中位價
[00:04:36.080 --> 00:04:38.080]  是全國之冠
[00:04:38.080 --> 00:04:41.080]  斯美齡哥報道
[00:04:41.080 --> 00:04:44.080]  全國之冠的意思是什麼呢
[00:04:44.080 --> 00:04:48.080]  如果你要在灣區聖濠四買一間房子
[00:04:48.080 --> 00:04:51.080]  中位價是77萬多
[00:04:51.080 --> 00:04:53.080]  中位價
[00:04:53.080 --> 00:04:55.080]  我的房子也不止
[00:04:55.080 --> 00:04:57.080]  可能你這樣跟我說也不一定
[00:04:57.080 --> 00:04:58.080]  那你就超過中位價
