
[00:00:00.000 --> 00:00:03.380]  今天我們讀的經文
[00:00:03.380 --> 00:00:06.180]  我們看到以利亞
[00:00:06.180 --> 00:00:12.660]  是一個非常被上帝所重用的僕人
[00:00:12.660 --> 00:00:18.460]  同樣面對這些的重擔
[00:00:18.460 --> 00:00:23.680]  她照樣受到周圍的壓力
[00:00:23.680 --> 00:00:27.080]  你不要以為她是偉人
[00:00:27.080 --> 00:00:29.560]  她就可以倖免
[00:00:29.560 --> 00:00:33.320]  以利亞是一個偉大的先知
[00:00:33.320 --> 00:00:39.600]  在以色列的歷史上是備受尊崇的
[00:00:39.600 --> 00:00:45.000]  《聖經》記載烈火和流亡都聽她的召喚
[00:00:45.000 --> 00:00:51.180]  《聖經》裡記載烈火和流亡都聽她的召喚
[00:00:51.180 --> 00:00:53.040]  如果你讀過她的事蹟
[00:00:53.040 --> 00:00:54.720]  你會知道
[00:00:54.720 --> 00:00:58.280]  以利亞同樣遇過很大的壓力
[00:00:58.280 --> 00:01:00.520]  以利亞同樣遇過很大的壓力
[00:01:00.520 --> 00:01:03.880]  《聖經》記載她幾乎崩潰了一段時間
[00:01:03.880 --> 00:01:06.680]  《聖經》記載她有一段時間幾乎崩潰
[00:01:06.680 --> 00:01:08.000]  她懷疑自己
[00:01:08.000 --> 00:01:08.680]  她懷疑自己
[00:01:08.680 --> 00:01:10.400]  對前景絕望
[00:01:10.400 --> 00:01:12.000]  對前景絕望
[00:01:12.000 --> 00:01:14.560]  《亞歌書》五章十七節說
[00:01:14.560 --> 00:01:16.480]  《亞歌書》五章十七節說
[00:01:16.480 --> 00:01:19.640]  以利亞和我們一樣的性情
[00:01:19.640 --> 00:01:22.520]  以利亞和我們一樣的性情
[00:01:22.520 --> 00:01:24.280]  容易感到混亂
[00:01:24.280 --> 00:01:25.880]  容易感到混亂
[00:01:25.880 --> 00:01:27.160]  感到沮喪
[00:01:27.160 --> 00:01:28.080]  感到沮喪
[00:01:28.080 --> 00:01:29.680]  但她最終成功了
[00:01:29.680 --> 00:01:31.480]  但她最終成功了
[00:01:31.480 --> 00:01:34.880]  所以我們學習以利亞怎樣在壓力之下生存
[00:01:34.880 --> 00:01:39.360]  所以我們要學習以利亞在壓力之下生存
[00:01:39.360 --> 00:01:41.720]  現實生活充滿艱辛
[00:01:41.720 --> 00:01:43.880]  現實生活充滿艱辛
[00:01:43.880 --> 00:01:46.360]  基督徒沒有免疫能力
[00:01:46.360 --> 00:01:48.040]  基督徒沒有免疫能力
[00:01:48.040 --> 00:01:50.080]  不過我們和其他人不同
[00:01:50.080 --> 00:01:51.720]  不過我們和其他人不同
[00:01:51.720 --> 00:01:53.840]  我們有上帝帶領我們經過
