
[00:00:00.000 --> 00:00:03.720]  我今天要和大家分享的信息是
[00:00:03.720 --> 00:00:05.720]  「領受聖靈的洗」
[00:00:05.720 --> 00:00:08.140]  經文是記載在
[00:00:08.140 --> 00:00:13.020]  《使徒行選》的十九章一至七節
[00:00:13.020 --> 00:00:15.020]  我為大家讀出
[00:00:15.020 --> 00:00:18.240]  「阿波羅在哥林多的時候
[00:00:18.240 --> 00:00:21.040]  保羅經過了內陸地區
[00:00:21.040 --> 00:00:22.800]  來到以弗所
[00:00:22.800 --> 00:00:26.120]  在那裡他遇見幾個門徒
[00:00:26.120 --> 00:00:31.720]  問他們:你們信的時候領受了聖靈沒有?
[00:00:31.720 --> 00:00:33.720]  他們說:沒有
[00:00:33.720 --> 00:00:37.340]  我們連什麼是聖靈都沒有聽過
[00:00:37.340 --> 00:00:42.560]  保羅說:這樣你們受的是什麼洗呢?
[00:00:42.560 --> 00:00:46.160]  他們說:是受了約翰的洗
[00:00:46.160 --> 00:00:51.040]  保羅說:約翰所施的是悔改的洗禮
[00:00:51.040 --> 00:00:56.300]  他告訴百姓:當信那在他以後要來的那位
[00:00:56.300 --> 00:00:58.300]  就是耶穌
[00:00:58.300 --> 00:01:00.680]  他們聽見這話以後
[00:01:00.680 --> 00:01:03.520]  就奉主耶穌的名受洗
[00:01:03.520 --> 00:01:05.360]  保羅給他們按手
[00:01:05.360 --> 00:01:08.020]  聖靈就降在他們身上
[00:01:08.020 --> 00:01:11.680]  他們開始說方言和說預言
[00:01:11.680 --> 00:01:14.180]  他們約有十二個人。」
[00:01:14.180 --> 00:01:20.760]  經文所說的事情就發生在以弗所
[00:01:21.400 --> 00:01:26.280]  實在當時的以弗所是一個大城市
[00:01:26.280 --> 00:01:29.240]  可以想像和香港比較一下
[00:01:29.240 --> 00:01:31.800]  香港也是一個國際城市
[00:01:31.800 --> 00:01:34.480]  在經濟和商業方面都很發達
[00:01:34.480 --> 00:01:38.600]  當時以弗所這個地獄荒都是這樣
[00:01:38.600 --> 00:01:42.840]  並且被稱為是亞洲的寶庫
[00:01:42.840 --> 00:01:46.080]  真的是大城市
[00:01:46.080 --> 00:01:48.880]  保羅在這個時候去到以弗所
[00:01:48.880 --> 00:01:54.880]  我們說原來他是在傳教旅程的第三次旅程
[00:01:54.880 --> 00:01:58.440]  他在以弗所前後住了三年
[00:01:58.440 --> 00:02:04.760]  也是他在這麼多段旅程中留得最長的一個地方
[00:02:04.760 --> 00:02:08.280]  這個地方真是不少東西
[00:02:08.280 --> 00:02:12.080]  在這個時候我們看到經文說到
[00:02:12.080 --> 00:02:14.720]  不單止是保羅一個人
[00:02:14.720 --> 00:02:18.960]  還提了另外一個人的名字 阿波羅
[00:02:18.960 --> 00:02:22.480]  這個阿波羅不是雪條
[00:02:22.480 --> 00:02:26.320]  這個阿波羅也是大有來頭的
[00:02:26.320 --> 00:02:29.800]  他不是生長在以弗所
[00:02:29.800 --> 00:02:32.400]  不過他也是來自另一個大城市
[00:02:32.400 --> 00:02:36.520]  叫做亞歷山大
[00:02:36.520 --> 00:02:39.360]  他是一個很有學問的人
[00:02:39.360 --> 00:02:44.560]  是一個對舊約聖經很有深刻了解的學者
[00:02:44.560 --> 00:02:51.560]  實在在十八章尾也說到他曾經在以弗所傳過教
[00:02:51.560 --> 00:02:56.120]  不過當保羅去到這個地方的時候
[00:02:56.120 --> 00:02:59.160]  他就去了哥林多
[00:02:59.160 --> 00:03:01.920]  實在我們說他都不在這裡了
[00:03:01.920 --> 00:03:06.240]  為什麼又再一次提起他在這裡
[00:03:06.240 --> 00:03:08.720]  原來是有原因的
[00:03:08.720 --> 00:03:14.200]  因為阿波羅跟這些說自己是門徒的12位
[00:03:14.200 --> 00:03:15.920]  是有關聯的
[00:03:15.920 --> 00:03:20.800]  因為他們都是聽過約翰的洗
[00:03:20.800 --> 00:03:24.840]  甚至受過悔改的洗禮
[00:03:24.840 --> 00:03:27.720]  但是對基督的救恩
[00:03:27.720 --> 00:03:31.680]  聖靈的洗卻是一無所知
[00:03:31.680 --> 00:03:38.320]  保羅在以弗所遇見了這12個自稱門徒的人
[00:03:38.320 --> 00:03:41.840]  也不奇怪 他在這裡
[00:03:41.840 --> 00:03:48.560]  不過奇怪的是 保羅遇見這些人竟然發出一個問題
[00:03:48.560 --> 00:03:54.000]  他問他們 你們信的時候領受了聖靈了沒有
[00:03:54.000 --> 00:03:56.560]  他就知道他們是信的
[00:03:56.560 --> 00:04:01.880]  實在他們自己稱自己是門徒
[00:04:01.880 --> 00:04:05.440]  應該是受了洗 信了的
[00:04:05.440 --> 00:04:08.720]  竟然問他們領受了聖靈了沒有
