
[00:00:00.000 --> 00:00:02.000]  各位靈影姊妹平安
[00:00:02.000 --> 00:00:04.800]  我想我們真的需要上帝的憐憫
[00:00:04.800 --> 00:00:07.600]  在香港這個特別的情況下
[00:00:07.600 --> 00:00:09.800]  我們求上帝幫助我們
[00:00:09.800 --> 00:00:12.400]  安慰我們內心的平安
[00:00:12.400 --> 00:00:14.200]  和大家一起去敬拜
[00:00:14.200 --> 00:00:16.000]  有一種很特別的感覺
[00:00:16.000 --> 00:00:18.000]  和大家一起唱詩
[00:00:18.000 --> 00:00:19.400]  很近
[00:00:19.400 --> 00:00:21.000]  但亦實際很遠
[00:00:21.000 --> 00:00:23.400]  因為我看不到大家
[00:00:23.400 --> 00:00:26.800]  但重要的卻是上帝在我們生命當中
[00:00:26.800 --> 00:00:28.000]  好像很遠
[00:00:28.000 --> 00:00:30.000]  卻是每天和我們一起
[00:00:30.000 --> 00:00:32.600]  這麼遠卻是那麼近
[00:00:32.600 --> 00:00:35.600]  我還很記得1979年
[00:00:35.600 --> 00:00:36.800]  很多年前
[00:00:36.800 --> 00:00:38.600]  我那時還是神學生
[00:00:38.600 --> 00:00:42.600]  那時我的教會讓我去第一次講道
[00:00:42.600 --> 00:00:44.600]  我第一次講道我仍然記得
[00:00:44.600 --> 00:00:47.600]  是《用耳不鎖書》第三章十七到第十九節
[00:00:47.600 --> 00:00:51.000]  我去講上帝的愛是何等長闊高深
[00:00:51.000 --> 00:00:54.400]  崇拜完之後有個姊妹來找我
[00:00:54.400 --> 00:00:58.600]  她說:屈,剛才你講的講道給我很多鼓勵
[00:00:58.600 --> 00:01:02.000]  神的愛那麼長闊高深真是好
[00:01:02.000 --> 00:01:04.000]  這個姊妹很好
[00:01:04.000 --> 00:01:06.000]  反而是她給我很多鼓勵
[00:01:06.000 --> 00:01:08.800]  而在那次我和她談完之後
[00:01:08.800 --> 00:01:10.800]  我心裡有一個很清楚的立志
[00:01:10.800 --> 00:01:12.800]  我要用我的一生
[00:01:12.800 --> 00:01:16.800]  去和人講解神的愛是多麼長闊高深
