
[00:00:00.000 --> 00:00:02.000]  好的 各位姐妹早安
[00:00:02.000 --> 00:00:08.000]  我們繼續我們的「紅與黃等於橙」的講道系列
[00:00:08.000 --> 00:00:15.000]  在這個系列當中都不斷講到我們教會不同的人際關係
[00:00:15.000 --> 00:00:20.000]  我們的家庭 婚姻 如何跟老人家相處 很多的關係
[00:00:20.000 --> 00:00:26.000]  今天我們繼續講到家庭與教會之間的配合
[00:00:26.000 --> 00:00:33.000]  首先在未進入今天的主題之前 想跟大家複習一下上星期
[00:00:33.000 --> 00:00:36.000]  因為上星期我在這裡講完道之後
[00:00:36.000 --> 00:00:41.000]  後來回去我就聽回朝木斯在繆皮特星期日的講道
[00:00:41.000 --> 00:00:45.000]  我發覺有一個Point很好 我想跟大家去Recap一下
[00:00:45.000 --> 00:00:49.000]  作為今次這一堂的一個開始
[00:00:49.000 --> 00:00:53.000]  上星期朝木斯在繆皮特分享的時候
[00:00:53.000 --> 00:00:56.000]  他用了一節聖經是菲勒比書的第一章
[00:00:56.000 --> 00:00:58.000]  五因在上面我讀給大家聽
[00:00:58.000 --> 00:01:03.000]  就是菲勒比書的第一章九到十節
[00:01:03.000 --> 00:01:06.000]  那裡是這樣說的 這是保祿的一個祈禱
[00:01:06.000 --> 00:01:08.000]  保祿說我所祈禱的
[00:01:08.000 --> 00:01:15.000]  就是你們的愛心在知識和各樣見識上多而又多
[00:01:15.000 --> 00:01:18.000]  使你們能夠分辨是非
[00:01:18.000 --> 00:01:25.000]  或者譯成喜愛那美好的 或者去愛那些最好的
[00:01:25.000 --> 00:01:27.000]  就是怎樣去選擇最好的
[00:01:27.000 --> 00:01:30.000]  然後作誠實無辜的人直到基督的日子
[00:01:30.000 --> 00:01:32.000]  所以這是保祿的一個祈禱
[00:01:32.000 --> 00:01:34.000]  保祿說我為你們的祈禱
[00:01:34.000 --> 00:01:36.000]  就是你們生命繼續成長的時候
[00:01:36.000 --> 00:01:38.000]  怎樣成長呢 就是你們的愛心
[00:01:38.000 --> 00:01:43.000]  在知識和各樣的見識上多而又多
[00:01:43.000 --> 00:01:48.000]  有沒有見過有些人很有愛心但沒有知識也沒有見識
[00:01:48.000 --> 00:01:50.000]  有些人很有知識沒什麼見識也沒什麼愛心
[00:01:50.000 --> 00:01:54.000]  有些人很有見識沒什麼知識也沒什麼愛心
[00:01:54.000 --> 00:01:57.000]  保祿說最好三樣都要有
[00:01:57.000 --> 00:02:01.000]  所以招牧師上星期分享了一個很重要的點
[00:02:01.000 --> 00:02:04.000]  不單止我們基督徒要有愛
[00:02:04.000 --> 00:02:06.000]  但我們也要愛得有智慧
[00:02:06.000 --> 00:02:10.000]  因為你會發覺只有愛心而沒有智慧
[00:02:10.000 --> 00:02:12.000]  沒有任何的知識和見識
[00:02:12.000 --> 00:02:14.000]  有時候不單止不會有好的效果
[00:02:14.000 --> 00:02:16.000]  還會有些反效果
[00:02:16.000 --> 00:02:22.000]  因為沒有智慧的愛會為自己和別人帶來很多傷害
[00:02:22.000 --> 00:02:24.000]  我相信我們在你身邊的朋友
[00:02:24.000 --> 00:02:26.000]  或者在你自己的經歷當中也經歷過
[00:02:26.000 --> 00:02:30.000]  有時候覺得我明明一番熱心
[00:02:30.000 --> 00:02:32.000]  為什麼最後的結果會變成這樣
[00:02:32.000 --> 00:02:35.000]  有時候中間可能缺少一點點的智慧
[00:02:35.000 --> 00:02:39.000]  如果有些經驗有些見識就會好很多
[00:02:39.000 --> 00:02:42.000]  所以這是上星期第一個很重要的點
[00:02:42.000 --> 00:02:44.000]  當招牧師講到這個點的時候
[00:02:44.000 --> 00:02:46.000]  他分享了一本書
[00:02:46.000 --> 00:02:54.000]  有一本書是Ben Young和Samuel Adams
[00:02:54.000 --> 00:02:58.000]  寫了一本書叫The Ten Commandments of Dating
[00:02:58.000 --> 00:03:00.000]  他分享了第一個Commandment
[00:03:00.000 --> 00:03:02.000]  就是Dating的十誡
[00:03:02.000 --> 00:03:04.000]  Dating的十誡第一誡是
[00:03:04.000 --> 00:03:09.000]  Thou shalt get a life first
[00:03:09.000 --> 00:03:13.000]  在你還沒有進入一段戀愛之前
[00:03:13.000 --> 00:03:15.000]  你需要自己get a life
[00:03:15.000 --> 00:03:19.000]  因為我聽完之後覺得這個點實在太重要了
[00:03:19.000 --> 00:03:23.000]  因為很多人即使進入婚姻之後
[00:03:23.000 --> 00:03:25.000]  你發覺一開始就沒有一個life
[00:03:25.000 --> 00:03:28.000]  我也認識很多年輕人是這樣
[00:03:28.000 --> 00:03:30.000]  當你人生沒有一個life
[00:03:30.000 --> 00:03:34.000]  也不知道自己想做什麼渾渾噩噩的
[00:03:34.000 --> 00:03:37.000]  突然間你喜歡的目標出現了
[00:03:37.000 --> 00:03:40.000]  那個目標就成為你的life了
[00:03:40.000 --> 00:03:42.000]  這是我人生的意義
[00:03:42.000 --> 00:03:46.000]  當然for a short moment
[00:03:46.000 --> 00:03:50.000]  被追那一方會覺得有些成就感
[00:03:50.000 --> 00:03:51.000]  有些虛榮心
[00:03:51.000 --> 00:03:52.000]  覺得我成為他女神
[00:03:52.000 --> 00:03:54.000]  我就是他生命的意義
[00:03:54.000 --> 00:03:56.000]  那些開心一下子就好了
[00:03:56.000 --> 00:03:57.000]  因為再長一點
[00:03:57.000 --> 00:04:00.000]  你發覺做人的女神壓力是很大的
[00:04:00.000 --> 00:04:03.000]  所以這也是不健康的一種關係
[00:04:03.000 --> 00:04:07.000]  無論是dating還是婚姻都一樣
[00:04:07.000 --> 00:04:12.000]  如果你不在主耶穌的生命當中
[00:04:12.000 --> 00:04:14.000]  先領受一個生命
[00:04:14.000 --> 00:04:16.000]  先有一個很清晰的方向
[00:04:16.000 --> 00:04:20.000]  知道你人生的purpose應該是做什麼
[00:04:20.000 --> 00:04:23.000]  你發覺沒有了這個作為你人生的anchor
[00:04:23.000 --> 00:04:27.000]  這個影響你所有一切的relationship
[00:04:27.000 --> 00:04:31.000]  不單是dating、婚姻
[00:04:31.000 --> 00:04:33.000]  你跟兒女的關係都會有影響
[00:04:33.000 --> 00:04:35.000]  當你沒有life的時候
[00:04:35.000 --> 00:04:38.000]  你很容易將你的所有focus
[00:04:38.000 --> 00:04:39.000]  你的所有盼望
[00:04:39.000 --> 00:04:41.000]  放在另外一個人的身上
[00:04:41.000 --> 00:04:44.000]  當成他是你的life的時候
[00:04:44.000 --> 00:04:48.000]  你發覺你沒有東西share
[00:04:48.000 --> 00:04:51.000]  你為對方造成很大的壓力
[00:04:51.000 --> 00:04:54.000]  這是很不健康的
[00:04:54.000 --> 00:04:56.000]  所以這是很好的提醒
[00:04:56.000 --> 00:04:59.000]  如果你想愛得有智慧
[00:04:59.000 --> 00:05:00.000]  第一樣的智慧
[00:05:00.000 --> 00:05:01.000]  你需要知道的是
[00:05:01.000 --> 00:05:05.000]  你需要在主耶穌身上有一個好的關係
[00:05:05.000 --> 00:05:08.000]  你需要在主耶穌身上找到你的purpose
[00:05:08.000 --> 00:05:11.000]  你自己知道生命應該怎樣過
[00:05:11.000 --> 00:05:12.000]  有一個生命
[00:05:12.000 --> 00:05:14.000]  然後下一步你才會知道
[00:05:14.000 --> 00:05:16.000]  原來我可以share這個life
[00:05:16.000 --> 00:05:19.000]  這樣就影響你所有一切的關係
[00:05:19.000 --> 00:05:25.000]  否則這個關係會變得非常不健康
[00:05:25.000 --> 00:05:27.000]  因為有時沒有了這個生命
[00:05:27.000 --> 00:05:29.000]  人生會變得很沒有安全感
[00:05:29.000 --> 00:05:31.000]  因為沒有安全感
[00:05:31.000 --> 00:05:35.000]  我們的愛就變得給對方很大壓力
[00:05:35.000 --> 00:05:38.000]  我記得我在讀心理輔導的時候
[00:05:38.000 --> 00:05:41.000]  我其中一個同學寫了一篇挺好的論文
[00:05:41.000 --> 00:05:44.000]  是一個很好的姐妹
[00:05:44.000 --> 00:05:46.000]  她寫的是從女性的角度探討
[00:05:46.000 --> 00:05:51.000]  女性對愛的安全感到底是怎樣來的
[00:05:51.000 --> 00:05:55.000]  她那篇論文最後的結論是
[00:05:55.000 --> 00:06:00.000]  如果我們不是在神的愛當中找到那種安全感
[00:06:00.000 --> 00:06:03.000]  我們將這種安全感放在人身上
[00:06:03.000 --> 00:06:09.000]  就會造成一個她稱之為無法解決的困惑
[00:06:09.000 --> 00:06:12.000]  大家知道上星期我和大家說了一個困惑
[00:06:12.000 --> 00:06:14.000]  就是每一個人在愛方面都有困惑
[00:06:14.000 --> 00:06:17.000]  其中一個最基本的困惑就是
[00:06:17.000 --> 00:06:19.000]  我們想要得到真的愛
[00:06:19.000 --> 00:06:23.000]  但得到人的愛我們不得不戴個面具
[00:06:23.000 --> 00:06:26.000]  才可以得到人的愛
[00:06:26.000 --> 00:06:32.000]  但我們又怕因為戴了面具才得到你的愛
[00:06:32.000 --> 00:06:34.000]  心裡會覺得不踏實
[00:06:34.000 --> 00:06:35.000]  覺得總是假假的
[00:06:35.000 --> 00:06:37.000]  萬一有一天你了解我了
[00:06:37.000 --> 00:06:39.000]  你知道我真實的原來是這樣的話
[00:06:39.000 --> 00:06:41.000]  可能你就不再愛我了
[00:06:41.000 --> 00:06:43.000]  所以這個就是困惑
[00:06:43.000 --> 00:06:47.000]  當人的愛沒有安全感的時候
[00:06:47.000 --> 00:06:49.000]  從女性的角度來說
[00:06:49.000 --> 00:06:51.000]  也會帶來其中一個困惑
[00:06:51.000 --> 00:06:54.000]  就是當我們不是有一個生命
[00:06:54.000 --> 00:06:58.000]  而是有一個很平靜和安全的情緒
[00:06:58.000 --> 00:07:01.000]  沒有了這種作為我們的基礎的時候
[00:07:01.000 --> 00:07:03.000]  我們會很怕孤獨
[00:07:03.000 --> 00:07:06.000]  然後我們就想用一切的手段
[00:07:06.000 --> 00:07:08.000]  去捉住一個我們的對象
[00:07:08.000 --> 00:07:11.000]  然後想辦法將他拉近在我們身邊
[00:07:11.000 --> 00:07:13.000]  影響他
[00:07:13.000 --> 00:07:15.000]  所以在現代很多女性來說
[00:07:15.000 --> 00:07:17.000]  如果那時候你約會
[00:07:17.000 --> 00:07:18.000]  無論是在婚姻當中
[00:07:18.000 --> 00:07:22.000]  如果你的另一方是很討厭你和朋友約會
