
[00:00:00.000 --> 00:00:01.760]  靜止梅平安
[00:00:01.760 --> 00:00:04.160]  我們仍然在一個逆境當中
[00:00:04.160 --> 00:00:09.280]  去過我們透過網絡去進行崇拜的生活
[00:00:09.280 --> 00:00:11.080]  在逆境當中
[00:00:11.080 --> 00:00:13.000]  有不同的人可能會提出
[00:00:13.000 --> 00:00:16.560]  他們對這個逆境的臨到神學的解釋
[00:00:16.560 --> 00:00:19.400]  正如歷世時代的人都會去求問
[00:00:19.400 --> 00:00:21.600]  究竟為何苦難會臨到
[00:00:21.600 --> 00:00:24.760]  嘗試從一個信仰的角度
[00:00:24.760 --> 00:00:28.120]  好像代表上帝去作出一個解釋一樣
[00:00:28.120 --> 00:00:31.200]  但是對於我們來說一個更實際的需要是
[00:00:31.200 --> 00:00:36.040]  我們難以代替上帝去作這個神學的解釋
[00:00:36.040 --> 00:00:38.200]  我們反而要去求問的
[00:00:38.200 --> 00:00:39.760]  是在逆境當中
[00:00:39.760 --> 00:00:43.680]  我們對我們的信仰生活有甚麼意義
[00:00:43.680 --> 00:00:46.200]  今天我們會從這個角度去進入
[00:00:46.200 --> 00:00:47.960]  啟示錄第三章
[00:00:47.960 --> 00:00:51.080]  給老弟加教會這封書信的信息
[00:00:51.080 --> 00:00:54.320]  我請大家先和我一同禱告
[00:00:54.320 --> 00:00:57.440]  天父上帝你是那位真實的上帝
[00:00:57.440 --> 00:01:02.120]  是那位呼召我們跟從耶穌基督的上帝
[00:01:02.120 --> 00:01:05.760]  是那位賜下聖靈與我們同行
[00:01:05.760 --> 00:01:09.040]  叫到我們在一切的考驗當中
[00:01:09.040 --> 00:01:11.600]  不致跌倒的上帝
[00:01:11.600 --> 00:01:13.880]  我們仰望祢、投靠祢
[00:01:13.880 --> 00:01:16.680]  求祢藉著祢的聖靈向我們說話
[00:01:16.680 --> 00:01:19.600]  好叫我們能夠在不同的考驗中
[00:01:19.600 --> 00:01:21.480]  仍然站立得穩
[00:01:21.480 --> 00:01:24.880]  在我們生命所需要得到的更新變化中
[00:01:24.880 --> 00:01:26.640]  得著祢的幫助
[00:01:26.640 --> 00:01:28.760]  願主使人聽我們的禱告
[00:01:28.760 --> 00:01:30.960]  奉耶穌基督的聖名祈求
[00:01:30.960 --> 00:01:32.240]  阿們
[00:01:32.240 --> 00:01:36.040]  今天我們要讀這封給老弟加的書信
[00:01:36.040 --> 00:01:40.000]  正如我們看啟示錄的其他給教會的書信一樣
[00:01:40.000 --> 00:01:44.560]  我們留心到是哪一位向教會發出信息
[00:01:44.560 --> 00:01:47.040]  事實上我們要洞察到
[00:01:47.040 --> 00:01:50.160]  我們所經歷的一切事情背後的意義
[00:01:50.160 --> 00:01:51.920]  以及認識生命的本相
[00:01:51.920 --> 00:01:55.320]  我們需要有一面最可靠的鏡子
[00:01:55.320 --> 00:01:57.000]  從今天我們所讀的經文裏面
[00:01:57.000 --> 00:01:58.080]  我們知道
[00:01:58.080 --> 00:02:02.440]  聖經這樣形容那位發出書信的上帝
[00:02:02.440 --> 00:02:04.520]  他是稱為「阿們的神」
[00:02:04.520 --> 00:02:07.120]  在第十三章十四節裏面這樣說
[00:02:07.120 --> 00:02:10.600]  「你要寫信給在老弟加教會的使者
