
[00:00:00.000 --> 00:00:04.100]  今次是天父賜給我們安靜的吩咐
[00:00:04.100 --> 00:00:06.100]  休息的福分
[00:00:06.100 --> 00:00:08.820]  能夠休息,因為知道祂是神
[00:00:08.820 --> 00:00:10.820]  我們不用靠自己
[00:00:10.820 --> 00:00:12.820]  而有真正的平安
[00:00:12.820 --> 00:00:14.820]  也知道有真正的生命賜給我們
[00:00:14.820 --> 00:00:16.820]  我們先一起祈禱
[00:00:16.820 --> 00:00:22.820]  天父,祢的恩典總是豐富
[00:00:22.820 --> 00:00:26.820]  但唯有我們眼目被祢擦亮
[00:00:26.820 --> 00:00:28.820]  我們才看到
[00:00:28.820 --> 00:00:30.820]  靠祢擦亮我們的眼目
[00:00:30.820 --> 00:00:32.820]  開通我們的耳朵
[00:00:32.820 --> 00:00:34.820]  好讓我們看見
[00:00:34.820 --> 00:00:37.820]  聽見
[00:00:37.820 --> 00:00:39.820]  明白
[00:00:39.820 --> 00:00:41.820]  領受又遵行祢的道
[00:00:41.820 --> 00:00:45.820]  以致我們生命可以榮耀祢
[00:00:45.820 --> 00:00:47.820]  可以豐富起祢
[00:00:47.820 --> 00:00:49.820]  可以成為祢的榮耀
[00:00:49.820 --> 00:00:51.820]  禱告奉耶穌的面向
[00:00:51.820 --> 00:00:52.820]  阿們
[00:00:52.820 --> 00:00:54.820]  今日的題目很清楚了
[00:00:54.820 --> 00:00:56.820]  你們的眼和耳是有福的
[00:00:56.820 --> 00:00:58.820]  有福
[00:00:58.820 --> 00:01:00.820]  因為看得到一些
[00:01:00.820 --> 00:01:02.820]  必須要看清楚
[00:01:02.820 --> 00:01:04.820]  聽得到必須要
[00:01:04.820 --> 00:01:06.820]  聽得清,聽得明白的事情
[00:01:06.820 --> 00:01:08.820]  不過聽得清
[00:01:08.820 --> 00:01:10.820]  看得清和明白
[00:01:10.820 --> 00:01:12.820]  卻有時是
[00:01:12.820 --> 00:01:14.820]  一個可能我們
[00:01:14.820 --> 00:01:16.820]  會錯失了的福分
[00:01:16.820 --> 00:01:18.820]  在2001年10月的時候
[00:01:18.820 --> 00:01:20.820]  有一間美國很大的能源公司
[00:01:20.820 --> 00:01:22.820]  叫做Enron
[00:01:22.820 --> 00:01:24.820]  大家可能都會記得
