
[00:00:00.000 --> 00:00:03.840]  如果你留心去看《羅馬書》第十二、第十三章
[00:00:03.840 --> 00:00:06.720]  你會發覺保羅不僅是叫我們仰望十字架
[00:00:06.720 --> 00:00:11.240]  保羅也是將我們的視線指向主耶穌基督的再來
[00:00:11.240 --> 00:00:15.600]  不僅是主耶穌基督第一次來爲我們上十字架
[00:00:15.600 --> 00:00:19.600]  保羅將我們的視線轉向耶穌基督的再來
[00:00:19.600 --> 00:00:21.680]  第十三章第十一節這樣說
[00:00:21.680 --> 00:00:25.920]  「還有,你們要知道,現在正是時候了。」
[00:00:26.720 --> 00:00:32.000]  「你們真的要知道現在的時間是什麼,現在就是時候了。」
[00:00:32.000 --> 00:00:37.200]  「因爲我們的得救現在比初訊的時候更近了。」
[00:00:37.200 --> 00:00:40.800]  原來我們的得救沒有辦法完整
[00:00:40.800 --> 00:00:44.160]  直到主耶穌基督再來
[00:00:44.160 --> 00:00:48.320]  我們已經得救,我們現在正在被得救
[00:00:48.320 --> 00:00:51.600]  但是將來我們要完全地被得救
[00:00:51.600 --> 00:00:55.200]  我們正在等我們救恩的成全
[00:00:55.200 --> 00:00:57.760]  每一個真真正正認識主耶穌基督的人
[00:00:57.760 --> 00:01:01.760]  應該是期待着主耶穌基督的來臨
[00:01:01.760 --> 00:01:06.080]  保羅說我們要洞悉現在這個時間
[00:01:06.080 --> 00:01:09.920]  保羅不是叫你去看標,不是叫你去觀星
[00:01:09.920 --> 00:01:13.120]  保羅說你知不知道主耶穌基督就快回來了
[00:01:13.120 --> 00:01:18.080]  祂一定會回來,祂就快回來,這個世界要過去了
[00:01:18.080 --> 00:01:23.600]  香港會過去,中國會過去,北韓會過去,美國都會過去
[00:01:24.320 --> 00:01:27.840]  股市會過去,樓市會過去,一切都要過去
[00:01:27.840 --> 00:01:31.440]  但是唯一一樣東西,天國將來
[00:01:31.440 --> 00:01:35.200]  而天國永遠不會過去
[00:01:35.200 --> 00:01:40.080]  保羅說你要好好思想主耶穌基督的來臨
[00:01:40.080 --> 00:01:45.280]  你要好好思想世界的終結
[00:01:45.280 --> 00:01:47.680]  最後的審判
