
[00:00:00.000 --> 00:00:05.300]  今天的講題是承擔新時代的開始
[00:00:05.300 --> 00:00:08.280]  我相信今天如果我們說是一個新時代
[00:00:08.280 --> 00:00:10.640]  一點大家都不會懷疑的
[00:00:10.640 --> 00:00:16.060]  也都很深信已經在經歷著這樣的事情
[00:00:16.060 --> 00:00:19.540]  如果我們回望過去這幾十年
[00:00:19.540 --> 00:00:22.280]  如果對我來講這個新時代
[00:00:22.280 --> 00:00:25.280]  的確有很多事情發生了
[00:00:25.280 --> 00:00:32.360]  如果用一個新的創新
[00:00:32.360 --> 00:00:37.240]  新的invention 新的發明來講
[00:00:37.240 --> 00:00:38.620]  我想對我來講
[00:00:38.620 --> 00:00:40.960]  可能我們中間很多人聽到來說都是
[00:00:40.960 --> 00:00:44.400]  電腦一樣東西 電話一樣東西
[00:00:44.400 --> 00:00:46.400]  都是一個很新的發明
[00:00:46.400 --> 00:00:50.960]  也都令到整個時代 整個的方向都不同了
[00:00:50.960 --> 00:00:55.340]  但是在我的時代 我學打字是用打字機的
[00:00:55.340 --> 00:00:58.680]  我不知道聽眾有多少個是打字機的
[00:00:58.680 --> 00:01:00.720]  突然之間問 我不知道 我說是的
[00:01:00.720 --> 00:01:04.520]  當然對我女兒來講不是的 打字是用電腦的
[00:01:04.520 --> 00:01:08.300]  當然如果用打字機 我們以往是打字打錯了
[00:01:08.300 --> 00:01:12.700]  怎麼樣?可能有些改字帶 我不知道你知不知道
[00:01:12.700 --> 00:01:16.620]  但是錯了幾次 或者一個段落錯了又來打一個
[00:01:16.620 --> 00:01:19.500]  但是電腦不同了 的確帶來很多方面
[00:01:19.500 --> 00:01:24.500]  在我的年代就是286的年代 386的年代
[00:01:24.500 --> 00:01:28.160]  讀大學 我有個電腦在家裡是比較奢侈的
[00:01:28.160 --> 00:01:31.920]  所以我都是要在學校做功課
[00:01:31.920 --> 00:01:33.600]  在借別人家裡做
[00:01:33.600 --> 00:01:37.600]  有時候別人家裡做完了 比較富裕的同學
[00:01:37.600 --> 00:01:40.000]  之後我就要做個通宵
[00:01:40.000 --> 00:01:43.580]  那就可以做回我的功課 那個日子很有趣
[00:01:43.580 --> 00:01:49.260]  當然今天的電腦都不單止是文書工作
[00:01:49.260 --> 00:01:52.080]  現在我就對著電腦和大家講道
[00:01:52.080 --> 00:01:56.100]  是一個攝影的功用 也可以剪片
[00:01:56.100 --> 00:01:57.960]  也可以在網上 哇 很厲害
[00:01:57.960 --> 00:02:00.140]  真的想一下沒有這件事
[00:02:00.140 --> 00:02:03.420]  和當日我們和今天有一個很大的分別
[00:02:03.420 --> 00:02:06.860]  又或者另一個很大的發明是電話
[00:02:06.860 --> 00:02:10.780]  當然電話做遊戲 不過智能電話就很不一樣
[00:02:10.780 --> 00:02:13.120]  但是在我們的年代 電話都是
[00:02:13.120 --> 00:02:16.240]  全家裡只有一條電話線
[00:02:16.240 --> 00:02:18.360]  所以有些人很喜歡煲電話粥
[00:02:18.360 --> 00:02:22.760]  以前是有這樣的terms
