
[00:00:00.000 --> 00:00:02.000]  各位電影節目的早晨
[00:00:02.000 --> 00:00:04.000]  上次講道的時候
[00:00:04.000 --> 00:00:06.000]  跟大家回顧了冥恩堂
[00:00:06.000 --> 00:00:08.000]  頭幾年的歷史
[00:00:08.000 --> 00:00:10.000]  因為十二月第一個禮拜
[00:00:10.000 --> 00:00:13.000]  是冥恩堂三十三週年的堂慶
[00:00:13.000 --> 00:00:17.000]  在其中我又和大家介紹了冥恩堂這個名字的意思
[00:00:17.000 --> 00:00:19.000]  不知道大家有沒有印象呢
[00:00:19.000 --> 00:00:21.000]  冥記神恩典
[00:00:21.000 --> 00:00:22.000]  冥恩堂
[00:00:22.000 --> 00:00:24.000]  大家記得我們都拿一個諧音
[00:00:24.000 --> 00:00:26.000]  是神恩典的器皿
[00:00:26.000 --> 00:00:29.000]  我們要成為傾流上帝恩典的器皿
[00:00:29.000 --> 00:00:31.000]  這個是教會名字的意思
[00:00:31.000 --> 00:00:33.000]  所以冥恩堂
[00:00:33.000 --> 00:00:34.000]  要我們謹記
[00:00:34.000 --> 00:00:36.000]  我們要成為主
[00:00:36.000 --> 00:00:37.000]  祂自己所使用的
[00:00:37.000 --> 00:00:39.000]  我選了三段經文
[00:00:39.000 --> 00:00:40.000]  上次講了兩段
[00:00:40.000 --> 00:00:43.000]  第一段是馬太福音第28章18至10節
[00:00:43.000 --> 00:00:45.000]  講我們教會
[00:00:45.000 --> 00:00:49.000]  有領人做主門徒的照明
[00:00:49.000 --> 00:00:51.000]  因為耶穌說的
[00:00:51.000 --> 00:00:53.000]  所以你們要去
[00:00:53.000 --> 00:00:55.000]  在萬民做我的門徒
[00:00:55.000 --> 00:00:56.000]  耶穌在哪裏
[00:00:56.000 --> 00:00:58.000]  我們就在哪裏
[00:00:58.000 --> 00:01:01.000]  耶穌經常和弱勢群體在一起
[00:01:01.000 --> 00:01:03.000]  耶穌經常和罪人在一起
[00:01:03.000 --> 00:01:06.000]  耶穌經常和被人看不起的人在一起
[00:01:06.000 --> 00:01:11.000]  然後就會受到當時宗教的領袖所鄙視
[00:01:11.000 --> 00:01:12.000]  會議論他們
[00:01:12.000 --> 00:01:13.000]  這是第一點
[00:01:13.000 --> 00:01:14.000]  第二
[00:01:14.000 --> 00:01:17.000]  是引用了彼得前書2章9至10節
[00:01:17.000 --> 00:01:21.000]  我們教會有做君尊祭司的照明
[00:01:21.000 --> 00:01:23.000]  是分別出來給上帝用
[00:01:23.000 --> 00:01:25.000]  教會可以做很多事情
[00:01:25.000 --> 00:01:29.000]  但我們所做的是不是上帝用的呢?
[00:01:29.000 --> 00:01:31.000]  我們有沒有想過我們的主人是誰呢?
[00:01:31.000 --> 00:01:32.000]  原來就是上帝呢?
[00:01:32.000 --> 00:01:34.000]  如果放在個別的信徒
[00:01:34.000 --> 00:01:36.000]  我們知道很多人都可以使用我們
[00:01:36.000 --> 00:01:37.000]  大家要記得
[00:01:37.000 --> 00:01:39.000]  我們要給誰使用呢?
[00:01:39.000 --> 00:01:40.000]  就是給主使用
[00:01:40.000 --> 00:01:44.000]  分別出來的是給主使用
[00:01:44.000 --> 00:01:48.000]  今天我選了第三段的經文
[00:01:48.000 --> 00:01:51.000]  是《小人傳》第一章4至8節
[00:01:51.000 --> 00:01:53.000]  作先知的照明
[00:01:53.000 --> 00:01:57.000]  先知的照明很多時候感覺到就是講預言
[00:01:57.000 --> 00:01:59.000]  或者我們後來清楚知道
[00:01:59.000 --> 00:02:01.000]  先知不只是講預言
[00:02:01.000 --> 00:02:02.000]  他是講神的話
[00:02:02.000 --> 00:02:04.000]  是神的代言人
[00:02:04.000 --> 00:02:05.000]  我要告訴大家
[00:02:05.000 --> 00:02:11.000]  先知的照明原來是叫他的百姓群體迴轉復興
[00:02:11.000 --> 00:02:14.000]  並且要傳揚救恩到外邦
[00:02:14.000 --> 00:02:16.000]  《小人傳》一章8節
[00:02:16.000 --> 00:02:19.000]  是一段大家很熟悉的經文
[00:02:19.000 --> 00:02:21.000]  所以主席不讀
[00:02:21.000 --> 00:02:23.000]  留給大家背
[00:02:23.000 --> 00:02:24.000]  會不會?
[00:02:24.000 --> 00:02:25.000]  背呀
[00:02:25.000 --> 00:02:28.000]  「但聖靈降臨在你們身上
[00:02:28.000 --> 00:02:31.000]  你們就必得著能力
[00:02:31.000 --> 00:02:33.000]  並要在耶路撒冷
[00:02:33.000 --> 00:02:34.000]  猶太傳地
[00:02:34.000 --> 00:02:35.000]  撒瑪利亞
[00:02:35.000 --> 00:02:36.000]  直到地極
[00:02:36.000 --> 00:02:38.000]  作我的見證」
[00:02:38.000 --> 00:02:42.000]  有誰是第一次聽我們背的?
[00:02:42.000 --> 00:02:43.000]  有沒有第一次聽的?
[00:02:43.000 --> 00:02:44.000]  這段經文
[00:02:44.000 --> 00:02:45.000]  都有的
