
[00:00:00.000 --> 00:00:01.640]  OK,各位早晨
[00:00:01.640 --> 00:00:04.520]  各位早晨
[00:00:04.520 --> 00:00:07.280]  嘩,係呀,好有...
[00:00:07.280 --> 00:00:10.160]  係呀,Feel到大家有D精神呀
[00:00:10.160 --> 00:00:11.480]  好,咁呢就...
[00:00:11.480 --> 00:00:13.320]  問下大家先啦,好嘛
[00:00:13.320 --> 00:00:15.560]  好,開始嘅時候先考下大家先
[00:00:15.560 --> 00:00:17.320]  可唔可以請能幫手閂一閂個門
[00:00:17.320 --> 00:00:18.600]  係呀
[00:00:18.600 --> 00:00:20.400]  Thank you,唔係,唔該哂
[00:00:20.400 --> 00:00:24.920]  好,我哋呢睇緊提多書,係咪
[00:00:24.920 --> 00:00:26.440]  咁呢我再問多次啦
[00:00:26.440 --> 00:00:28.640]  我知道呢已經問咗好幾次啦
[00:00:28.640 --> 00:00:30.600]  但係我Just in case,大家唔記得
[00:00:30.600 --> 00:00:32.240]  提多書係邊個寫㗎
[00:00:32.240 --> 00:00:34.680]  提多
[00:00:34.680 --> 00:00:36.680]  唔係,係保羅,無錯啦
[00:00:36.680 --> 00:00:38.840]  係啦,係保羅寫畀提多嘅
[00:00:38.840 --> 00:00:41.600]  好,咁呢,佢係一個嘅外邦人啦
[00:00:41.600 --> 00:00:42.920]  呢個提多係一個外邦人啦
[00:00:42.920 --> 00:00:46.360]  當時呢佢被保羅呢就差派去到一個地方
[00:00:46.360 --> 00:00:47.080]  知唔知叫咩名
[00:00:47.080 --> 00:00:49.080]  叫做
[00:00:49.080 --> 00:00:50.520]  克里特,咁樣
[00:00:50.520 --> 00:00:51.320]  克里特
[00:00:51.320 --> 00:00:54.600]  係啦,你睇嘅時候呢可以開住嗰個聖經App啦
[00:00:54.600 --> 00:00:55.400]  可以望住
[00:00:55.400 --> 00:00:57.960]  咁喺第一章嘅,又已經講咗啦
[00:00:57.960 --> 00:00:58.800]  叫做克里特
[00:00:58.800 --> 00:01:00.560]  咁樣就係,喺邊度呀
[00:01:00.560 --> 00:01:03.520]  紅色字嗰度啦,喺最下面㗎喎
[00:01:03.520 --> 00:01:05.280]  佢呢係屬於呢個希臘
[00:01:05.280 --> 00:01:08.160]  希臘呢個俄國嘅最大一個島啦,咁樣
[00:01:08.160 --> 00:01:10.000]  咁佢就差派到去一個島
[00:01:10.000 --> 00:01:10.600]  去到
[00:01:10.600 --> 00:01:13.360]  去到教,去到呢帶領教會喎
[00:01:13.360 --> 00:01:14.360]  都幾得意㗎喎
[00:01:14.360 --> 00:01:16.200]  好啦,再問多條問題先
[00:01:16.200 --> 00:01:17.120]  第二條
[00:01:17.120 --> 00:01:18.560]  提多書呢
[00:01:18.560 --> 00:01:20.240]  曾經被稱為
[00:01:20.240 --> 00:01:22.960]  或者賢金啦,都被稱為乜乜嘅書信
[00:01:22.960 --> 00:01:24.480]  係乜乜書信吓
[00:01:24.480 --> 00:01:25.800]  好,畀大家揀
[00:01:25.800 --> 00:01:26.840]  四個choice
[00:01:26.840 --> 00:01:27.360]  第一
[00:01:27.560 --> 00:01:28.720]  基督書信
[00:01:28.720 --> 00:01:29.680]  第二
[00:01:29.680 --> 00:01:30.800]  保羅書信
[00:01:30.800 --> 00:01:31.760]  第三
[00:01:31.760 --> 00:01:32.880]  教目書信
[00:01:32.880 --> 00:01:33.640]  第四
[00:01:33.640 --> 00:01:34.880]  教會書信
[00:01:34.880 --> 00:01:37.800]  好
[00:01:37.800 --> 00:01:39.440]  基督書信舉手
[00:01:39.440 --> 00:01:41.840]  好
[00:01:41.840 --> 00:01:43.680]  第二,保羅書信舉手
[00:01:43.680 --> 00:01:46.600]  第三
[00:01:46.600 --> 00:01:48.000]  教目書信舉手
[00:01:48.000 --> 00:01:52.240]  咁即係全部第四啦,係咪呀
[00:01:52.240 --> 00:01:53.120]  我唔問㗎喇喎
[00:01:53.120 --> 00:01:54.400]  好,教會書信舉手
[00:01:54.400 --> 00:01:56.480]  好
[00:01:56.880 --> 00:01:58.240]  其實呢就係
[00:01:58.240 --> 00:01:59.920]  二同埋三嘅
[00:01:59.920 --> 00:02:02.040]  就係後面兩位喇
[00:02:02.040 --> 00:02:03.200]  咁呀二同三
[00:02:03.200 --> 00:02:05.560]  就係呢佢亦都叫做保羅書信
[00:02:05.560 --> 00:02:07.560]  因為頭先話保羅寫㗎嘛,係咪
[00:02:07.560 --> 00:02:08.840]  咁呀有個hint喇
[00:02:08.840 --> 00:02:10.680]  第三呢嗰個呢就係叫做
[00:02:10.680 --> 00:02:11.840]  教目書信
[00:02:11.840 --> 00:02:13.800]  咁呢點解會咁樣叫㗎呢
[00:02:13.800 --> 00:02:15.320]  咁呢佢同呢一個叫做
[00:02:15.320 --> 00:02:16.560]  First and Second Timothy
[00:02:16.560 --> 00:02:19.560]  就係提摩,提摩太前後書
[00:02:19.560 --> 00:02:21.240]  同埋呢個提多書
[00:02:21.240 --> 00:02:22.200]  呢三個書啦
[00:02:22.200 --> 00:02:22.680]  ok
[00:02:22.680 --> 00:02:25.240]  提前提後同埋提多書啦
[00:02:25.480 --> 00:02:27.800]  咁呢都係被稱為呢教目書信
[00:02:27.800 --> 00:02:29.600]  就好似仿佛要train up
[00:02:29.600 --> 00:02:31.320]  點樣喺教會裏面做一個目者
[00:02:31.320 --> 00:02:32.080]  做一個leader
[00:02:32.080 --> 00:02:34.160]  咁今日我哋聽落去呢
[00:02:34.160 --> 00:02:36.080]  其實同我哋有咩關係呢,咁樣
[00:02:36.080 --> 00:02:38.800]  好啦,咁呢我而家呢就再recap
[00:02:38.800 --> 00:02:40.400]  下上個禮拜呢
[00:02:40.400 --> 00:02:41.920]  Pastor Johnny 所講嘅嘢喇喎
[00:02:41.920 --> 00:02:43.320]  咁你睇下記唔記得先
[00:02:43.320 --> 00:02:45.160]  好,第三題
[00:02:45.160 --> 00:02:46.600]  上個禮拜Pastor Johnny
[00:02:46.600 --> 00:02:48.120]  所分享嘅經文當中
[00:02:48.120 --> 00:02:50.000]  究竟有邊一行
[00:02:50.000 --> 00:02:51.600]  係冇提及過㗎呢
[00:02:51.600 --> 00:02:54.040]  有邊一類人係冇被提及過㗎呢
[00:02:56.000 --> 00:02:56.520]  好
[00:02:56.520 --> 00:02:59.160]  你覺得係年長嘅婦女
[00:02:59.160 --> 00:03:00.720]  年長嘅女人,舉手
[00:03:00.720 --> 00:03:02.760]  冇被提及過
[00:03:02.760 --> 00:03:04.160]  好,第二
[00:03:04.160 --> 00:03:06.280]  年輕嘅young woman
