
[00:00:00.000 --> 00:00:03.780]  大家有沒有留意香港近期的股市
[00:00:03.780 --> 00:00:06.840]  有沒有啊
[00:00:06.840 --> 00:00:11.180]  看聞,我看報紙而已,聽聞
[00:00:11.180 --> 00:00:13.320]  在銀行聽聽人們的說法
[00:00:13.320 --> 00:00:17.900]  看聞和聽聞是起跌得很厲害的,對不對
[00:00:17.900 --> 00:00:21.900]  上個星期好像又飆升了很高
[00:00:21.900 --> 00:00:24.540]  人們說,哇,衝破2萬6000了
[00:00:24.540 --> 00:00:26.880]  我們是聽聞,看聞罷了
[00:00:27.460 --> 00:00:31.140]  過了沒有啊,已經過了,哇,厲害
[00:00:31.140 --> 00:00:32.860]  4萬
[00:00:32.860 --> 00:00:36.740]  哇,厲害,真是聽聞
[00:00:36.740 --> 00:00:40.340]  接着好像又回落了
[00:00:40.340 --> 00:00:43.200]  我聽到人們說
[00:00:43.200 --> 00:00:46.080]  哇,趁高就快點放
[00:00:46.080 --> 00:00:49.420]  掙了這麼久,趁高快點放
[00:00:49.420 --> 00:00:52.920]  放完跌的時候就快點買
[00:00:52.920 --> 00:00:56.800]  接着人們就會加柴加鹽,就會升了
[00:00:57.200 --> 00:01:00.740]  所以我猜,香港也是這樣的
[00:01:00.740 --> 00:01:02.840]  股市起起跌跌
[00:01:02.840 --> 00:01:04.820]  人的心就會怎樣
[00:01:04.820 --> 00:01:06.820]  起起跌跌的,對不對
[00:01:06.820 --> 00:01:09.780]  錢就會出出入入,對不對
[00:01:09.780 --> 00:01:14.300]  很多人都會用這些錢去投資
[00:01:14.300 --> 00:01:17.600]  去用
[00:01:17.600 --> 00:01:21.520]  就是要用,要過活的
[00:01:21.520 --> 00:01:24.920]  那究竟我們用的錢
[00:01:24.920 --> 00:01:27.680]  是怎樣用法
[00:01:27.680 --> 00:01:29.680]  是好的呢
[00:01:29.680 --> 00:01:32.260]  其實這個比喻
[00:01:32.260 --> 00:01:36.000]  耶穌是講出這個的重點來的
[00:01:36.000 --> 00:01:39.120]  今天這個比喻
[00:01:39.120 --> 00:01:42.120]  就和大家思想一個題目
[00:01:42.120 --> 00:01:44.880]  錢就在你的手上
[00:01:44.880 --> 00:01:49.400]  但是用呢,是要用在神的心上
[00:01:49.400 --> 00:01:54.900]  這段聖經一開始就提到
[00:01:54.900 --> 00:01:57.580]  有個人問耶穌
[00:01:57.580 --> 00:02:00.600]  夫子,就是這個拉比,這個老師
[00:02:00.600 --> 00:02:03.380]  幫我和哥哥分家產
[00:02:03.380 --> 00:02:08.480]  其實當時的拉比都有一個作用的
[00:02:08.480 --> 00:02:11.280]  就是在一些法律的爭執上
[00:02:11.280 --> 00:02:13.020]  要做裁決的
[00:02:13.020 --> 00:02:16.600]  所以這個人這樣問耶穌,也是恰當的
[00:02:16.600 --> 00:02:20.220]  不過耶穌就不理他了
[00:02:20.220 --> 00:02:24.280]  誰叫你來,我和你做這個斷事的官
