
[00:00:00.000 --> 00:00:04.000]  今天我們回到哥倫多前書的分享
[00:00:04.000 --> 00:00:08.400]  今天的題目是"自我約束的喜樂"
[00:00:08.400 --> 00:00:11.120]  一說到自我約束
[00:00:11.120 --> 00:00:13.720]  我第一時間就想起
[00:00:13.720 --> 00:00:15.160]  喫東西啦
[00:00:15.160 --> 00:00:17.240]  減肥啦
[00:00:17.240 --> 00:00:19.720]  在香港人有什麼吸引過
[00:00:19.720 --> 00:00:24.000]  這個這樣的
[00:00:24.000 --> 00:00:25.560]  哇 說到減肥
[00:00:25.560 --> 00:00:31.880]  就可以真是有動力去節食
[00:00:31.880 --> 00:00:34.840]  可能呢 爲什麼我一想就想到喫東西呢
[00:00:34.840 --> 00:00:37.240]  可能我的同工太喜歡喫東西了
[00:00:37.240 --> 00:00:42.920]  我就以爲每個香港人都很講健康的
[00:00:42.920 --> 00:00:46.480]  那麼在疫情之前
[00:00:46.480 --> 00:00:49.760]  我就和教會學校老師開會的時候
[00:00:49.760 --> 00:00:52.640]  之前一定和他們有聯誼的時間
[00:00:52.640 --> 00:00:54.480]  我就叫食物一起回來喫
[00:00:54.480 --> 00:00:58.880]  有一次我就叫了一些小菜和大家一起回來喫
[00:00:58.880 --> 00:01:04.640]  其中一碟就是這張照片的梅菜扣肉
[00:01:04.640 --> 00:01:07.400]  咦 靚不靚呀
[00:01:07.400 --> 00:01:11.120]  啊 陳牧師一定說靚啦
[00:01:11.120 --> 00:01:13.400]  我知道陳牧師很喜歡喫這東西
[00:01:13.400 --> 00:01:14.920]  不過我當時就在想
[00:01:14.920 --> 00:01:18.240]  這麼多姐妹 姐妹怕肥的嘛
[00:01:18.240 --> 00:01:20.480]  那不如叫一碟小的啦
[00:01:20.480 --> 00:01:24.040]  哇 竟然所有的小菜當中
[00:01:24.040 --> 00:01:27.480]  轉眼間就沒有了 就是這一碟扣肉
[00:01:27.480 --> 00:01:29.880]  只剩下一點點的梅菜
[00:01:29.880 --> 00:01:33.440]  其中一個老師的姐妹就遲到了
[00:01:33.440 --> 00:01:35.680]  當她進來的時候
[00:01:35.680 --> 00:01:38.800]  啊 沒有了梅菜扣肉啦
[00:01:38.800 --> 00:01:43.520]  她說 我很喜歡喫的
[00:01:43.520 --> 00:01:45.680]  哇 真是猜不到
[00:01:45.680 --> 00:01:48.600]  我真的完全估計不到
[00:01:48.600 --> 00:01:51.680]  原來梅菜扣肉的吸引力是這麼大的
[00:01:51.680 --> 00:01:54.080]  在一個多星期前
[00:01:54.080 --> 00:01:56.920]  有一次我們有個聚會之前
[00:01:56.920 --> 00:01:58.800]  同工就喫飯
[00:01:58.800 --> 00:02:01.160]  陳牧師就突然間問我
[00:02:01.160 --> 00:02:04.120]  我最近看到某某姐妹
[00:02:04.120 --> 00:02:06.200]  爲什麼她瘦了這麼多
[00:02:06.200 --> 00:02:08.040]  發生什麼事了
[00:02:08.040 --> 00:02:09.200]  我就回答
[00:02:09.200 --> 00:02:12.400]  我沒事 貪靚罷了
[00:02:12.400 --> 00:02:14.960]  那就減肥咯 是不是
[00:02:14.960 --> 00:02:16.720]  陳牧就立刻說
[00:02:16.720 --> 00:02:18.280]  我也貪靚的
[00:02:18.280 --> 00:02:20.760]  然後他就看着自己的身體
[00:02:20.760 --> 00:02:22.840]  不知道他想表達什麼
[00:02:22.840 --> 00:02:25.280]  但Pastor Sandy就很厲害了
[00:02:25.280 --> 00:02:26.800]  立刻就有個回應
[00:02:26.800 --> 00:02:27.440]  他說
[00:02:27.440 --> 00:02:28.880]  是啊 陳牧師
[00:02:28.880 --> 00:02:30.560]  不過
[00:02:30.560 --> 00:02:33.720]  你覺得這塊燒肉更漂亮咯
[00:02:33.720 --> 00:02:37.680]  我就立刻想起陳牧師兩個星期前那篇道
[00:02:37.680 --> 00:02:40.480]  這塊這麼漂亮的燒肉
[00:02:40.480 --> 00:02:41.280]  我就想
[00:02:41.280 --> 00:02:45.320]  Pastor Sandy說這句話也挺有意思的
[00:02:45.320 --> 00:02:49.120]  因爲當人如果很想要一些東西的時候
[00:02:49.120 --> 00:02:55.080]  他就會自己約束自己去做或者不做一些東西
[00:02:55.080 --> 00:02:58.560]  以減肥爲例
[00:02:58.560 --> 00:03:01.200]  如果你很想瘦身減肥
[00:03:01.200 --> 00:03:03.120]  你會刻意去做運動
[00:03:03.120 --> 00:03:06.840]  或者刻意去不喫一些東西
[00:03:06.840 --> 00:03:10.280]  特別是不喫一些肥的東西
[00:03:10.280 --> 00:03:13.760]  當今天我們繼續去哥倫多前書第九章的分享
[00:03:13.760 --> 00:03:17.040]  今天我們會由第十九節看到第二十七節
[00:03:17.040 --> 00:03:19.200]  完成第九章
[00:03:19.200 --> 00:03:21.800]  和過往兩星期陳牧師和我們分享
[00:03:21.800 --> 00:03:24.840]  保羅怎麼看自由的運用呢
[00:03:24.840 --> 00:03:27.920]  實在是有異曲同工之處
[00:03:27.920 --> 00:03:29.760]  就看看今天的經文
[00:03:29.760 --> 00:03:31.120]  怎麼提醒我們
[00:03:31.120 --> 00:03:33.760]  在主裏面的自由
[00:03:33.760 --> 00:03:36.560]  和在主裏面的自我約束
[00:03:36.560 --> 00:03:39.360]  有什麼提醒 好不好
[00:03:39.360 --> 00:03:40.000]  好
[00:03:40.000 --> 00:03:42.080]  今天都是講兩點
[00:03:42.080 --> 00:03:43.400]  大家不用怕
[00:03:43.400 --> 00:03:47.880]  兩點因爲我要緊貼我師傅上個禮拜的步伐
[00:03:47.880 --> 00:03:50.720]  不過昨天我也告訴弟兄姐妹
[00:03:50.720 --> 00:03:54.800]  不過我做多了比平常多三分一的powerpoint
[00:03:54.800 --> 00:03:59.680]  所以大家不要以爲半個小時後就下班了
[00:03:59.680 --> 00:04:01.600]  今天的第一點
[00:04:01.600 --> 00:04:02.680]  我給的分題是
[00:04:02.680 --> 00:04:06.360]  活在主裏作個自由的奴僕
[00:04:06.360 --> 00:04:08.240]  不如我們先讀四節聖經
[00:04:08.240 --> 00:04:11.080]  十九節到二十二節
[00:04:11.080 --> 00:04:15.080]  家裏的弟兄姐妹我都邀請大家一起讀
[00:04:15.080 --> 00:04:16.280]  一二三
[00:04:16.280 --> 00:04:19.840]  我雖是自由的無人盒管
[00:04:19.840 --> 00:04:25.680]  然而我甘心作了衆人的奴僕
[00:04:25.680 --> 00:04:27.160]  向猶太人
[00:04:27.160 --> 00:04:29.040]  我就作猶太人
[00:04:29.040 --> 00:04:31.240]  爲要得猶太人
[00:04:31.240 --> 00:04:33.280]  向律法以下的人
[00:04:33.280 --> 00:04:35.680]  我雖不在律法以下
[00:04:35.680 --> 00:04:38.520]  還是作律法以下的人
[00:04:38.520 --> 00:04:42.600]  爲要得律法以下的人
[00:04:42.600 --> 00:04:43.840]  第二節
[00:04:43.840 --> 00:04:46.040]  向沒有律法的人
[00:04:46.040 --> 00:04:48.760]  我就作沒有律法的人
[00:04:48.760 --> 00:04:51.560]  爲要得沒有律法的人
[00:04:51.560 --> 00:04:53.920]  其實我在神面前
[00:04:53.920 --> 00:04:55.960]  不是沒有律法
[00:04:55.960 --> 00:04:57.640]  在基督面前
[00:04:57.640 --> 00:04:59.880]  正在律法之下
[00:04:59.880 --> 00:05:01.560]  向軟弱的人
[00:05:01.560 --> 00:05:03.880]  我就作軟弱的人
[00:05:03.880 --> 00:05:06.360]  爲要得軟弱的人
[00:05:06.360 --> 00:05:08.320]  向什麼的人
[00:05:08.320 --> 00:05:11.240]  我就作什麼樣的人
[00:05:11.240 --> 00:05:12.920]  無論如何
[00:05:12.920 --> 00:05:16.000]  總要救赦人
[00:05:16.000 --> 00:05:19.160]  我們先回到第十九節
[00:05:19.160 --> 00:05:21.840]  講了救那麼多人之後
[00:05:21.840 --> 00:05:25.600]  在第十九節保羅再一次承接上文
[00:05:25.600 --> 00:05:28.440]  強調自己是自由的
[00:05:28.440 --> 00:05:31.600]  是不受人剋制的
[00:05:31.600 --> 00:05:32.560]  但是很有趣
[00:05:32.560 --> 00:05:35.880]  他是自願甘心
[00:05:35.880 --> 00:05:39.200]  成爲衆人的僕人
[00:05:39.200 --> 00:05:40.560]  什麼是衆人
[00:05:40.560 --> 00:05:42.480]  很多人的意思
[00:05:42.480 --> 00:05:45.640]  他自願甘心成爲很多人的僕人
[00:05:45.640 --> 00:05:46.840]  僕人會怎樣
[00:05:46.840 --> 00:05:48.480]  僕人要聽人話
[00:05:48.480 --> 00:05:50.800]  僕人要聽主人的命令
[00:05:50.800 --> 00:05:52.760]  僕人要受人管轄
[00:05:52.760 --> 00:05:56.360]  僕人要服侍其他人
[00:05:56.360 --> 00:05:58.520]  保羅爲什麼要這樣做
[00:05:58.520 --> 00:06:00.000]  他講得很清楚
[00:06:00.000 --> 00:06:04.440]  爲要多德人
[00:06:04.440 --> 00:06:07.040]  我們看多點德字
[00:06:07.040 --> 00:06:08.600]  原來在四節聖經
[00:06:08.600 --> 00:06:11.600]  德字出現了五次
[00:06:11.600 --> 00:06:15.600]  德字的原文是贊
[00:06:15.600 --> 00:06:20.280]  背景是有在商界中贊取利用
[00:06:20.280 --> 00:06:24.880]  贊取利用
[00:06:24.880 --> 00:06:28.200]  不過猶太教很喜歡用這個字
[00:06:28.200 --> 00:06:34.800]  來形容一些愛邦人歸入猶太教的行動
[00:06:34.800 --> 00:06:38.840]  保羅在這裏強調要多德人
[00:06:38.840 --> 00:06:40.240]  可能他的意思是
[00:06:40.240 --> 00:06:43.440]  不如由商界的賺錢主義
[00:06:43.440 --> 00:06:48.560]  去到基督徒的賺人主義
[00:06:48.560 --> 00:06:53.080]  那麼保羅怎麼實行賺人大計呢
[00:06:53.080 --> 00:06:56.440]  原來就是見什麼人就做什麼人
[00:06:56.440 --> 00:06:59.520]  剛纔大家讀過的
