
[00:00:00.000 --> 00:00:02.000]  兄姊妹祝你平安
[00:00:02.000 --> 00:00:02.740]  平安
[00:00:02.740 --> 00:00:04.400]  好久沒見了
[00:00:04.400 --> 00:00:07.100]  也紀念我剛好12月25號
[00:00:07.100 --> 00:00:10.300]  我在大火一個交會也是講不到會
[00:00:10.300 --> 00:00:12.460]  我想現在沒有什麼可以做了
[00:00:12.460 --> 00:00:14.620]  唯一就是傳福音
[00:00:14.620 --> 00:00:16.820]  因為祖來的腳步近了
[00:00:16.820 --> 00:00:21.040]  我們必須要把我們所愛的人帶到天國裡面
[00:00:21.040 --> 00:00:24.760]  這個是最好的聖誕禮物
[00:00:24.760 --> 00:00:27.540]  今天要跟你們分享一個題目
[00:00:27.540 --> 00:00:30.460]  獅與獸都有福
[00:00:30.460 --> 00:00:32.960]  我們常常都講獅與獸有福
[00:00:32.960 --> 00:00:35.200]  其實兩個都有福
[00:00:35.200 --> 00:00:41.820]  我們常常在電視裡面看到一些廣告
[00:00:41.820 --> 00:00:44.080]  勸你們捐錢的
[00:00:44.080 --> 00:00:47.940]  一般都會把一些很窮的
[00:00:47.940 --> 00:00:50.680]  受苦凜凜的小孩
[00:00:50.680 --> 00:00:53.720]  很慘的一幕給你看到
[00:00:53.720 --> 00:00:56.460]  然後就讓你有感動
[00:00:56.460 --> 00:00:59.960]  然後就說你每天捐八塊錢
[00:00:59.960 --> 00:01:03.200]  又可以供養一個小孩
[00:01:03.200 --> 00:01:08.140]  往往都會用最慘的照片
[00:01:08.140 --> 00:01:10.540]  然後就打動你的心
[00:01:10.540 --> 00:01:12.960]  真的 我現在很好
[00:01:12.960 --> 00:01:15.340]  他們小孩好苦
[00:01:15.340 --> 00:01:17.940]  但是我今天要你看是
[00:01:17.940 --> 00:01:20.500]  另外一種局面
[00:01:23.540 --> 00:01:29.160]  格林多後書第八章第1到4節這樣說
[00:01:29.160 --> 00:01:30.300]  弟兄們
[00:01:30.300 --> 00:01:35.820]  我們要把神賜給馬其頓宗教會的恩惠告訴你們
[00:01:35.820 --> 00:01:40.100]  他們在患難中受大考驗的時候
[00:01:40.100 --> 00:01:42.460]  仍然滿有喜樂
[00:01:42.460 --> 00:01:45.260]  在極度貧窮中
