
[00:00:00.000 --> 00:00:03.500]  方姐妹宣佈今日係大年初二
[00:00:03.500 --> 00:00:05.320]  咁
[00:00:05.320 --> 00:00:08.620]  我想問大家,你今年過左年
[00:00:08.620 --> 00:00:10.220]  過得順唔順利呀?
[00:00:10.220 --> 00:00:14.920]  我細個時候有個親戚
[00:00:14.920 --> 00:00:16.580]  佢係做生意嘅
[00:00:16.580 --> 00:00:19.160]  嗰年生意唔好
[00:00:19.160 --> 00:00:22.080]  到年尾找曬數之後
[00:00:22.080 --> 00:00:23.780]  就冇曬啲錢
[00:00:23.780 --> 00:00:26.560]  冇錢辦年課過年
[00:00:26.560 --> 00:00:29.220]  太太又同個丈夫話
[00:00:29.220 --> 00:00:32.200]  老公,冇錢買煎堆
[00:00:32.200 --> 00:00:34.940]  冇錢買年糕,冇錢買生雞
[00:00:34.940 --> 00:00:36.980]  咁你點過年呀?
[00:00:36.980 --> 00:00:39.980]  老公話,咁你過唔過呀?
[00:00:39.980 --> 00:00:40.980]  你唔過我過
[00:00:40.980 --> 00:00:43.580]  咁結果兩個都過左年
[00:00:43.580 --> 00:00:46.280]  咁我唔知大家今年過年係咪
[00:00:46.280 --> 00:00:48.660]  我希望你哋畀佢順利啲
[00:00:48.660 --> 00:00:53.520]  新年流流,咁我真係要講一個吉利嘅題目
[00:00:53.520 --> 00:00:54.520]  就係錢
[00:00:54.520 --> 00:00:58.200]  好似方姐妹話齋
[00:01:00.220 --> 00:01:03.780]  好多次聽到人哋話恭喜發財
[00:01:03.780 --> 00:01:07.560]  咁新年講錢呢就合道理嘅
[00:01:07.560 --> 00:01:11.460]  咁我曾經講過耶穌講地獄
[00:01:11.460 --> 00:01:13.140]  就多過講天堂
[00:01:13.140 --> 00:01:15.440]  咁耶穌講錢呢
[00:01:15.440 --> 00:01:18.200]  係多過佢講地獄同埋天堂夾埋
[00:01:18.200 --> 00:01:21.860]  但你知唔知,聖經裏面提到祈禱
[00:01:21.860 --> 00:01:23.820]  呢兩個字有五百次
[00:01:23.820 --> 00:01:27.300]  但提到錢呢,係有二千五百次
[00:01:27.300 --> 00:01:30.240]  嘩,似乎上帝都講錢㗎喎
[00:01:30.240 --> 00:01:33.320]  咁因為上帝知道我哋啲錢喺邊度
[00:01:33.320 --> 00:01:35.100]  我哋嘅心就喺邊度
[00:01:35.100 --> 00:01:37.180]  咁
[00:01:37.180 --> 00:01:40.480]  錢的確係人生好重要嘅部份
[00:01:40.480 --> 00:01:42.780]  有人話呢,錢係
[00:01:42.780 --> 00:01:45.440]  通行全球嘅護照
[00:01:45.440 --> 00:01:47.980]  拎左呢個錢呢個護照呢
[00:01:47.980 --> 00:01:49.500]  去邊度都得
[00:01:49.500 --> 00:01:53.280]  除咗天堂之外,其他地上都得
[00:01:53.280 --> 00:01:54.900]  咁有人話呢
[00:01:55.260 --> 00:01:58.060]  錢可以讓你買到任何東西
[00:01:58.060 --> 00:02:00.100]  除咗快樂一樣買唔到
[00:02:00.100 --> 00:02:03.880]  咁係錢影響到你同世界嘅關係
[00:02:03.880 --> 00:02:06.440]  亦都影響到你同上帝嘅關係
[00:02:06.440 --> 00:02:11.080]  咁,既然耶穌,聖經都成日提到錢
[00:02:11.080 --> 00:02:13.240]  我今日要同大家講呢個題目
[00:02:13.240 --> 00:02:16.160]  就係耶穌教你點樣投資
[00:02:16.160 --> 00:02:19.320]  如果你喺香港投資樓同埋股票
[00:02:19.320 --> 00:02:21.580]  過去幾年就好淒涼
[00:02:21.580 --> 00:02:23.760]  真係差唔多過唔到年嘅,係咪呀
[00:02:23.760 --> 00:02:26.180]  股票由三萬幾跌到萬五
[00:02:26.180 --> 00:02:29.040]  樓都跌咗兩三成或者四五成
[00:02:29.040 --> 00:02:33.220]  咁但係呢,今日我同你講呢一個嘅
[00:02:33.220 --> 00:02:37.420]  的確係名副其實,耶穌教你點投資嘅
[00:02:37.420 --> 00:02:40.180]  咁如果你細心聆聽嘅話呢
[00:02:40.180 --> 00:02:43.320]  你又目大比,因為耶穌係上帝
[00:02:43.320 --> 00:02:46.780]  佢能知過去未來,佢能夠掌管未來
[00:02:46.780 --> 00:02:48.540]  你同我都唔得
[00:02:48.540 --> 00:02:51.300]  你喺網上睇嗰啲投資家,個個都
[00:02:51.300 --> 00:02:54.640]  有人話會升到四萬,有人話會跌到萬四
[00:02:54.640 --> 00:02:57.440]  你都唔知道啲股票會點樣
[00:02:57.440 --> 00:03:00.860]  今日呢個經文,方子會同大家讀過
[00:03:00.860 --> 00:03:05.120]  路加福音,十六章一到十三節
[00:03:05.120 --> 00:03:08.260]  耶穌講好多比喻,有人話有兩個比喻
[00:03:08.260 --> 00:03:11.460]  特別難解,第一個呢就係呢個
[00:03:11.460 --> 00:03:14.480]  另一個呢就係葡萄園嘅比喻
[00:03:14.480 --> 00:03:16.980]  葡萄園嘅比喻我同大家講過
[00:03:16.980 --> 00:03:20.180]  今次呢,呢一個我就未講過
[00:03:20.380 --> 00:03:24.660]  咁就係講到,不義的管駕
[00:03:24.660 --> 00:03:29.020]  咁
[00:03:29.020 --> 00:03:32.800]  呢個
[00:03:32.800 --> 00:03:36.100]  比喻點解古怪呢
[00:03:36.100 --> 00:03:39.260]  難明呢,有兩個問題,有好多事
[00:03:39.260 --> 00:03:41.800]  第一個問題呢,就係第八節
[00:03:41.800 --> 00:03:45.220]  今世之子比光明之子更精明
[00:03:45.220 --> 00:03:46.960]  乜嘢意思呢
[00:03:47.400 --> 00:03:50.360]  點解今世嘅
[00:03:50.360 --> 00:03:53.760]  地上唔信耶穌嘅人
[00:03:53.760 --> 00:03:56.600]  會比信耶穌人更精明呢
[00:03:56.600 --> 00:03:59.760]  點解主人會稱讚
[00:03:59.760 --> 00:04:01.260]  不義的管駕呢
