
[00:00:00.000 --> 00:00:02.920]  在中國古代北方的邊境
[00:00:02.920 --> 00:00:04.460]  有一個老伯伯
[00:00:04.460 --> 00:00:06.460]  他走失了一匹馬
[00:00:06.460 --> 00:00:10.880]  在古代,馬是非常珍貴的財產
[00:00:10.880 --> 00:00:14.000]  所以好心的鄰居就來安慰這個老伯伯
[00:00:14.000 --> 00:00:18.160]  但是這個老伯伯很心平氣和地對他說
[00:00:18.160 --> 00:00:20.720]  他說這件事未必是禍
[00:00:20.720 --> 00:00:22.720]  可能是福呢
[00:00:22.720 --> 00:00:24.480]  然後幾個月之後
[00:00:24.480 --> 00:00:27.560]  這匹走失了的馬竟然回來了
[00:00:27.560 --> 00:00:29.560]  並且還帶著另一匹馬
[00:00:29.560 --> 00:00:31.160]  失而復得
[00:00:31.160 --> 00:00:32.440]  還好過以前
[00:00:32.440 --> 00:00:35.280]  於是那些鄰居又走過來恭喜老伯伯
[00:00:35.280 --> 00:00:38.000]  老伯伯又心平氣和地說
[00:00:38.000 --> 00:00:40.920]  這件事未必是福
[00:00:40.920 --> 00:00:42.920]  可能也是一件禍
[00:00:42.920 --> 00:00:44.880]  幾天之後
[00:00:44.880 --> 00:00:47.280]  老伯伯的兒子騎著這匹馬
[00:00:47.280 --> 00:00:48.840]  練習射箭
[00:00:48.840 --> 00:00:50.840]  誰知道這匹馬突然失控
[00:00:50.840 --> 00:00:52.440]  將他的兒子拋到地上
[00:00:52.440 --> 00:00:53.640]  跌傷了腳
[00:00:53.640 --> 00:00:57.920]  於是那些鄰居又走過來安慰老伯伯
[00:00:57.920 --> 00:01:01.000]  老伯伯又一樣心平氣和地對他說
[00:01:01.000 --> 00:01:03.720]  這件事未必是禍
[00:01:03.720 --> 00:01:06.120]  可能是福也說不定
[00:01:06.120 --> 00:01:07.640]  沒多久
[00:01:07.640 --> 00:01:08.960]  外族入侵了
[00:01:08.960 --> 00:01:13.000]  邊境所有的南東都被徵召了入伍
[00:01:13.000 --> 00:01:14.000]  去打仗
[00:01:14.000 --> 00:01:15.640]  很多都戰死沙場
[00:01:15.640 --> 00:01:16.680]  但是
[00:01:16.680 --> 00:01:18.160]  這個老伯伯的兒子
[00:01:18.160 --> 00:01:19.600]  因為跌傷了腳
[00:01:19.600 --> 00:01:21.280]  所以沒辦法去打仗
[00:01:21.280 --> 00:01:22.400]  想去也不行
[00:01:22.400 --> 00:01:24.040]  於是被逼留在家裡
[00:01:24.040 --> 00:01:25.240]  因而這樣
[00:01:25.240 --> 00:01:26.720]  他就不需要死
[00:01:26.720 --> 00:01:29.640]  勉強說這個是危險
[00:01:29.640 --> 00:01:33.560]  他可以跟老伯伯安享萬年
[00:01:33.560 --> 00:01:35.040]  一件事
[00:01:35.040 --> 00:01:36.320]  看起來
[00:01:36.320 --> 00:01:37.440]  好像福
[00:01:37.440 --> 00:01:39.640]  但是又可能變成禍
[00:01:39.640 --> 00:01:40.640]  但同樣
[00:01:40.640 --> 00:01:43.240]  一件事好像是禍
[00:01:43.240 --> 00:01:45.880]  最後結果又變成福
[00:01:45.880 --> 00:01:47.640]  可能有些弟兄姊妹
[00:01:47.640 --> 00:01:50.400]  最近看過歷史的電視劇
[00:01:50.400 --> 00:01:51.840]  叫做《三國》
[00:01:51.840 --> 00:01:53.440]  《三國》裡面
[00:01:53.440 --> 00:01:55.720]  有一個人物叫做司馬懿
[00:01:55.720 --> 00:02:00.160]  這個司馬懿經常會將一句話掛在嘴邊
[00:02:00.160 --> 00:02:04.400]  他說"禍是福之所福,福是禍之所以"
[00:02:04.400 --> 00:02:05.600]  究竟他說什麼呢
[00:02:05.600 --> 00:02:07.120]  其實意思就是說
[00:02:07.120 --> 00:02:10.400]  大家不要只是單看事情的表面
[00:02:10.400 --> 00:02:13.440]  因為某些因素某些情況的變化
[00:02:13.440 --> 00:02:15.360]  好事可以變成壞事
[00:02:15.360 --> 00:02:17.840]  壞事又可以變成好事
[00:02:17.840 --> 00:02:20.840]  司馬懿對於人生
[00:02:20.840 --> 00:02:23.680]  這個人生的變化觀察入微
[00:02:23.680 --> 00:02:26.120]  所以領悟不出這個道理
[00:02:26.120 --> 00:02:29.040]  但是司馬懿卻少了一件事
[00:02:29.040 --> 00:02:31.320]  他少了一對屬靈的眼睛
[00:02:31.320 --> 00:02:34.240]  所以他看不見人生的變化裡面
[00:02:34.240 --> 00:02:35.640]  背後的主宰
[00:02:35.640 --> 00:02:37.840]  就是今天我們所信的神
[00:02:37.840 --> 00:02:40.440]  那個獨一的真神
[00:02:40.440 --> 00:02:42.840]  什麼叫屬靈的眼睛呢
[00:02:42.840 --> 00:02:45.960]  屬靈的眼睛是一種人生的智慧
[00:02:45.960 --> 00:02:49.280]  這種智慧不是我們一般坊間的理解
[00:02:49.280 --> 00:02:51.280]  IQ高 轉數快
[00:02:51.280 --> 00:02:53.280]  而是一種人生的態度
[00:02:53.280 --> 00:02:55.800]  是一種做人的方式
[00:02:55.800 --> 00:02:57.800]  是一種洞察力
[00:02:57.800 --> 00:03:00.120]  是能夠看穿事情的背後
[00:03:00.120 --> 00:03:02.000]  和福的背後
[00:03:02.000 --> 00:03:04.760]  正是愛你和我的神
[00:03:04.760 --> 00:03:07.320]  在掌管一切
[00:03:07.320 --> 00:03:10.440]  並且信得過神的安排
[00:03:10.440 --> 00:03:13.080]  一個愛你和我的神的安排
[00:03:13.080 --> 00:03:16.680]  到最後是對你和我最好
[00:03:16.680 --> 00:03:19.280]  今天我們講到的主角約瑟
[00:03:19.280 --> 00:03:21.920]  在他一生起起伏伏的經歷
[00:03:21.920 --> 00:03:23.720]  在他一生可能很磨難
[00:03:23.720 --> 00:03:25.480]  可能很苦難的經歷裡面
[00:03:25.480 --> 00:03:29.120]  他慢慢有了這一雙屬靈的眼睛
[00:03:29.120 --> 00:03:30.720]  約瑟是誰呢
[00:03:30.720 --> 00:03:32.160]  約瑟是《舊約聖經》裡面
[00:03:32.160 --> 00:03:34.280]  雅各的最後的兒子
[00:03:34.280 --> 00:03:36.200]  因為被他哥哥妒忌
[00:03:36.200 --> 00:03:39.560]  因而合謀把他賣去埃及成為奴隸
[00:03:39.560 --> 00:03:40.560]  這件事
[00:03:40.560 --> 00:03:41.960]  去到這個階段
[00:03:41.960 --> 00:03:43.960]  就好像和那樣
[00:03:43.960 --> 00:03:45.000]  但是約瑟
[00:03:45.000 --> 00:03:46.520]  去到埃及的時間
[00:03:46.520 --> 00:03:49.480]  被法老王的侍衛長波提弗看得起
[00:03:49.480 --> 00:03:52.320]  一升就升他成為家裡的CEO
[00:03:52.320 --> 00:03:54.400]  將大小的事情交給他
[00:03:54.400 --> 00:03:56.640]  又好像是福
[00:03:56.640 --> 00:03:58.160]  但是
[00:03:58.160 --> 00:03:59.760]  波提弗的老婆
[00:03:59.760 --> 00:04:00.760]  他的老闆娘
[00:04:00.760 --> 00:04:02.360]  因為勾引他不遂
[00:04:02.360 --> 00:04:04.680]  誣告他意圖強姦
[00:04:04.680 --> 00:04:06.520]  令到約瑟一夜之間
[00:04:06.520 --> 00:04:09.840]  就成為教會監獄侍工的服侍對象
[00:04:09.840 --> 00:04:12.800]  又好像是禍
[00:04:12.800 --> 00:04:14.640]  因為約瑟在監獄裡面
[00:04:14.640 --> 00:04:16.040]  他有機會
[00:04:16.040 --> 00:04:17.760]  和他的囚友
[00:04:17.760 --> 00:04:19.520]  法老王的酒政
[00:04:19.520 --> 00:04:21.040]  去解蒙
[00:04:21.040 --> 00:04:21.920]  因而這樣
[00:04:21.920 --> 00:04:25.840]  認識了法老王的僕人酒政
[00:04:25.840 --> 00:04:26.920]  酒政就快要出監了
[00:04:26.920 --> 00:04:29.520]  因為約瑟解蒙非常凌厭
[00:04:29.520 --> 00:04:30.840]  約瑟要酒政
[00:04:30.840 --> 00:04:33.040]  你出監的時間請你救我出去
[00:04:33.040 --> 00:04:36.680]  但是酒政又很快忘記了他
[00:04:36.680 --> 00:04:39.360]  又好像是禍
[00:04:39.360 --> 00:04:41.600]  但是當後來法老發了蒙
[00:04:41.600 --> 00:04:42.920]  沒有人能解
[00:04:42.920 --> 00:04:44.440]  在這個時間不知為什麼
[00:04:44.440 --> 00:04:46.480]  酒政又叮一聲想起約瑟
[00:04:46.480 --> 00:04:49.280]  約瑟因而這樣可以為法老王解蒙
[00:04:49.280 --> 00:04:52.040]  因而這樣可以成為埃及的宰相
[00:04:52.040 --> 00:04:53.720]  因為他成為埃及的宰相
[00:04:53.720 --> 00:04:55.560]  他就可以拯救整個埃及
[00:04:55.560 --> 00:04:57.360]  拯救整個以色列民族
[00:04:57.360 --> 00:04:58.920]  最後
[00:04:58.920 --> 00:05:01.400]  禍又變為福
[00:05:01.400 --> 00:05:03.840]  就在這個禍福的制御裡面
[00:05:03.840 --> 00:05:06.440]  約瑟屬靈的眼睛越來越明亮
[00:05:06.440 --> 00:05:09.120]  他的智慧越來越豐富
[00:05:09.120 --> 00:05:13.000]  究竟約瑟屬靈的眼睛看見了什麼呢
[00:05:13.000 --> 00:05:17.480]  今天上帝又想通過約瑟的智慧跟我們說什麼呢
[00:05:17.480 --> 00:05:20.640]  在當中我們有什麼功課可以學習呢
[00:05:20.640 --> 00:05:22.120]  稍後我邀請大家
[00:05:22.120 --> 00:05:25.520]  讓我們一起回到《創世紀》裡面
[00:05:25.520 --> 00:05:26.720]  約瑟的經歷
