
[00:00:00.000 --> 00:00:05.000]  《耶利曼哀歌》是一部很少人讀的聖經裡的書
[00:00:05.000 --> 00:00:07.000]  今年其實很奇怪
[00:00:07.000 --> 00:00:12.000]  我們粵語堂講了兩部很少人讀的書在聖經裡
[00:00:12.000 --> 00:00:14.000]  一部就是《雅歌》
[00:00:14.000 --> 00:00:16.000]  一部就是《哀歌》
[00:00:16.000 --> 00:00:19.000]  《雅歌》為什麼這麼少人讀?
[00:00:19.000 --> 00:00:21.000]  我們說《雅歌》不是這麼容易明白
[00:00:21.000 --> 00:00:24.000]  很多解經家都解錯了
[00:00:24.000 --> 00:00:28.000]  是用寓意、用靈異來解經
[00:00:28.000 --> 00:00:33.000]  我們說《雅歌》其實是應該用字面來解釋
[00:00:33.000 --> 00:00:35.000]  其實《雅歌》不難明白
[00:00:35.000 --> 00:00:39.000]  是神給夫妻、給婚姻的一部手冊
[00:00:39.000 --> 00:00:41.000]  那《哀歌》呢?
[00:00:41.000 --> 00:00:43.000]  為什麼這麼少人讀?
[00:00:43.000 --> 00:00:46.000]  《哀歌》是講到苦難
[00:00:46.000 --> 00:00:48.000]  我們都不喜歡接觸苦難
[00:00:48.000 --> 00:00:50.000]  我們都是喜歡開心的東西
[00:00:50.000 --> 00:00:52.000]  避開苦難
[00:00:52.000 --> 00:00:55.000]  我認識有很多的姐妹
[00:00:55.000 --> 00:00:58.000]  他們每逢讀一部書或者看電視片集
[00:00:58.000 --> 00:01:02.000]  都快速地看結尾
[00:01:02.000 --> 00:01:06.000]  看是不是喜劇、悲劇
[00:01:06.000 --> 00:01:09.000]  喜劇我就看,悲劇我就不看
[00:01:09.000 --> 00:01:12.000]  所以這就是第一個原因
[00:01:12.000 --> 00:01:14.000]  為什麼這麼少人讀《哀歌》
[00:01:14.000 --> 00:01:17.000]  第二個原因為什麼這麼少人讀《哀歌》
[00:01:17.000 --> 00:01:22.000]  就是《哀歌》裡面的苦難始終都沒有被解除
