
[00:00:00.000 --> 00:00:08.000]  我認識一位弟兄,他在一個科技大學的研究院教授物理學
[00:00:08.000 --> 00:00:12.000]  有一次分享他怎樣信耶穌
[00:00:12.000 --> 00:00:15.000]  其實他誤導了一段時間
[00:00:15.000 --> 00:00:19.000]  或者家人、太太、其他的弟兄姊妹
[00:00:19.000 --> 00:00:21.000]  都已經經常跟他傳福音
[00:00:21.000 --> 00:00:24.000]  但是他總是未信主
[00:00:24.000 --> 00:00:29.000]  總是未能夠,所謂有感動去接受耶穌基督
[00:00:29.000 --> 00:00:31.000]  他說怎樣信主呢?
[00:00:31.000 --> 00:00:34.000]  後來一次無意之間
[00:00:34.000 --> 00:00:39.000]  在家裏打開一本聖經
[00:00:39.000 --> 00:00:41.000]  那本聖經是誰的聖經呢?
[00:00:41.000 --> 00:00:43.000]  是一個女兒的聖經,一個小朋友的聖經
[00:00:43.000 --> 00:00:47.000]  那本聖經自然不是我們手上的聖經
[00:00:47.000 --> 00:00:50.000]  是有圖畫的聖經,有故事的聖經
[00:00:50.000 --> 00:00:52.000]  看完聖經之後
[00:00:52.000 --> 00:00:59.000]  他就感受到這些故事裏面講出來神的愛
[00:00:59.000 --> 00:01:03.000]  感受到這些故事裏面所講的東西
[00:01:03.000 --> 00:01:07.000]  原來其實跟自己的生活是這麼緊密的
[00:01:07.000 --> 00:01:09.000]  更緊貼的
[00:01:09.000 --> 00:01:11.000]  原來他太太對他的愛
[00:01:11.000 --> 00:01:12.000]  他家人對他的愛
[00:01:12.000 --> 00:01:13.000]  弟兄姊妹對他的愛
[00:01:13.000 --> 00:01:15.000]  都是在聖經裏面的故事裏面
[00:01:15.000 --> 00:01:17.000]  看得到出來的
[00:01:17.000 --> 00:01:18.000]  原來他就感受到
[00:01:18.000 --> 00:01:22.000]  原來神的愛已經淋到他自己身上
[00:01:22.000 --> 00:01:24.000]  令到他很感動
[00:01:24.000 --> 00:01:26.000]  於是就這樣信了耶穌
[00:01:26.000 --> 00:01:31.000]  因為以前有些人會跟他講很多頭腦上的道理
[00:01:31.000 --> 00:01:34.000]  因為他是一個物理學家
[00:01:34.000 --> 00:01:36.000]  一個物理學的教授
[00:01:36.000 --> 00:01:39.000]  可能會講這些頭腦上的道理
[00:01:39.000 --> 00:01:42.000]  但他覺得好像很難去入到心裏面
[00:01:42.000 --> 00:01:45.000]  反而一本圖畫的聖經
[00:01:45.000 --> 00:01:47.000]  令到他感受到
[00:01:47.000 --> 00:01:50.000]  今天我們又看耶穌基督講故事
[00:01:50.000 --> 00:01:54.000]  因為耶穌基督很喜歡將天國的道理
[00:01:54.000 --> 00:01:56.000]  用一個故事去說明
[00:01:56.000 --> 00:01:58.000]  讓我們能夠一方面
[00:01:58.000 --> 00:01:59.000]  好像剛才所講
[00:01:59.000 --> 00:02:00.000]  有一個故事
[00:02:00.000 --> 00:02:02.000]  你好像有一個形象
[00:02:02.000 --> 00:02:03.000]  有一個內容
[00:02:03.000 --> 00:02:05.000]  你可能能夠進入裏面
[00:02:05.000 --> 00:02:08.000]  你可以感受一下那個故事的內容
[00:02:08.000 --> 00:02:12.000]  感受一下那種情感
[00:02:12.000 --> 00:02:17.000]  感受一下裏面講到天國的力量
[00:02:17.000 --> 00:02:19.000]  但其實另一樣東西
[00:02:19.000 --> 00:02:22.000]  為什麼耶穌基督很常常講到
[00:02:22.000 --> 00:02:24.000]  天國的真理道理的時候
[00:02:24.000 --> 00:02:26.000]  他會用到比喻來講呢
[00:02:26.000 --> 00:02:29.000]  事實上因為沒有辦法不用比喻
[00:02:29.000 --> 00:02:30.000]  甚至有時
[00:02:30.000 --> 00:02:32.000]  因為事實上我們有時
[00:02:32.000 --> 00:02:35.000]  未能夠很容易用在頭腦上
[00:02:35.000 --> 00:02:39.000]  我們明白到神這個天國的道理
[00:02:39.000 --> 00:02:42.000]  或者耶穌說這個是天國的奧秘
[00:02:42.000 --> 00:02:44.000]  因為畢竟我們是人
[00:02:44.000 --> 00:02:45.000]  人有很多的限制
[00:02:45.000 --> 00:02:47.000]  無論在時間空間
[00:02:47.000 --> 00:02:49.000]  甚至我們的智慧
[00:02:49.000 --> 00:02:51.000]  都有很多的限制
[00:02:51.000 --> 00:02:55.000]  我們沒有辦法和一位偉大的神去相比
[00:02:55.000 --> 00:02:58.000]  所以我們都不能夠完全領受到
[00:02:58.000 --> 00:02:59.000]  這個天國的奧秘
[00:02:59.000 --> 00:03:04.000]  所以如果一個理論直說
[00:03:04.000 --> 00:03:06.000]  能夠去講解出來
[00:03:06.000 --> 00:03:09.000]  可能我們都不能夠完全明白
[00:03:09.000 --> 00:03:12.000]  不完全可以去知道理解
[00:03:12.000 --> 00:03:15.000]  一個是用一些耶穌基督本身
[00:03:15.000 --> 00:03:18.000]  他就是這樣道成肉身在這個世界裏面
[00:03:18.000 --> 00:03:21.000]  能夠給我們體會這種信仰
[00:03:21.000 --> 00:03:24.000]  而耶穌基督又在教導天國的道理的時候
[00:03:24.000 --> 00:03:26.000]  亦是用一些故事
[00:03:26.000 --> 00:03:30.000]  特別是講到天國的奧秘真理
[00:03:30.000 --> 00:03:32.000]  就一定用比喻來講
[00:03:32.000 --> 00:03:33.000]  用故事的形式
[00:03:33.000 --> 00:03:35.000]  讓我們能夠進入其中
[00:03:35.000 --> 00:03:41.000]  讓我們能夠去全面地去感受一下這個道理
[00:03:41.000 --> 00:03:43.000]  使我們更加能夠明白
[00:03:43.000 --> 00:03:45.000]  今天就講一個簡單的故事
[00:03:45.000 --> 00:03:46.000]  耶穌基督
[00:03:46.000 --> 00:03:48.000]  天國就好像一個麵餃
[00:03:48.000 --> 00:03:52.000]  由婦人拿來放進這個三斗麵裏面
[00:03:52.000 --> 00:03:55.000]  全都發起來了
[00:03:55.000 --> 00:03:58.000]  一個幾句的說話
[00:03:58.000 --> 00:04:00.000]  就是一個故事
[00:04:00.000 --> 00:04:01.000]  在這個故事裏面
[00:04:01.000 --> 00:04:07.000]  我們都很少用這些節成為一個金句
[00:04:07.000 --> 00:04:10.000]  因為天國的道理
[00:04:10.000 --> 00:04:14.000]  不過怎樣去理解裏面的內容呢?
[00:04:14.000 --> 00:04:18.000]  很難覺得這是一個教義性的經文
[00:04:18.000 --> 00:04:23.000]  或者是一個可以令到我們很容易完全理解到
[00:04:23.000 --> 00:04:26.000]  不過當我們進入一個故事的內容的時候
[00:04:26.000 --> 00:04:28.000]  你就容易理解
[00:04:28.000 --> 00:04:31.000]  這個故事就產生了作用在裏面
[00:04:31.000 --> 00:04:36.000]  所以首先耶穌基督就說
[00:04:36.000 --> 00:04:40.000]  你要想像自己是一個婦人
[00:04:40.000 --> 00:04:44.000]  你要想像自己是一個農村女的婦人
[00:04:44.000 --> 00:04:48.000]  你要想像你是一個在做家頭細務
[00:04:48.000 --> 00:04:53.000]  日常在家裏面打點家務的一個家庭主婦
[00:04:53.000 --> 00:04:58.000]  當時在中東的地方很多婦人都是家庭主婦
[00:04:58.000 --> 00:05:03.000]  在家裏面做家務
[00:05:03.000 --> 00:05:08.000]  負責廚房、負責飯食
[00:05:08.000 --> 00:05:11.000]  你要想像你是一個這樣的人
[00:05:11.000 --> 00:05:14.000]  大家開始想像好不好?
[00:05:14.000 --> 00:05:15.000]  一起想像一下
[00:05:15.000 --> 00:05:19.000]  你是某個農村裏面的村姑
[00:05:19.000 --> 00:05:22.000]  你就想像今天要煮飯
[00:05:22.000 --> 00:05:24.000]  耶穌就說煮飯
[00:05:24.000 --> 00:05:30.000]  就拿一些麵餃放進麵粉裏面
[00:05:30.000 --> 00:05:33.000]  搓勻就焗出來
[00:05:33.000 --> 00:05:35.000]  如果你是一個婦人
[00:05:35.000 --> 00:05:36.000]  你就想像一下
[00:05:36.000 --> 00:05:38.000]  我日常生活都是這樣的
[00:05:38.000 --> 00:05:40.000]  我常常都是煮飯
[00:05:40.000 --> 00:05:42.000]  你今天教我煮飯
[00:05:42.000 --> 00:05:44.000]  有什麼特別的地方呢?
[00:05:44.000 --> 00:05:46.000]  雖然是這樣說
[00:05:46.000 --> 00:05:47.000]  但是另一個角度來說
[00:05:47.000 --> 00:05:49.000]  這個婦人是很吸引的
[00:05:49.000 --> 00:05:50.000]  為什麼呢?
[00:05:50.000 --> 00:05:52.000]  耶穌基督說天國的道理
[00:05:52.000 --> 00:05:59.000]  這個道理和我這麼密切
[00:05:59.000 --> 00:06:03.000]  和我生活裏面這麼相符
[00:06:03.000 --> 00:06:06.000]  原來就是我平時日常做的事
[00:06:06.000 --> 00:06:07.000]  我日日都煮飯
[00:06:07.000 --> 00:06:09.000]  我日日都焗麵包
[00:06:09.000 --> 00:06:12.000]  日日都打理廚房的事
[00:06:12.000 --> 00:06:17.000]  讓家人可以享受
[00:06:17.000 --> 00:06:18.000]  我日日都做這些事
[00:06:18.000 --> 00:06:21.000]  天國的道理這麼簡單嗎?
[00:06:21.000 --> 00:06:23.000]  我一個足不出戶的村姑
[00:06:23.000 --> 00:06:24.000]  一個婦人
[00:06:24.000 --> 00:06:27.000]  我都可以理解到嗎?
[00:06:27.000 --> 00:06:30.000]  原來神的國的道理就是這麼簡單
