
[00:00:00.000 --> 00:00:04.640]  (主持人:今天我們讀到烈王記上十九章關於伊利亞的故事)
[00:00:04.640 --> 00:00:07.760]  (主持人:今天讀到烈王記上十九章關於伊利亞的故事)
[00:00:07.760 --> 00:00:10.540]  (主持人:如果大家熟悉十九、十八章的時候)
[00:00:10.540 --> 00:00:12.980]  (主持人:如果大家熟悉十八、十九章的時候)
[00:00:12.980 --> 00:00:21.600]  (主持人:你會發覺十九章的伊利亞和十八章的伊利亞是判若兩人,好像兩個完全不同的人一樣)
[00:00:21.600 --> 00:00:26.440]  (主持人:你會發現十九章的伊利亞跟十八章的伊利亞判若兩人,完全不同)
[00:00:26.440 --> 00:00:32.320]  (主持人:其實以色列人民對伊利亞很尊敬,是一個很受尊敬的先知)
[00:00:32.320 --> 00:00:36.720]  (主持人:其實以色列人民對伊利亞很尊敬,他是很受尊敬的先知)
[00:00:36.720 --> 00:00:42.400]  (主持人:但是十九章的伊利亞是一個沮喪、失落、膽怯、缺乏自信的先知)
[00:00:42.400 --> 00:00:48.280]  (主持人:但是十九章的伊利亞是沮喪、膽怯、缺乏信心的這樣的一位先知)
[00:00:48.280 --> 00:00:49.960]  (主持人:但是你看之前那一章)
[00:00:49.960 --> 00:00:51.400]  (主持人:但是你看之前那一章)
[00:00:51.400 --> 00:00:54.800]  (主持人:他在加勒山上對付四百五十個先知)
[00:00:54.800 --> 00:00:57.880]  (主持人:他在加勒山上對付四百五十個巴黎的先知)
[00:00:57.880 --> 00:01:00.880]  (主持人:是一個有權能、權兵、有能力的先知)
[00:01:00.880 --> 00:01:04.560]  (主持人:是一位有權柄、權能、有能力的先知)
[00:01:04.560 --> 00:01:08.400]  (主持人:突然間那一章的時候,聖經記載是完全兩個人,是第二個人)
[00:01:08.400 --> 00:01:12.040]  (主持人:突然間過了一章,聖經記載就變成另外一個人了)
[00:01:12.040 --> 00:01:15.680]  (主持人:十九章最重要的一句話我覺得)
[00:01:15.680 --> 00:01:18.760]  (主持人:十九章我覺得有最重要的一句話)
[00:01:18.760 --> 00:01:22.080]  (主持人:他說:罷了,求你取我的性命)
[00:01:22.080 --> 00:01:25.040]  (主持人:他說:罷了,求你取我的性命)
[00:01:25.040 --> 00:01:30.040]  (主持人:伊利亞先知被神用大水告訴神:算了,你拿我命吧,我不要活了)
[00:01:30.040 --> 00:01:35.080]  (主持人:伊利亞先知他是被神重用的,但是他現在說:算了,我不能被你用了)
[00:01:35.080 --> 00:01:38.160]  (主持人:這個神的僕人竟然會落到一個這樣的地步)
[00:01:38.160 --> 00:01:40.760]  (主持人:神的僕人竟然會落到這樣的地步)
[00:01:40.760 --> 00:01:47.000]  (主持人:在聖經裡面,神所重用不同的僕人都有這個經歷的)
[00:01:47.000 --> 00:01:50.840]  (主持人:在聖經裡面,神所重用不同的僕人都有這類的經歷)
[00:01:50.840 --> 00:01:54.120]  (主持人:其實不單單伊利亞一個人)
[00:01:54.120 --> 00:01:56.960]  (主持人:其實求死的僕人有很多)
[00:01:56.960 --> 00:02:00.680]  (主持人:其實求死的僕人在聖經裡面很多,不止一個)
[00:02:00.680 --> 00:02:05.880]  (主持人:舉個例子,約拿是其中一個)
[00:02:05.880 --> 00:02:11.280]  (主持人:約拿明明神要去尼尼美城,但是他不想去)
[00:02:11.280 --> 00:02:17.760]  (主持人:神叫他去尼尼美城,但是他反方向逃跑)
[00:02:17.760 --> 00:02:21.320]  (主持人:勉強地終於去到)
[00:02:21.320 --> 00:02:25.240]  (主持人:當他講神的訊息的時候)
[00:02:25.240 --> 00:02:29.560]  (主持人:當時尼尼美城的人悔改)
[00:02:29.560 --> 00:02:33.840]  (主持人:所以你看約拿書第三章的時候)
[00:02:33.840 --> 00:02:41.640]  (主持人:神說他不將所原本應有他們所受的懲罰降和於他們)
[00:02:41.640 --> 00:02:53.720]  (主持人:第四章約拿書說,約拿大大不喜悅,甚至發怒發脾氣)
[00:02:53.720 --> 00:02:58.360]  (主持人:即是約拿說,原本我要降罰他們,你現在不降罰,即是你耍我)
[00:02:58.360 --> 00:03:03.240]  (主持人:所以約拿說,神啊你原本要降罰,現在你又不降罰,你是拿我玩弄嗎)
[00:03:03.240 --> 00:03:08.960]  (主持人:所以你去到第四章第三章,約拿說,求你現在取我的性命)
[00:03:08.960 --> 00:03:13.640]  (主持人:所以四章三節約拿就說,求你現在取我的性命)
[00:03:13.640 --> 00:03:17.560]  (主持人:約拿發脾氣說,你拿我命算了,你浪費我的時間)
[00:03:17.560 --> 00:03:21.480]  (主持人:約拿發脾氣說,你把我的命拿走吧,你浪費我的時間)
[00:03:21.480 --> 00:03:23.960]  (主持人:如果昨天有來到的時候,我們講耶利米)
[00:03:23.960 --> 00:03:26.560]  (主持人:如果你昨天來的話,你知道我們講耶利米)
[00:03:26.560 --> 00:03:33.320]  (主持人:耶利米是被神使用四十年為神工作)
[00:03:33.320 --> 00:03:42.320]  (主持人:你們留意耶利米書二十章裡面,耶利米同樣的回應)
[00:03:42.320 --> 00:03:48.360]  (主持人:祂說,讓我出世那一天被咒詛)
[00:03:48.360 --> 00:03:51.280]  (主持人:耶利米書二十章十四節)
[00:03:51.280 --> 00:03:57.320]  (主持人:祂說,讓我媽媽生我的那一天被咒詛)
[00:03:57.320 --> 00:03:59.560]  (主持人:二十章十五節)
[00:03:59.560 --> 00:04:06.680]  (主持人:祂說,誰告訴我爸爸我出世,願那個人也被咒詛)
[00:04:06.680 --> 00:04:08.440]  (主持人:祂說,我不出世好過)
[00:04:08.440 --> 00:04:11.800]  (主持人:祂說,我沒有出生更好)
[00:04:11.800 --> 00:04:15.920]  (主持人:祂說,哇!這些是神用的人嗎?)
[00:04:15.920 --> 00:04:18.880]  (主持人:這些真的是神的僕人嗎?)
[00:04:18.880 --> 00:04:26.920]  (主持人:約拿求死,耶利米求死,伊利亞求死)
[00:04:26.920 --> 00:04:35.720]  (主持人:保羅呢?保羅你想到臨後第一章)
[00:04:35.720 --> 00:04:42.920]  (主持人:第八節,他說弟兄們你們不要不曉得)
[00:04:42.920 --> 00:04:49.600]  (主持人:我以前所遭受的苦難,被壓太重)
[00:04:49.600 --> 00:04:55.120]  (主持人:祂說,甚至連活命的指望都沒有了,我想活都沒有)
[00:04:55.120 --> 00:05:00.440]  (主持人:甚至連活命的指望都沒有了,我想活都沒有指望了)
[00:05:00.440 --> 00:05:04.720]  (主持人:當我看到這些不同的人物的時候)
[00:05:04.720 --> 00:05:08.640]  (主持人:無論是舊約還是新約)
[00:05:08.640 --> 00:05:14.800]  (主持人:伊利亞,約拿,耶利米,甚至保羅)
[00:05:14.800 --> 00:05:21.000]  (主持人:他們有經歷過很低潮低谷的時候)
