
[00:00:00.000 --> 00:00:02.000]  各位頂姐妹、各位朋友
[00:00:02.000 --> 00:00:08.000]  很快我們便會踏進一個新的農曆的年度
[00:00:08.000 --> 00:00:09.000]  未來一年是甚麼年呢?
[00:00:09.000 --> 00:00:12.000]  答出來了,是馬年
[00:00:12.000 --> 00:00:15.000]  在這裡首先來恭祝大家農馬精神
[00:00:15.000 --> 00:00:19.000]  希望大家出入不會人仰馬翻
[00:00:19.000 --> 00:00:24.000]  希望大家事業、學業各方面都能夠馬到功成
[00:00:24.000 --> 00:00:27.000]  而不是媽媽、夫婦
[00:00:27.000 --> 00:00:30.000]  我們在教會大家一齊的敬拜、侍奉
[00:00:30.000 --> 00:00:33.000]  都能夠勵兵抹馬
[00:00:33.000 --> 00:00:35.000]  最好就馬不停蹄
[00:00:35.000 --> 00:00:39.000]  去找你侍奉最好由一馬當先
[00:00:39.000 --> 00:00:41.000]  大家一齊快馬加鞭
[00:00:41.000 --> 00:00:43.000]  來完成上帝的工作
[00:00:43.000 --> 00:00:47.000]  千萬不要只是天馬行空
[00:00:47.000 --> 00:00:50.000]  只有想,只有想而不會去做
[00:00:50.000 --> 00:00:54.000]  更加我們每一個都馬首是瞻
[00:00:54.000 --> 00:00:57.000]  我們一起去到瞻仰
[00:00:57.000 --> 00:01:00.000]  仰望我們這位主耶穌基督
[00:01:00.000 --> 00:01:04.000]  盼望上帝的恩典能夠伴隨我們每一個
[00:01:04.000 --> 00:01:09.000]  讓我們一年內都能夠以馬來離
[00:01:09.000 --> 00:01:12.000]  《時詩記》二章六召三章六節
[00:01:12.000 --> 00:01:15.000]  是我們今天所要去到思想的經文
[00:01:15.000 --> 00:01:19.000]  我給的題目叫「惡事永遠著迷」
[00:01:19.000 --> 00:01:23.000]  大家都聽過歷史會重演
[00:01:23.000 --> 00:01:27.000]  但事實上是否真的會有歷史重演呢?
[00:01:27.000 --> 00:01:30.000]  今年是2014年
[00:01:30.000 --> 00:01:32.000]  原來有人研究過
[00:01:32.000 --> 00:01:37.000]  1986年、1997年、2003年
[00:01:37.000 --> 00:01:41.000]  這些年間原來和今年有些東西是相似
[00:01:41.000 --> 00:01:43.000]  是重複的
[00:01:43.000 --> 00:01:44.000]  大家知不知道是甚麼?
[00:01:44.000 --> 00:01:46.000]  就是日曆
[00:01:46.000 --> 00:01:49.000]  1月1日是星期三
[00:01:49.000 --> 00:01:55.000]  而萬年曆告訴我們2025年會一樣
[00:01:55.000 --> 00:01:57.000]  所以不要丟掉你的日曆
[00:01:57.000 --> 00:02:01.000]  因為在美國有人將1986年的日曆拿出來賣
[00:02:01.000 --> 00:02:03.000]  當然是好的那些
[00:02:03.000 --> 00:02:06.000]  可以賣到50元美金
[00:02:06.000 --> 00:02:11.000]  但有人說其實這幾年也是有災難的一年
[00:02:11.000 --> 00:02:15.000]  因為1986年有切爾諾貝爾的核事故
[00:02:15.000 --> 00:02:17.000]  影響了當時很多人
[00:02:17.000 --> 00:02:21.000]  甚至這個世代有很多傷病死亡
[00:02:21.000 --> 00:02:25.000]  很多附近的地方都成為了廢墟
[00:02:25.000 --> 00:02:28.000]  1997年比較接近
[00:02:28.000 --> 00:02:30.000]  加州金融風暴
[00:02:30.000 --> 00:02:35.000]  很多人的股票就變成了腸子
[00:02:35.000 --> 00:02:38.000]  魚翅撈飯就變成了豉油撈飯
[00:02:38.000 --> 00:02:43.000]  很多人可能在當中都經歷過一個很艱難的時間
[00:02:43.000 --> 00:02:47.000]  2003年更加我們大家都記憶猶新
[00:02:47.000 --> 00:02:51.000]  雖然11年前就是沙士的風暴
[00:02:51.000 --> 00:02:52.000]  影響了香港
[00:02:52.000 --> 00:02:55.000]  改變了香港整個社會的生態民生
[00:02:55.000 --> 00:02:58.000]  起碼有一個生意是多了
[00:02:58.000 --> 00:03:00.000]  就是買口罩
[00:03:00.000 --> 00:03:04.000]  2014年我們盼望不會有一些什麼大事
[00:03:04.000 --> 00:03:08.000]  重演或者是災難來發生
[00:03:08.000 --> 00:03:11.000]  但今天我們要去思想這段經文
[00:03:11.000 --> 00:03:14.000]  告訴他們原來有一些不好的事情
[00:03:14.000 --> 00:03:16.000]  有一些不好的循環
[00:03:16.000 --> 00:03:19.000]  不斷在這個以色列人當中發生
[00:03:19.000 --> 00:03:22.000]  就用這個也成為了我們一個提醒
[00:03:22.000 --> 00:03:23.000]  一個尷尬
[00:03:23.000 --> 00:03:25.000]  我們一起來重讀這段經文
[00:03:25.000 --> 00:03:26.000]  所以比較長一點
[00:03:26.000 --> 00:03:29.000]  我希望大家有個概括的認識和了解
[00:03:29.000 --> 00:03:30.000]  我先讀白色的字
[00:03:30.000 --> 00:03:32.000]  大家去讀黃色的字
[00:03:32.000 --> 00:03:33.000]  二章第六節
[00:03:33.000 --> 00:03:35.000]  約書亞解散百姓
[00:03:35.000 --> 00:03:37.000]  以色列人回到自己的地業
[00:03:37.000 --> 00:03:39.000]  佔各自的地
[00:03:39.000 --> 00:03:41.000]  約書亞在世一日
[00:03:41.000 --> 00:03:43.000]  耶和華死了之後
[00:03:43.000 --> 00:03:45.000]  在見過耶和華的兒子
[00:03:45.000 --> 00:03:48.000]  仍在他兒子的手中
[00:03:48.000 --> 00:03:50.000]  在世的時候
[00:03:50.000 --> 00:03:52.000]  正好是同耶和華
[00:03:52.000 --> 00:03:54.000]  耶和華的僕人亂的兒子
[00:03:54.000 --> 00:03:56.000]  約書亞死了
[00:03:56.000 --> 00:03:58.000]  那時他一百一十歲
[00:03:58.000 --> 00:03:59.000]  在見過耶和華的僕人亂的兒子
[00:03:59.000 --> 00:04:00.000]  在見過耶和華的僕人亂的兒子
[00:04:00.000 --> 00:04:01.000]  在見過耶和華的僕人亂的兒子
[00:04:01.000 --> 00:04:02.000]  在見過耶和華的僕人亂的兒子
[00:04:02.000 --> 00:04:03.000]  在見過耶和華的僕人亂的兒子
[00:04:03.000 --> 00:04:04.000]  在見過耶和華的僕人亂的兒子
[00:04:04.000 --> 00:04:05.000]  在見過耶和華的僕人亂的兒子
[00:04:05.000 --> 00:04:06.000]  在見過耶和華的僕人亂的兒子
[00:04:06.000 --> 00:04:09.000]  那世代的人也都歸到自己的列祖
[00:04:09.000 --> 00:04:11.000]  後來興起的另一世代
[00:04:11.000 --> 00:04:12.000]  不認識耶和華
[00:04:12.000 --> 00:04:16.000]  也不知道他為以色列所做的事
[00:04:16.000 --> 00:04:23.000]  也不知道他為以色列所做的事
[00:04:23.000 --> 00:04:24.000]  他們離棄
[00:04:24.000 --> 00:04:26.000]  領他們出埃及地的耶和華
[00:04:26.000 --> 00:04:29.000]  他們列祖的上帝去隨從別神
[00:04:29.000 --> 00:04:31.000]  就使四圍列國的神明
[00:04:31.000 --> 00:04:32.000]  向他們求拜
[00:04:32.000 --> 00:04:40.000]  惹耶和華發怒
[00:04:40.000 --> 00:04:42.000]  耶和華的怒氣向以色列發作
[00:04:42.000 --> 00:04:45.000]  把他們交在搶奪他們的人手中
[00:04:45.000 --> 00:04:48.000]  又把他們交給四圍仇敵的手中
[00:04:48.000 --> 00:04:50.000]  以致他們在仇敵面前
[00:04:50.000 --> 00:04:52.000]  再也不能站立得住
[00:04:52.000 --> 00:05:06.000]  二章十六節
[00:05:06.000 --> 00:05:08.000]  耶和華興起事司
[00:05:08.000 --> 00:05:12.000]  事司就拯救他們脫離搶奪他們之人的手
[00:05:12.000 --> 00:05:28.000]  ...
[00:05:28.000 --> 00:05:30.000]  耶和華為他們興起事司
[00:05:30.000 --> 00:05:32.000]  耶和華與事司同在
[00:05:32.000 --> 00:05:34.000]  事司在世的一切日子
[00:05:34.000 --> 00:05:37.000]  耶和華拯救他們脫離仇敵的手
[00:05:37.000 --> 00:05:39.000]  耶和華因他們受欺壓迫害
[00:05:39.000 --> 00:05:43.000]  所發出的愛聖就憐憫他們
[00:05:43.000 --> 00:05:56.000]  ...
[00:05:56.000 --> 00:05:59.000]  於是耶和華的怒氣向以色列發作說
[00:05:59.000 --> 00:06:03.000]  因為這國違背我吩咐他們列祖所當受的約
[00:06:03.000 --> 00:06:09.000]  不聽從我的話
[00:06:09.000 --> 00:06:12.000]  ...
[00:06:12.000 --> 00:06:15.000]  為要藉此考驗以色列是否肯緊守
[00:06:15.000 --> 00:06:17.000]  遵行耶和華的道
[00:06:17.000 --> 00:06:20.000]  將他們列祖一樣地緊守
[00:06:20.000 --> 00:06:28.000]  ...
[00:06:28.000 --> 00:06:29.000]  第三章
[00:06:29.000 --> 00:06:33.000]  耶和華留下這些國家為要考驗所有未曾經歷
[00:06:33.000 --> 00:06:36.000]  加南任何戰役的以色列人
[00:06:36.000 --> 00:06:44.000]  ...
[00:06:44.000 --> 00:06:47.000]  留下的有菲利士的五個領袖
[00:06:47.000 --> 00:06:49.000]  所有的加南人、西頓人
[00:06:49.000 --> 00:06:52.000]  以及從巴力、黑門山到哈馬口
[00:06:52.000 --> 00:06:54.000]  駐黎巴嫩山的希美人
[00:06:54.000 --> 00:07:03.000]  ...
[00:07:03.000 --> 00:07:09.000]  以色列人住在加南人、赫人、阿摩利人、比利西人、希美人、耶布斯人中間
[00:07:09.000 --> 00:07:17.000]  ...
[00:07:17.000 --> 00:07:21.000]  我們聽過在這個史詩記的第一章
[00:07:21.000 --> 00:07:23.000]  梁牧師跟我們分享過
[00:07:23.000 --> 00:07:26.000]  我們見到以色列人進入這個應許之地
[00:07:26.000 --> 00:07:31.000]  他們理應取得上帝曾經應許過給他們的地方
[00:07:31.000 --> 00:07:33.000]  但是他們的問題
[00:07:33.000 --> 00:07:35.000]  以致他們有一些地方
[00:07:35.000 --> 00:07:37.000]  在這個地圖裏面有些淺色的地方
[00:07:37.000 --> 00:07:39.000]  他們是拿不到的
[00:07:39.000 --> 00:07:41.000]  這張地圖更加可以清楚
[00:07:41.000 --> 00:07:43.000]  可能有些字比較細一點不要緊
[00:07:43.000 --> 00:07:45.000]  給大家一個概括的了解
[00:07:45.000 --> 00:07:46.000]  原來他們的列祖
[00:07:46.000 --> 00:07:48.000]  他們的祖先阿伯拉罕
[00:07:48.000 --> 00:07:50.000]  其實是腳掌所踏的地方
[00:07:50.000 --> 00:07:53.000]  應該就是他們可以得到的應許之地
[00:07:53.000 --> 00:07:56.000]  今天的經文給我們看到一些地方名
[00:07:56.000 --> 00:08:00.000]  在這個最上端有個叫哈瑪口的地方
[00:08:00.000 --> 00:08:03.000]  原來這個是他們應許之地可以去到最北的地方
[00:08:03.000 --> 00:08:08.000]  因為這個在文素記第十三章第二節
[00:08:08.000 --> 00:08:11.000]  當摩西打發十二個探子出去的時間
[00:08:11.000 --> 00:08:14.000]  這十二個探子就去到這個地方
[00:08:14.000 --> 00:08:16.000]  而去到這個約書亞記的時間
