
[00:00:00.000 --> 00:00:04.720]  今天輪到我講到夫妻之間的關係
[00:00:04.720 --> 00:00:11.000]  我預備跟大家分享的是永結童心的願景
[00:00:11.000 --> 00:00:15.400]  根據最新的數據顯示
[00:00:15.400 --> 00:00:18.000]  最新的也要回到2021年
[00:00:18.000 --> 00:00:19.800]  2021年的時候
[00:00:19.800 --> 00:00:25.800]  全美國大概有六十八萬九千人離婚
[00:00:25.800 --> 00:00:31.400]  或者廢除婚姻的契約
[00:00:31.400 --> 00:00:32.400]  怎樣去定義呢?
[00:00:32.400 --> 00:00:33.400]  我已經很清楚了
[00:00:33.400 --> 00:00:39.200]  總之六十八萬九千人離婚的個案差不多是六十九萬人
[00:00:39.200 --> 00:00:41.000]  在2021年
[00:00:41.000 --> 00:00:44.600]  這個個案其實比在2011年
[00:00:44.600 --> 00:00:46.600]  十年前少了一點
[00:00:46.600 --> 00:00:49.200]  2011年的時候大概是八十七萬七千人
[00:00:49.200 --> 00:00:51.800]  現在是六十九萬人
[00:00:51.800 --> 00:00:55.400]  所以似乎是少了一點
[00:00:55.400 --> 00:00:59.000]  但事實上從21世紀開始
[00:00:59.000 --> 00:01:00.800]  美國的離婚率
[00:01:00.800 --> 00:01:02.400]  大家很驚訝
[00:01:02.400 --> 00:01:06.800]  美國的離婚率幾乎每年都在下降
[00:01:06.800 --> 00:01:08.400]  是不是很驚訝呢?
[00:01:08.400 --> 00:01:10.600]  你的印象好像不太一樣
[00:01:10.600 --> 00:01:17.800]  但事實上這個不等於在美國的婚姻越來越好
[00:01:17.800 --> 00:01:20.200]  或者是越來越長久
[00:01:20.200 --> 00:01:22.200]  主要的原因大家知道是什麼嗎?
[00:01:22.200 --> 00:01:25.000]  主要的原因是認識靈結婚的人
[00:01:25.000 --> 00:01:29.600]  大概是二十歲到三十四歲的人
[00:01:29.600 --> 00:01:33.200]  是越來越多人選擇不結婚
[00:01:33.200 --> 00:01:34.600]  大家明白這個原因嗎?
[00:01:34.600 --> 00:01:36.600]  這是其中一個原因
