
[00:00:00.000 --> 00:00:04.520]  各位電影姊妹,我們今天會一起來看
[00:00:04.520 --> 00:00:07.040]  《仕途行傳》的第一章
[00:00:07.040 --> 00:00:09.440]  十五到十七節
[00:00:09.440 --> 00:00:12.720]  以及二十一到二十六節
[00:00:12.720 --> 00:00:18.680]  這段經文就是在耶穌升天之後
[00:00:18.680 --> 00:00:23.680]  一群的仕途和一些跟隨耶穌的人
[00:00:23.680 --> 00:00:26.040]  他們發生了一些事
[00:00:28.080 --> 00:00:33.480]  昨天大家有看PeeMook的Facebook Live嗎?
[00:00:33.480 --> 00:00:35.080]  她說了第一章
[00:00:35.080 --> 00:00:37.880]  幸好她沒有說我要說的那一部分
[00:00:37.880 --> 00:00:43.200]  好了,我們先讀讀《仕途行傳》第一章
[00:00:43.200 --> 00:00:46.600]  十五到十七,以及二十一到二十六節
[00:00:46.600 --> 00:00:50.160]  如果大家有聖經的話可以看自己的聖經
[00:00:50.160 --> 00:00:53.160]  如果沒有聖經的話可以看銀幕的投射
[00:00:53.160 --> 00:00:56.080]  我們一起讀,預備起
[00:00:56.080 --> 00:01:00.880]  「那時有許多人聚會,約有一百二十名
[00:01:00.880 --> 00:01:04.680]  彼得在弟兄中間站起來,說:
[00:01:04.680 --> 00:01:08.360]  諸位弟兄,聖經的話必須應驗
[00:01:08.360 --> 00:01:11.680]  聖經中,聖靈曾藉大位的口
[00:01:11.680 --> 00:01:16.160]  預先說道那領人來,那耶穌的猶大
[00:01:16.160 --> 00:01:19.200]  他本來算是我們中的一個
[00:01:19.200 --> 00:01:23.080]  並且得了這一份仕途的職任
[00:01:23.080 --> 00:01:28.080]  所以,主耶穌在我們中間出入的整段時間
[00:01:28.080 --> 00:01:31.080]  就是從約翰斯洗起
[00:01:31.080 --> 00:01:36.080]  直到主離開我們被接上聖的日子為止
[00:01:36.080 --> 00:01:39.480]  必須從那常與我們一起的人中
[00:01:39.480 --> 00:01:44.080]  立一位與我們同坐耶穌復活的見證
[00:01:44.080 --> 00:01:46.680]  於是他們推舉兩個人
[00:01:46.680 --> 00:01:48.880]  就是那叫巴薩巴
[00:01:48.880 --> 00:01:53.680]  又稱為猶士都的托瑟和瑪提亞
[00:01:53.680 --> 00:01:55.480]  眾人好告說:
[00:01:55.480 --> 00:01:58.280]  主啊,祢知道萬人的心
