
[00:00:00.000 --> 00:00:02.000]  所以我們希望你今天是因典
[00:00:02.000 --> 00:00:04.000]  因為你是猜拳的上帝
[00:00:04.000 --> 00:00:08.800]  你首先猜了先知來講的訊息
[00:00:08.800 --> 00:00:13.200]  到末世你猜獻了你自己的兒子來傳講這個訊息
[00:00:13.200 --> 00:00:16.400]  我們感謝你今天仍然是猜拳
[00:00:16.400 --> 00:00:20.800]  你仍然都是猜派你的工人用不同的方式
[00:00:20.800 --> 00:00:22.400]  去對世界傳福音
[00:00:22.400 --> 00:00:26.200]  最後我們求你繼續帶領祝福所有宣教士
[00:00:26.200 --> 00:00:31.000]  特別是今天為Titus和Winnie願意放下這邊的生活
[00:00:31.000 --> 00:00:34.600]  去到一個不同的環境裡侍奉你
[00:00:34.600 --> 00:00:36.400]  求主祝福一下你們
[00:00:36.400 --> 00:00:40.400]  也求主你的聲音在我們中間幫助我們明白你的心意
[00:00:40.400 --> 00:00:42.000]  明白你的話語
[00:00:42.000 --> 00:00:43.800]  奉耶穌基督的名祈禱
[00:00:43.800 --> 00:00:49.200]  過去兩個星期我們已經思想過
[00:00:49.200 --> 00:00:53.400]  梁朵韋基督徒是不是成熟的指標呢
[00:00:53.400 --> 00:00:55.000]  就是彼此相愛
[00:00:57.200 --> 00:00:58.800]  麻煩轉話
[00:00:58.800 --> 00:01:09.400]  而阻礙我們成長成熟最大的路障就是自我中心
[00:01:09.400 --> 00:01:11.400]  或者說尊顧自己
[00:01:11.400 --> 00:01:15.600]  上個星期講完之後沒有人來找我提出任何意見
[00:01:15.600 --> 00:01:18.000]  大家大概都可以接受
[00:01:18.000 --> 00:01:22.200]  自我中心是阻礙我們成長的最大問題
[00:01:22.200 --> 00:01:28.000]  最近我讀了一篇由一位叫陳躍如牧師
[00:01:28.000 --> 00:01:33.200]  講他有關很多基督徒不追求成熟的文章
[00:01:33.200 --> 00:01:36.800]  或者我想分享一下他的觀察
[00:01:36.800 --> 00:01:39.600]  他現在是住在加拿大
[00:01:39.600 --> 00:01:43.200]  陳牧師說有很多來教會的人士
[00:01:43.200 --> 00:01:46.200]  甚至自稱是基督徒的人
[00:01:46.200 --> 00:01:49.200]  會認為追求生命成熟
[00:01:49.200 --> 00:01:54.000]  只是一些熱心基督徒才會做的事
[00:01:54.000 --> 00:01:56.400]  對大部分信徒來說
[00:01:56.400 --> 00:01:59.800]  一個人只要決志信主
[00:01:59.800 --> 00:02:04.200]  受洗歸入教會就可以告一段落
[00:02:04.200 --> 00:02:06.800]  因為他已經得救了
[00:02:06.800 --> 00:02:08.800]  而一次得救就永遠得救
[00:02:08.800 --> 00:02:11.400]  一直是科恩派教會的標準信仰
[00:02:11.400 --> 00:02:15.800]  既然他曾經一次決志接受耶穌做救主
[00:02:15.800 --> 00:02:19.800]  就自然保證了他能夠上天堂
[00:02:19.800 --> 00:02:22.200]  因此他的額外努力
[00:02:22.200 --> 00:02:26.400]  只是關係到他的德性和得獎賞
[00:02:26.400 --> 00:02:28.400]  和救恩是沒有關係的
[00:02:28.400 --> 00:02:34.400]  因此對他們來說追求成熟就可有可無了
[00:02:34.400 --> 00:02:36.400]  熱心的人可以追求
[00:02:36.400 --> 00:02:41.600]  不熱心的人就可以繼續追求世界上的成就
[00:02:41.600 --> 00:02:44.200]  追求社會上出人頭地
[00:02:44.200 --> 00:02:47.800]  比做一個成熟的基督徒更加重要
[00:02:47.800 --> 00:02:51.600]  我對陳牧師在加拿大
[00:02:51.600 --> 00:02:54.000]  或者他以前在香港的觀察
[00:02:54.000 --> 00:02:55.800]  我都有同感
[00:02:55.800 --> 00:02:58.000]  幾年前我去了韓國回來
[00:02:58.000 --> 00:03:00.000]  要開門道訓練班
