
[00:00:00.000 --> 00:00:02.000]  路加福音第十章二十五節
[00:00:02.000 --> 00:00:09.000]  一段都幾熟悉的聖經
[00:00:09.000 --> 00:00:12.000]  想和大家再仔細去看一下
[00:00:12.000 --> 00:00:14.000]  這一段的記載
[00:00:14.000 --> 00:00:17.000]  是有一個律法師
[00:00:17.000 --> 00:00:19.000]  來到去試探耶穌
[00:00:19.000 --> 00:00:22.000]  律法師
[00:00:22.000 --> 00:00:26.000]  是猶太人的文士
[00:00:26.000 --> 00:00:28.000]  是熟悉律法
[00:00:30.000 --> 00:00:32.000]  也是解釋律法的人
[00:00:32.000 --> 00:00:38.000]  就等於我們今天的法官
[00:00:38.000 --> 00:00:41.000]  律法寫好了
[00:00:41.000 --> 00:00:44.000]  誰負責去解釋呢
[00:00:44.000 --> 00:00:46.000]  就是律法師
[00:00:46.000 --> 00:00:51.000]  他比在聖殿裡做事的人
[00:00:51.000 --> 00:00:53.000]  更加熟悉律法
[00:00:53.000 --> 00:00:56.000]  更加熟悉律法上的要求
[00:00:59.000 --> 00:01:01.000]  所以就是這個人
[00:01:01.000 --> 00:01:04.000]  來到去試探耶穌
[00:01:04.000 --> 00:01:06.000]  去挑戰耶穌
[00:01:06.000 --> 00:01:11.000]  他挑戰耶穌的方式就是說
[00:01:11.000 --> 00:01:13.000]  我做什麼
[00:01:13.000 --> 00:01:15.000]  才可以得到永生呢
[00:01:15.000 --> 00:01:20.000]  耶穌也是高人
[00:01:20.000 --> 00:01:23.000]  他不會直接回答你這個問題
[00:01:23.000 --> 00:01:26.000]  既然你是律法師
[00:01:27.000 --> 00:01:29.000]  我就問他回頭
[00:01:29.000 --> 00:01:31.000]  他就說
[00:01:31.000 --> 00:01:34.000]  律法上是怎麼寫的呢
[00:01:34.000 --> 00:01:37.000]  你問我做什麼
[00:01:37.000 --> 00:01:39.000]  才可以得到永生
[00:01:39.000 --> 00:01:41.000]  既然你這麼熟悉律法
[00:01:41.000 --> 00:01:43.000]  律法上是怎麼寫的呢
[00:01:43.000 --> 00:01:47.000]  這個律法師
[00:01:47.000 --> 00:01:49.000]  他真的是一個律法師
[00:01:49.000 --> 00:01:52.000]  他說律法上是這樣寫的
[00:01:52.000 --> 00:01:54.000]  兩件事
[00:01:54.000 --> 00:01:56.000]  第一
[00:01:57.000 --> 00:01:58.000]  盡心盡性
[00:01:58.000 --> 00:02:00.000]  盡力盡意
[00:02:00.000 --> 00:02:02.000]  愛主你的神
[00:02:02.000 --> 00:02:04.000]  第二
[00:02:04.000 --> 00:02:06.000]  愛鄰舍
[00:02:06.000 --> 00:02:08.000]  如同愛自己
[00:02:08.000 --> 00:02:17.000]  耶穌的回答就是
[00:02:17.000 --> 00:02:20.000]  你回答的是
[00:02:20.000 --> 00:02:23.000]  你說得一點都沒有錯
[00:02:23.000 --> 00:02:25.000]  全對
[00:02:26.000 --> 00:02:27.000]  這是標準的答案
[00:02:27.000 --> 00:02:29.000]  非常之好
[00:02:29.000 --> 00:02:34.000]  你這樣做就行了
[00:02:34.000 --> 00:02:41.000]  如果這樣就結束了
[00:02:41.000 --> 00:02:43.000]  就是完美的結束
[00:02:43.000 --> 00:02:46.000]  一問一答
[00:02:46.000 --> 00:02:48.000]  怎樣可以得到永生呢
[00:02:48.000 --> 00:02:51.000]  那律法上怎麼說呢
[00:02:51.000 --> 00:02:53.000]  盡心盡性
[00:02:53.000 --> 00:02:55.000]  盡力盡意
[00:02:56.000 --> 00:02:57.000]  愛主你的神
[00:02:57.000 --> 00:02:59.000]  愛鄰舍
[00:02:59.000 --> 00:03:01.000]  如同愛自己
[00:03:01.000 --> 00:03:03.000]  耶穌說
[00:03:03.000 --> 00:03:05.000]  說得非常之好
[00:03:05.000 --> 00:03:07.000]  全對
[00:03:07.000 --> 00:03:09.000]  跟著去做就行了
[00:03:09.000 --> 00:03:11.000]  這樣就已經完結了對話
[00:03:11.000 --> 00:03:13.000]  但是這個律法師
[00:03:13.000 --> 00:03:15.000]  聖經說什麼呢
[00:03:15.000 --> 00:03:18.000]  他說他要顯明自己是有道理的
[00:03:18.000 --> 00:03:22.000]  也就是說
[00:03:22.000 --> 00:03:24.000]  我要告訴你
[00:03:25.000 --> 00:03:27.000]  其實
[00:03:27.000 --> 00:03:30.000]  我是一個很能幹的人
[00:03:30.000 --> 00:03:33.000]  顯明自己有道理
[00:03:33.000 --> 00:03:36.000]  在我們社會裡
[00:03:36.000 --> 00:03:38.000]  我們也見過這樣的人
[00:03:38.000 --> 00:03:40.000]  是要告訴別人
[00:03:40.000 --> 00:03:42.000]  我是很能幹的
[00:03:42.000 --> 00:03:44.000]  我是很有才能的
[00:03:44.000 --> 00:03:46.000]  怕別人不知道你是有才能的
[00:03:46.000 --> 00:03:48.000]  這個律法師
[00:03:48.000 --> 00:03:51.000]  本來已經沒有什麼可以挑戰
[00:03:51.000 --> 00:03:53.000]  去挑戰耶穌
[00:03:54.000 --> 00:03:55.000]  但是他就說
[00:03:55.000 --> 00:03:57.000]  我要顯明自己的道理
[00:03:57.000 --> 00:03:59.000]  我要多問你一個問題
[00:03:59.000 --> 00:04:01.000]  那個問題就是
[00:04:01.000 --> 00:04:03.000]  誰是我的鄰舍呢
[00:04:03.000 --> 00:04:08.000]  律法上說我要愛鄰舍
[00:04:08.000 --> 00:04:10.000]  誰是我的鄰舍呢
[00:04:10.000 --> 00:04:15.000]  高人對高人
[00:04:15.000 --> 00:04:17.000]  耶穌
[00:04:17.000 --> 00:04:19.000]  也沒有正面告訴你
[00:04:19.000 --> 00:04:21.000]  誰是你的鄰舍
[00:04:21.000 --> 00:04:23.000]  他說了一個故事
[00:04:25.000 --> 00:04:27.000]  這個故事就是
[00:04:27.000 --> 00:04:29.000]  有一個人
[00:04:29.000 --> 00:04:31.000]  他在耶路撒冷
[00:04:31.000 --> 00:04:33.000]  他離開耶路撒冷
[00:04:33.000 --> 00:04:35.000]  他要去耶利哥
[00:04:35.000 --> 00:04:39.000]  有一段路程
[00:04:39.000 --> 00:04:41.000]  在這條路上
[00:04:41.000 --> 00:04:43.000]  他遇到強盜
[00:04:43.000 --> 00:04:48.000]  被人套了麻包袋
