
[00:00:00.000 --> 00:00:07.700]  你看到這個題目和我在書中的周刊上不同了
[00:00:07.700 --> 00:00:08.740]  為什麼呢?
[00:00:08.740 --> 00:00:11.400]  昨天見到彭長老出席
[00:00:11.400 --> 00:00:14.320]  來做全教會的侍功
[00:00:14.320 --> 00:00:17.520]  一時有個很大的感觸
[00:00:17.520 --> 00:00:22.580]  本來是想叫這篇道做「家立專一復從」
[00:00:22.580 --> 00:00:24.620]  見到彭長老之後
[00:00:24.620 --> 00:00:28.540]  我就改了它為「家立老當益壯」
[00:00:28.540 --> 00:00:31.400]  有別一樣的心智
[00:00:31.400 --> 00:00:34.180]  我覺得彭長老就像家立一樣
[00:00:34.180 --> 00:00:36.220]  老當益壯
[00:00:36.220 --> 00:00:38.500]  彭長老年紀都很大
[00:00:38.500 --> 00:00:41.920]  但仍然是關心我們教會的侍功
[00:00:41.920 --> 00:00:43.620]  來出一份力量
[00:00:43.620 --> 00:00:46.600]  非常非常之感謝
[00:00:46.600 --> 00:00:49.020]  其實今天很快
[00:00:49.020 --> 00:00:51.700]  我們又去到約書亞記的十四章
[00:00:51.700 --> 00:00:52.980]  十五章
[00:00:52.980 --> 00:00:57.380]  要講的就是家立的故事
[00:00:57.380 --> 00:01:02.620]  其實約書亞記可以分開有兩個主要的部分
[00:01:02.620 --> 00:01:07.620]  一至十二章和十三至二十四章
[00:01:07.620 --> 00:01:10.640]  一至十二章就是講以色列人
[00:01:10.640 --> 00:01:14.340]  怎樣進入迦南地得到那地
[00:01:14.340 --> 00:01:16.700]  主要是四場戰爭
[00:01:16.700 --> 00:01:19.620]  兩場在迦南的中部
[00:01:19.620 --> 00:01:22.780]  就是耶利歌城和艾城
[00:01:22.780 --> 00:01:26.340]  兩場一場在南邊一場在北邊
[00:01:26.340 --> 00:01:28.380]  南邊的是欺騙
[00:01:28.380 --> 00:01:31.300]  北邊的是下鎖
[00:01:31.300 --> 00:01:33.940]  十二章可以說是一個總結
[00:01:33.940 --> 00:01:36.180]  戰役的總結
[00:01:36.180 --> 00:01:38.940]  就是講他們得到什麼地方
[00:01:38.940 --> 00:01:42.060]  戰勝了多少個王
[00:01:42.060 --> 00:01:44.500]  十三至二十四章
[00:01:44.500 --> 00:01:48.380]  就是約書亞記的下半部
[00:01:48.380 --> 00:01:50.600]  就是講他們怎樣來分地
[00:01:50.600 --> 00:01:54.660]  分給十二支派
[00:01:54.660 --> 00:01:57.660]  今天很明顯就是要講家立
[00:01:57.660 --> 00:01:59.380]  十四、十五章
[00:01:59.380 --> 00:02:02.980]  約書亞記的十四章六節經文說
[00:02:02.980 --> 00:02:07.820]  那時由大人來到吉格見約書亞
[00:02:07.820 --> 00:02:12.180]  有基尼洗族耶穌尼的兒子家立
[00:02:12.180 --> 00:02:13.820]  對約書亞說
[00:02:13.820 --> 00:02:16.700]  耶和華在加底斯巴尼亞
[00:02:16.700 --> 00:02:20.940]  指著我與你對神人摩西所說的話
[00:02:20.940 --> 00:02:23.180]  你都知道了
[00:02:23.180 --> 00:02:27.420]  接著他就希望約書亞
[00:02:27.420 --> 00:02:32.300]  能夠將希伯倫賜給自己
[00:02:32.300 --> 00:02:36.820]  經文說家立是由大支派
[00:02:36.820 --> 00:02:40.740]  基尼洗族耶穌尼的兒子
[00:02:40.740 --> 00:02:45.460]  究竟基尼洗族是什麼呢
[00:02:45.460 --> 00:02:47.540]  如果我們記得的話
[00:02:47.540 --> 00:02:52.340]  在創世紀的十五章十八至十九節
[00:02:52.340 --> 00:02:55.180]  神是應許阿伯拉罕
[00:02:55.180 --> 00:02:58.580]  會將加南地賜給以色列人
[00:02:58.580 --> 00:03:01.020]  當時神和阿伯拉罕說
[00:03:01.020 --> 00:03:04.220]  在加南地一共有十個族
[00:03:04.220 --> 00:03:08.220]  而其中一個族就是基尼洗族
[00:03:08.220 --> 00:03:10.660]  非常之有趣
[00:03:10.660 --> 00:03:14.140]  但是當約書亞去到加南地的時候
[00:03:14.140 --> 00:03:19.740]  剩下七族已經沒有了基尼洗族
[00:03:19.740 --> 00:03:24.340]  難道加南就是加南人
[00:03:24.340 --> 00:03:27.500]  也有聖經學者
[00:03:27.500 --> 00:03:31.260]  將基尼洗族追溯到
[00:03:31.260 --> 00:03:35.260]  創世紀的三十六章十五節
[00:03:35.260 --> 00:03:38.420]  說到亞國的哥哥以蘇
[00:03:38.420 --> 00:03:42.020]  以蘇是以東人的祖先
[00:03:42.020 --> 00:03:46.420]  以蘇有一個孫子叫基納斯
[00:03:46.420 --> 00:03:50.260]  原文的希伯來文基尼洗和基納斯
[00:03:50.260 --> 00:03:52.980]  是同出一個字
[00:03:52.980 --> 00:03:57.660]  基納斯是一個族長
[00:03:57.660 --> 00:04:00.100]  所以很多聖經學者就說
[00:04:00.100 --> 00:04:03.900]  他可能是基尼洗族的始創人
[00:04:03.900 --> 00:04:06.820]  那你說加南
[00:04:06.820 --> 00:04:08.740]  可能是加南人
[00:04:08.740 --> 00:04:12.100]  又可能是以東人
[00:04:12.100 --> 00:04:14.180]  問題在哪裡
[00:04:14.180 --> 00:04:18.420]  一個外邦人能夠加入以色列人不足為奇
[00:04:18.420 --> 00:04:21.220]  很多外邦人都能夠加入
[00:04:21.220 --> 00:04:23.580]  但是一個外邦人能不能夠成為
[00:04:23.580 --> 00:04:27.660]  猶大支派一個這麼大支派的領袖
[00:04:27.660 --> 00:04:30.580]  這麼大支派的一個族長呢
[00:04:30.580 --> 00:04:33.660]  相信是不容易
[00:04:33.660 --> 00:04:37.180]  所以也有很多的聖經學者就說
[00:04:37.180 --> 00:04:39.100]  這個基尼洗族
[00:04:39.100 --> 00:04:43.820]  其實是猶大支派的一個宗族
[00:04:43.820 --> 00:04:47.900]  聖經裡面有很多相似有很多相同的名字
[00:04:47.900 --> 00:04:50.300]  以前的名字是沒有專利權的
[00:04:50.300 --> 00:04:53.980]  你現在用了別人的名字被人告到什麼樣子
[00:04:53.980 --> 00:04:55.140]  以前沒有的
[00:04:55.140 --> 00:04:57.940]  可能有很多的基尼洗族
[00:04:57.940 --> 00:05:01.980]  其實這個說法是很合乎聖經的原則
[00:05:01.980 --> 00:05:05.220]  如果我們記得約書亞記的第七章
[00:05:05.220 --> 00:05:08.620]  阿干就是拿了當滅之物
[00:05:08.620 --> 00:05:13.100]  當時神是叫約書亞要制遷
[00:05:13.100 --> 00:05:16.100]  把這個罪人制出來
[00:05:16.100 --> 00:05:18.580]  首先是抽出支派
[00:05:18.580 --> 00:05:20.900]  接著是抽出宗族
[00:05:20.900 --> 00:05:22.900]  接著是抽出迦瑟
[00:05:22.900 --> 00:05:25.340]  然後才抽到這個人
[00:05:25.340 --> 00:05:26.780]  所以你看看
[00:05:26.780 --> 00:05:29.300]  約書亞記的十四章六節
[00:05:29.300 --> 00:05:32.140]  說迦勒是猶大支派
[00:05:32.140 --> 00:05:33.940]  首先是支派
[00:05:33.940 --> 00:05:36.900]  接著是基尼洗族
[00:05:36.900 --> 00:05:38.580]  是吧?宗族
[00:05:38.580 --> 00:05:40.420]  接著是迦瑟
[00:05:40.420 --> 00:05:43.180]  他是耶穌尼的兒子
[00:05:43.180 --> 00:05:45.180]  然後才說到本人
[00:05:45.180 --> 00:05:46.740]  他是迦勒
