
[00:00:00.000 --> 00:00:07.000]  (主持人)各位好,我們繼續去預備聖誕,我都沒有聖誕帽子,總之我都帶了聖誕帽子上來
[00:00:07.000 --> 00:00:15.000]  (主持人)聖誕來到,我們繼續去看一些經文,今天可能會看多一點,因為下個星期已經是聖誕的主日了
[00:00:15.000 --> 00:00:19.000]  (主持人)所以我們要去到完結《路加福音》一至到第二章
[00:00:19.000 --> 00:00:24.000]  (主持人)我們看看這個章臨節,所謂這個advent,給我們一些什麼的提醒
[00:00:24.000 --> 00:00:36.000]  (主持人)上一次我們去到看《路加福音》第一、二章的時候,我們說到一、二章就是一頁一頁的經文擺出來的
[00:00:36.000 --> 00:00:41.000]  (主持人)所以你一開始的時候,你發現有獅子約翰出生的報喜,annunciation
[00:00:41.000 --> 00:00:48.000]  (主持人)annunciation即是說the news of giving birth,即是說他快要出生了
[00:00:48.000 --> 00:00:54.000]  (主持人)所以有獅子約翰出生的報喜,一章五節到二十五節,然後第二部分
[00:00:54.000 --> 00:00:59.000]  (主持人)一頁的就是耶穌出生的報喜,二十六節到三十八節
[00:00:59.000 --> 00:01:09.000]  (主持人)然後兩個的母親,就是獅子約翰的母親伊利沙伯,和耶穌的母親瑪利亞,他們相遇的一段技術
[00:01:09.000 --> 00:01:16.000]  (主持人)然後就是獅子約翰出生,然後耶穌的出生,然後嬰孩的耶穌就被帶到聖殿
[00:01:16.000 --> 00:01:20.000]  (主持人)這裡講了兩個故事,主在聖殿裡面出現
[00:01:20.000 --> 00:01:27.000]  (主持人)所以今天我們會看比較多的經文,我們已經看了獅子約翰的報喜和出生了
[00:01:27.000 --> 00:01:30.000]  (主持人)這次去到路加封第二章
[00:01:30.000 --> 00:01:37.000]  (主持人)在那些日子,凱撒奧古斯都降子,叫全國人民都登記戶籍
[00:01:37.000 --> 00:01:43.000]  (主持人)這第一次登記戶籍,是在居里諾作敘利亞總督的時候行的
[00:01:43.000 --> 00:01:47.000]  (主持人)眾人各歸各城,辦理登記
[00:01:47.000 --> 00:01:52.000]  (主持人)約瑟也從加利利的拿撒勒城上猶太去
[00:01:52.000 --> 00:01:57.000]  (主持人)到了大衛的城明叫伯利恆,因為他是大衛家族的人
[00:01:57.000 --> 00:02:01.000]  (主持人)要和他所聘之妻瑪利亞一同登記戶籍
[00:02:01.000 --> 00:02:07.000]  (主持人)那時瑪利亞已經懷孕,他們在那裡的時候,瑪利亞的產妓到了
[00:02:07.000 --> 00:02:13.000]  (主持人)那時瑪利亞已經懷孕,他們在那裡的時候,瑪利亞的產妓到了
[00:02:13.000 --> 00:02:17.000]  (主持人)那時瑪利亞已經懷孕,他們在那裡的時候,瑪利亞的產妓到了
[00:02:17.000 --> 00:02:21.000]  (主持人)那時瑪利亞已經懷孕,他們在那裡的時候,瑪利亞的產妓到了
[00:02:21.000 --> 00:02:24.000]  (主持人)那時瑪利亞已經懷孕,他們在那裡的時候,瑪利亞的產妓到了
[00:02:24.000 --> 00:02:27.000]  (主持人)那時瑪利亞已經懷孕,他們在那裡的時候,瑪利亞的產妓到了
[00:02:27.000 --> 00:02:30.000]  (主持人)那時瑪利亞已經懷孕,他們在那裡的時候,瑪利亞的產妓到了
[00:02:30.000 --> 00:02:39.000]  (主持人)那時瑪利亞已經懷孕,他們在那裡的時候,瑪利亞的產妓到了
[00:02:39.000 --> 00:02:41.000]  (主持人)那時瑪利亞已經懷孕,他們在那裡的時候,瑪利亞的產妓到了
[00:02:41.000 --> 00:02:43.000]  (主持人)那時瑪利亞已經懷孕,他們在那裡的時候,瑪利亞的產妓到了
[00:02:43.000 --> 00:02:45.000]  (主持人)那時瑪利亞已經懷孕,他們在那裡的時候,瑪利亞的產妓到了
[00:02:45.000 --> 00:02:47.000]  (主持人)那時瑪利亞已經懷孕,他們在那裡的時候,瑪利亞的產妓到了
[00:02:47.000 --> 00:02:49.000]  (主持人)那時瑪利亞已經懷孕,他們在那裡的時候,瑪利亞的產妓到了
