
[00:00:00.000 --> 00:00:02.880]  主義節聖經在彼得前書第五章
[00:00:02.880 --> 00:00:05.320]  我們從第七到第十節
[00:00:05.320 --> 00:00:06.880]  彼得在這裡說
[00:00:06.880 --> 00:00:08.760]  你們要將一切的憂慮卸給神
[00:00:08.760 --> 00:00:10.080]  因為祂顧念你們
[00:00:10.080 --> 00:00:11.800]  務要謹守謹行
[00:00:11.800 --> 00:00:14.920]  因為你們的仇敵魔鬼如同吼叫的獅子
[00:00:14.920 --> 00:00:17.920]  遍地遊行尋找可吞吃的人
[00:00:17.920 --> 00:00:20.880]  你們有堅固的信心抵擋祂
[00:00:20.880 --> 00:00:23.120]  因為知道你們在世上的眾弟兄
[00:00:23.120 --> 00:00:25.520]  也是經歷這樣的苦難
[00:00:25.520 --> 00:00:27.960]  那賜諸般恩典的神
[00:00:27.960 --> 00:00:29.440]  曾在基督裡遭你們
[00:00:29.440 --> 00:00:31.200]  得享祂永遠的榮耀
[00:00:31.200 --> 00:00:33.240]  等你們戰受苦難之後
[00:00:33.240 --> 00:00:34.680]  必要親自成全你們
[00:00:34.680 --> 00:00:35.440]  兼顧你們
[00:00:35.440 --> 00:00:37.480]  賜力量給你們
[00:00:37.480 --> 00:00:38.960]  我們就讀到這個地方
[00:00:38.960 --> 00:00:41.360]  今天是元宵節
[00:00:41.360 --> 00:00:42.720]  也是剛好是主日
[00:00:42.720 --> 00:00:43.520]  今年很特別
[00:00:43.520 --> 00:00:45.040]  每一個節都在主日
[00:00:45.040 --> 00:00:47.520]  在這裡真的恭賀大家
[00:00:47.520 --> 00:00:48.720]  元宵節非常快樂
[00:00:48.720 --> 00:00:49.320]  你們
[00:00:49.320 --> 00:00:55.240]  今天來教會的時候還是風雨交加
[00:00:55.240 --> 00:00:56.120]  我就想到
[00:00:56.440 --> 00:01:00.360]  人生總是充滿各樣的苦難跟試煉
[00:01:00.360 --> 00:01:00.920]  不是嗎
[00:01:00.920 --> 00:01:02.520]  從小長大
[00:01:02.520 --> 00:01:05.320]  我們經歷過多少人生的轉折
[00:01:05.320 --> 00:01:07.720]  環境的一些變遷
[00:01:07.720 --> 00:01:09.840]  人情的改變
[00:01:09.840 --> 00:01:12.440]  再加上疾病的殘累
[00:01:12.440 --> 00:01:17.120]  甚至有時候有忽然而來的風暴
[00:01:17.120 --> 00:01:20.160]  難怪雅各書裡面提到說
[00:01:20.160 --> 00:01:23.160]  在人生裡面會遇到百般的試煉
[00:01:24.320 --> 00:01:27.480]  你知道以前我讀到百般的試煉這個句子
[00:01:27.480 --> 00:01:28.280]  我總覺得
[00:01:28.280 --> 00:01:31.120]  那只不過是個形容詞而已
[00:01:31.120 --> 00:01:34.000]  真的有百般的試煉嗎
[00:01:34.000 --> 00:01:38.280]  但這些年當我們看見經過了疫情
[00:01:38.280 --> 00:01:40.520]  社會的亂象
[00:01:40.520 --> 00:01:42.440]  經濟的風暴
[00:01:42.440 --> 00:01:46.520]  再加上最近一波裁員的危機
[00:01:46.520 --> 00:01:51.120]  我就真的明白人生真的是有百般的試煉
[00:01:51.640 --> 00:01:55.240]  而且是一波又一波是沒完沒了
[00:01:55.240 --> 00:01:57.000]  但雖然如此
[00:01:57.000 --> 00:01:58.720]  剛才讀了聖經
[00:01:58.720 --> 00:02:01.640]  彼得前書第五章第十節告訴我們
[00:02:01.640 --> 00:02:06.000]  我們的神卻是一位賜諸般恩典的神
[00:02:06.000 --> 00:02:07.640]  而且說
[00:02:07.640 --> 00:02:09.000]  等我們戰受苦難
[00:02:09.000 --> 00:02:10.720]  祝他親自成全我們
[00:02:10.720 --> 00:02:11.640]  堅固我們
[00:02:11.640 --> 00:02:12.720]  賜力量給我們
[00:02:12.720 --> 00:02:15.360]  感謝主在這裡很清楚的告訴我們
[00:02:15.360 --> 00:02:16.240]  我們現在
[00:02:16.240 --> 00:02:18.240]  所經過的苦難
[00:02:18.720 --> 00:02:21.720]  試煉風暴都只是暫時的
[00:02:21.720 --> 00:02:22.760]  你們
[00:02:22.760 --> 00:02:25.680]  神要賜下諸般的恩典
[00:02:25.680 --> 00:02:28.080]  使我們重新得力
[00:02:28.080 --> 00:02:29.960]  而且得以堅固
[00:02:29.960 --> 00:02:31.080]  很意思
[00:02:31.080 --> 00:02:33.120]  神在這裡告訴我們
[00:02:33.120 --> 00:02:34.160]  他是有賜
[00:02:34.160 --> 00:02:37.120]  他是一位賜諸般恩典的神
[00:02:37.120 --> 00:02:40.960]  人生雖然有百般的試煉
[00:02:40.960 --> 00:02:43.200]  但在神裡面
