
[00:00:00.000 --> 00:00:09.000]  今天我們要分享的訊息是以賽亞書第七章裡頭
[00:00:09.000 --> 00:00:13.000]  以及預言同女懷孕生子
[00:00:13.000 --> 00:00:16.000]  我們先來讀兩段聖經
[00:00:16.000 --> 00:00:19.000]  第一段在以賽亞書第七章
[00:00:19.000 --> 00:00:23.000]  我們要讀第十節到十四節
[00:00:30.000 --> 00:00:34.000]  翻到以後請我們一起來讀
[00:00:34.000 --> 00:00:40.000]  以賽亞書第七章第十節到十四節
[00:00:40.000 --> 00:00:42.000]  我們一起來
[00:00:42.000 --> 00:00:59.000]  閻華有小女子說:你向閻華女的神求一個兆頭,或求血的深處,或求血的高處。閻華女子說:我不求,我不試探閻華。
[00:00:59.000 --> 00:01:20.000]  以賽亞書:大衛家,你們敢聽?你們使人厭煩,豈算小事?還要使我的神厭煩嗎?因此主子已要給你們一個兆頭,並同女懷孕生子,給他血的高處。
[00:01:20.000 --> 00:01:22.000]  我們就讀到這裡
[00:01:22.000 --> 00:01:27.000]  第二段聖經是在馬太福音
[00:01:27.000 --> 00:01:32.000]  第一章我們讀二十節到二十三節
[00:01:32.000 --> 00:01:39.000]  馬太福音第一章二十到二十三節
[00:01:39.000 --> 00:01:41.000]  我們一起來讀
[00:01:41.000 --> 00:02:09.000]  正失言九次的時候,有主的使者向他夢中顯現說:大衛的子孫約瑟,不要怕,只管娶過你的親生瑪利亞來,你把手懷的孕是從聖人來的,他將要生一個兒子,你要給他洗靈叫耶穌,因他要將自己的百姓從罪惡裡救出來。
[00:02:09.000 --> 00:02:29.000]  這一切的使成就,是要應驗主見先知所說的話,說:你有同女懷孕生子,你要稱她的孕為伊瑪內利。伊瑪內利翻出來,就是神與我們同在。
[00:02:29.000 --> 00:02:39.000]  我們在這兩出聖經裡頭,都看到同樣是一個伊瑪內利,伊瑪內利就是神與我們同在。
[00:02:39.000 --> 00:02:53.000]  所以以賽亞書第七章是跟著第六章來的,第六章講到以賽亞他蒙昭出來為神說話,為神傳講信息。
[00:02:53.000 --> 00:03:17.000]  現在是當時猶大國比較困難的時候,這個預言是在公元前734年所說的。
[00:03:17.000 --> 00:03:35.000]  當時以色列國已經從所羅門王以後分開南國與北國,北面的國就叫以色列國,南面的國叫猶大國,其實他們都是以色列人,就分裂成兩個國了。
[00:03:35.000 --> 00:03:51.000]  南面的猶大國當時碰到的情形是很明顯,因為北方的敘利亞跟北方的以色列國聯合起來要來攻打猶大國。
[00:03:51.000 --> 00:04:12.000]  他們為什麼要攻打猶大國呢?就是他們要拉攏猶大國跟他們聯盟,因為當時亞蘇國,中東東方的亞蘇國勢力很大,所以他們三個想聯合起來可以來抵擋亞蘇國。
[00:04:12.000 --> 00:04:35.000]  但是猶大國的國王叫亞哈斯,亞哈斯他不肯,因為他覺得亞蘇國比較強大,他要靠著跟亞蘇國聯合起來抵抗北方的敘利亞跟以色列國。
[00:04:35.000 --> 00:04:47.000]  所以他就不答應,不肯來跟敘利亞跟以色列國聯盟,這個就是當時的情況。
[00:04:47.000 --> 00:05:12.000]  碰到這樣的危險,亞哈斯王他不肯依靠神,他要靠一個很強大的國家——亞蘇國。其實亞蘇國對猶大國也不是很友好,他雖然很強大,也可以幫助他,但是目的是要他的錢財和他的財寶和他的地圖。
