
[00:00:00.000 --> 00:00:02.000]  各位親愛的朋友們,平安
[00:00:02.000 --> 00:00:06.320]  今天是2022年最後一年
[00:00:06.320 --> 00:00:09.000]  回顧今年,不知道你滿不滿意
[00:00:09.000 --> 00:00:12.720]  你在這一年的經歷呢
[00:00:12.720 --> 00:00:15.720]  滿不滿意
[00:00:15.720 --> 00:00:18.320]  沒有反應,都有反應
[00:00:18.320 --> 00:00:20.720]  不滿意
[00:00:20.720 --> 00:00:25.520]  我不知道你覺不覺得生活過得實在太快
[00:00:25.520 --> 00:00:28.200]  快得很重要,就是我們沒有時間好
[00:00:28.200 --> 00:00:31.200]  沒有這樣的體會、好經歷
[00:00:31.200 --> 00:00:37.200]  就要跟2022年說再見
[00:00:37.200 --> 00:00:41.200]  過去的星期四,政府放寬防疫措施
[00:00:41.200 --> 00:00:44.200]  我不知道你記不記得三年之前
[00:00:44.200 --> 00:00:48.000]  你還是很緊張,去戴口罩的時候
[00:00:48.000 --> 00:00:51.600]  眨眼就已經三年過去了
[00:00:51.600 --> 00:00:56.200]  在新的一年,你有沒有想過自己要怎樣過呢
[00:00:56.200 --> 00:00:59.000]  是繼續被身邊的事推自己向前走
[00:00:59.000 --> 00:01:00.000]  不知道你有沒有經驗
[00:01:00.000 --> 00:01:01.800]  就是當你在地鐵
[00:01:01.800 --> 00:01:03.800]  現在觀塘也開始多了人的時候
[00:01:03.800 --> 00:01:06.600]  不知道你有沒有試過在地鐵站裡面
[00:01:06.600 --> 00:01:10.600]  你想走慢一點都被人推著你向前走
[00:01:10.600 --> 00:01:12.600]  如果自己不走快一點的時候
[00:01:12.600 --> 00:01:13.600]  別人會給你一個感覺
[00:01:13.600 --> 00:01:16.600]  就覺得你是阻礙地球轉
[00:01:16.600 --> 00:01:19.600]  有很多東西都推著我們向前走
[00:01:19.600 --> 00:01:24.600]  究竟我們是想繼續被身邊的事推自己向前走
[00:01:24.600 --> 00:01:28.600]  還是我們可以成為自己生命的主人呢
[00:01:28.600 --> 00:01:31.600]  我們可以努力去過自己想要的生活
[00:01:31.600 --> 00:01:36.600]  以及去過上帝想要我們過的生活
[00:01:36.600 --> 00:01:37.600]  其實你和我都知道
[00:01:37.600 --> 00:01:41.600]  生活在這麼急促的城市之下
[00:01:41.600 --> 00:01:44.600]  一些很卑微的願望其實不容易達成
[00:01:44.600 --> 00:01:46.600]  例如不知道你會不會覺得
[00:01:46.600 --> 00:01:49.600]  你需要多點me time
[00:01:49.600 --> 00:01:52.600]  多點跟家人、朋友、弟兄姊妹
[00:01:52.600 --> 00:01:54.600]  和上帝有些相處的時間
[00:01:54.600 --> 00:01:57.600]  可以建立新的關係
[00:01:57.600 --> 00:02:00.600]  其實這些都不容易達成
[00:02:00.600 --> 00:02:02.600]  也不容易守得住
[00:02:02.600 --> 00:02:05.600]  可能在新的一年你有這個期望
[00:02:05.600 --> 00:02:07.600]  很快到年尾的時候
[00:02:07.600 --> 00:02:12.600]  你都會覺得其實做不到
[00:02:12.600 --> 00:02:13.600]  不知道你會不會覺得
[00:02:13.600 --> 00:02:17.600]  我們的時間總是被很多東西佔據
[00:02:17.600 --> 00:02:23.600]  經常都很忙,經常都要匆匆衝去追趕
[00:02:23.600 --> 00:02:26.600]  完成一個task一個task
[00:02:26.600 --> 00:02:29.600]  好像覺得自己做了很多事
[00:02:29.600 --> 00:02:32.600]  不過當你坐下來的時候
[00:02:32.600 --> 00:02:37.600]  你發覺除了疲累,仍然是疲累
[00:02:37.600 --> 00:02:43.600]  就好像不知道你喜不喜歡吃泡芙
[00:02:43.600 --> 00:02:47.600]  地鐵站Venue有一間賣泡芙的,很漂亮
[00:02:47.600 --> 00:02:50.600]  有一次我真的去買了過來
[00:02:50.600 --> 00:02:52.600]  太吸引了
[00:02:52.600 --> 00:02:55.600]  不過我不知道你有沒有像我這樣的感覺
[00:02:55.600 --> 00:02:59.600]  就是吃完好像沒有吃過任何東西
[00:02:59.600 --> 00:03:02.600]  一咬一口,好像是有些東西
[00:03:02.600 --> 00:03:08.600]  但原來好像跟沒吃過沒甚麼分別
[00:03:08.600 --> 00:03:11.600]  究竟發生甚麼事呢
[00:03:11.600 --> 00:03:13.600]  吃得上的時候
[00:03:13.600 --> 00:03:16.600]  我們是不是被裡面自己的擔憂和恐懼
[00:03:16.600 --> 00:03:18.600]  推著我們向前走
[00:03:18.600 --> 00:03:21.600]  讓自己不由自主
[00:03:21.600 --> 00:03:24.600]  我們盡心去做一件又一件
[00:03:24.600 --> 00:03:26.600]  看來很重要
[00:03:26.600 --> 00:03:28.600]  不過過後的時候
[00:03:28.600 --> 00:03:31.600]  你發覺其實不是很重要
[00:03:31.600 --> 00:03:34.600]  最糟糕的地方是在朦朧之間
[00:03:34.600 --> 00:03:36.600]  我們都會無意之間
[00:03:36.600 --> 00:03:38.600]  無意識地將上帝
[00:03:38.600 --> 00:03:40.600]  將我們的家人朋友
[00:03:40.600 --> 00:03:44.600]  將我們個人的需要逼出我們每日生活之外
[00:03:44.600 --> 00:03:47.600]  是要很有意識
[00:03:47.600 --> 00:03:49.600]  很有意識地才抓得住
[00:03:49.600 --> 00:03:52.600]  我們想生命的重心放在哪裏
[00:03:52.600 --> 00:03:58.600]  抓得住我們自己想過一個甚麼生活
[00:03:58.600 --> 00:04:01.600]  這個意識從哪裏而來呢
[00:04:01.600 --> 00:04:04.600]  今天的經文會給我們一些答案
[00:04:04.600 --> 00:04:09.600]  由我們首先一起低頭祈禱
[00:04:09.600 --> 00:04:13.600]  身處我們知道你時刻與我們同在
[00:04:13.600 --> 00:04:19.600]  就好像空氣一樣去包圍我們身邊
[00:04:19.600 --> 00:04:22.600]  但我們太賤了
[00:04:22.600 --> 00:04:25.600]  我們很多時都不覺得
[00:04:25.600 --> 00:04:28.600]  有空氣存在在我們身邊
[00:04:28.600 --> 00:04:30.600]  直至我們缺乏的時候
[00:04:30.600 --> 00:04:32.600]  直至我們呼吸不了的時候
[00:04:32.600 --> 00:04:36.600]  我們才知道那個重要
[00:04:36.600 --> 00:04:40.600]  天會叫我們不要,沒了你的時候
[00:04:40.600 --> 00:04:44.600]  我們才知道你在我們生命裏面的重要
[00:04:44.600 --> 00:04:46.600]  天會求你幫助我們去義活
[00:04:46.600 --> 00:04:49.600]  去意識,去敏銳
[00:04:49.600 --> 00:04:53.600]  你在我們身邊,你是我們生命的主
[00:04:53.600 --> 00:04:57.600]  你要帶領我們走豐盛的道路
[00:04:57.600 --> 00:05:03.600]  我領求神你特別去賜我們有悟性
[00:05:03.600 --> 00:05:06.600]  以致我能夠明白你話語中的奧秘
[00:05:06.600 --> 00:05:08.600]  怎樣可以在我們生命裏面
[00:05:08.600 --> 00:05:11.600]  成為我們指引和方向
[00:05:11.600 --> 00:05:14.600]  留言講的和聽的都同盟你的月立
[00:05:14.600 --> 00:05:17.600]  祈禱奉主耶穌基督的名而求
[00:05:17.600 --> 00:05:19.600]  阿們
[00:05:19.600 --> 00:05:22.600]  我不知道大家有沒有機會看過
[00:05:22.600 --> 00:05:25.600]  啟示錄二十二章
[00:05:25.600 --> 00:05:27.600]  如果你看過的時候
[00:05:27.600 --> 00:05:33.600]  是否看完呢,還是你可能看前幾章講七間教會
[00:05:33.600 --> 00:05:37.600]  之後你就會覺得很難明白
[00:05:37.600 --> 00:05:41.600]  沒錯,啟示錄被認為是使徒約翰
[00:05:41.600 --> 00:05:43.600]  在方書裏面被形容為
[00:05:43.600 --> 00:05:48.600]  主耶穌所愛的門徒約翰所寫的
[00:05:48.600 --> 00:05:50.600]  他寫這本書的時候
[00:05:50.600 --> 00:05:53.600]  他是被放逐到不摸島上
[00:05:53.600 --> 00:05:58.600]  相傳這位八十多九十歲的老人家
[00:05:58.600 --> 00:06:01.600]  那時候他是這個歲數
[00:06:01.600 --> 00:06:03.600]  究竟他做了什麼事呢
[00:06:03.600 --> 00:06:06.600]  讓當時的羅馬政府這麼害怕他
[00:06:06.600 --> 00:06:09.600]  要將他視為犯人
[00:06:09.600 --> 00:06:14.600]  用放逐的方式將他囚禁在不摸島上
[00:06:14.600 --> 00:06:17.600]  翻查當時的一些文獻
[00:06:17.600 --> 00:06:20.600]  原來當時信耶穌承認自己
[00:06:20.600 --> 00:06:23.600]  耶穌是自己生命的恩主的時候
