
[00:00:00.000 --> 00:00:06.280]  上次我們講了使徒行傳的第3章第4章
[00:00:06.280 --> 00:00:09.400]  今天是要講第5章和第6章
[00:00:09.400 --> 00:00:11.880]  講到第3章第4章的時候
[00:00:11.880 --> 00:00:15.640]  我們講到撒旦開始攻擊教會
[00:00:15.640 --> 00:00:18.280]  開始攻擊使徒
[00:00:18.280 --> 00:00:20.920]  但是當撒旦越是攻擊的時候
[00:00:20.920 --> 00:00:24.440]  使徒就越加落力來傳福音
[00:00:24.440 --> 00:00:28.400]  所以撒旦說我要改變我的戰略
[00:00:28.400 --> 00:00:31.320]  外在的這些攻擊不成功
[00:00:31.320 --> 00:00:35.800]  我就要向教會裏面的人來買仇
[00:00:35.800 --> 00:00:39.920]  撒旦的計劃是非常狡猾
[00:00:39.920 --> 00:00:44.600]  他有時好像咆哮的獅子在外面來攻擊
[00:00:44.600 --> 00:00:47.320]  基督徒也好 教會也好
[00:00:47.320 --> 00:00:50.920]  但是有時候他會在裏面來攻擊
[00:00:50.920 --> 00:00:53.960]  攻擊教會裏面的人
[00:00:53.960 --> 00:00:57.080]  所以他的攻擊有時就好像聖經所講
[00:00:57.080 --> 00:01:00.520]  好像咆哮的獅子在外面來攻擊
[00:01:00.520 --> 00:01:04.240]  但是有時也會好像鬼炸的蛇
[00:01:04.240 --> 00:01:07.720]  甚至好像光明的天使來誘惑
[00:01:07.720 --> 00:01:11.840]  信徒來犯罪
[00:01:11.840 --> 00:01:14.560]  早期教會撒旦的攻擊
[00:01:14.560 --> 00:01:17.840]  就好像梅花間竹的手法
[00:01:17.840 --> 00:01:20.120]  軟硬兼施
[00:01:20.120 --> 00:01:23.600]  使教會內憂外患
[00:01:23.600 --> 00:01:25.600]  有一樣東西很有趣的
[00:01:25.600 --> 00:01:29.840]  在第五第六章裏你會發覺有很多的對比
[00:01:29.840 --> 00:01:33.040]  外在的攻擊 內在的攻擊
[00:01:33.040 --> 00:01:36.880]  稍後我們會見到有更多的對比
[00:01:36.880 --> 00:01:41.040]  其實撒旦對早期教會的攻擊
[00:01:41.040 --> 00:01:50.360]  和現在對教會基督徒的攻擊都是很相似
[00:01:50.360 --> 00:01:54.240]  很多人說這個世界上一半的苦難
[00:01:54.240 --> 00:01:56.120]  都是從哪裏來的
[00:01:56.120 --> 00:01:59.640]  都是由人希望變成另一個人
[00:01:59.640 --> 00:02:01.440]  但是他做不到
[00:02:01.440 --> 00:02:05.200]  耶穌叫這些做假冒為善
[00:02:05.200 --> 00:02:08.360]  就是戴著假面具
[00:02:08.360 --> 00:02:11.480]  扮演另外的一個角色
[00:02:11.480 --> 00:02:14.520]  我這裏不是說有一個人不夠屬靈
[00:02:14.520 --> 00:02:16.360]  有一個基督徒不夠屬靈
[00:02:16.360 --> 00:02:19.360]  他是希望自己變得更加屬靈
[00:02:19.360 --> 00:02:22.280]  而不能夠這麼快做得到
