
[00:00:00.000 --> 00:00:05.000]  頂姐妹 今天跟大家分享這個題目的時候
[00:00:05.000 --> 00:00:10.000]  先來說說最近發生在自己身上的一個經歷
[00:00:10.000 --> 00:00:17.000]  最近有一次當自己在辦公室做完工作
[00:00:17.000 --> 00:00:21.000]  比較晚的時候 我吃完晚飯才回家
[00:00:21.000 --> 00:00:25.000]  我家其實不是在地鐵站口
[00:00:25.000 --> 00:00:31.000]  要坐地鐵的話 去到某一個站還要轉一個小巴
[00:00:31.000 --> 00:00:36.000]  當日那個地鐵站最近新開張
[00:00:36.000 --> 00:00:42.000]  有一個M字型的 很大的連鎖店的餐廳
[00:00:42.000 --> 00:00:46.000]  開幕沒多久 當日其實我已經吃了飯
[00:00:46.000 --> 00:00:51.000]  但我不知道為什麼有一個心裡湧現出來的慾望
[00:00:51.000 --> 00:00:55.000]  就是很想吃杯雪糕
[00:00:55.000 --> 00:01:00.000]  我就走過去 誰知道前面有兩個男生在排隊
[00:01:00.000 --> 00:01:05.000]  其實當時已經十點多 他們四個攤位就剩下一個
[00:01:05.000 --> 00:01:12.000]  前面那兩個排隊之後 我就把我的公事箱放在旁邊
[00:01:12.000 --> 00:01:18.000]  就跟那個男生說 誰知道後面突然有一個女生走到前面
[00:01:18.000 --> 00:01:22.000]  匆匆忙忙 馬上就跟她說 我要什麼包
[00:01:22.000 --> 00:01:26.000]  你知道那些套餐 要喝什麼
[00:01:26.000 --> 00:01:28.000]  說完一大堆 我一直在聽
[00:01:28.000 --> 00:01:31.000]  我就開始搓著腰 挖著那個女生
[00:01:31.000 --> 00:01:33.000]  但她就沒有留意我
[00:01:33.000 --> 00:01:37.000]  當時那個男生在收銀的那個
[00:01:37.000 --> 00:01:43.000]  他就是以M字型的口吻 笑著對那個人說
[00:01:43.000 --> 00:01:49.000]  接受了他的命令之後 他又懂得問我 先生你要什麼
[00:01:49.000 --> 00:01:53.000]  我當時其實心裡很鼓噪 很怒氣
[00:01:53.000 --> 00:01:56.000]  我自己覺得 為什麼你可以這樣呢
[00:01:56.000 --> 00:02:01.000]  你明明知道我在這裡 我們排完隊應該就到我了
[00:02:01.000 --> 00:02:03.000]  為什麼你突然間看到那個女生走過來
[00:02:03.000 --> 00:02:06.000]  你就馬上接受他的命令呢
[00:02:06.000 --> 00:02:09.000]  就在這種情況下 我就很大聲跟他說
[00:02:09.000 --> 00:02:14.000]  我要一杯雪糕 就是這麼多
[00:02:14.000 --> 00:02:20.000]  接著我看到那個女生在旁邊等他的餐的時候
[00:02:20.000 --> 00:02:24.000]  她恍然大悟 突然間她看過來的時候
[00:02:24.000 --> 00:02:26.000]  那個樣子是很有趣的
[00:02:26.000 --> 00:02:29.000]  嘴巴張開 然後兩隻眼睛睜大
[00:02:29.000 --> 00:02:33.000]  一片好像很無辜的樣子 看著我
[00:02:33.000 --> 00:02:39.000]  當時我可以做什麼呢
[00:02:39.000 --> 00:02:42.000]  其實我應該有風度一點
[00:02:42.000 --> 00:02:47.000]  我想我當時應該拿一杯雪糕之後
[00:02:47.000 --> 00:02:52.000]  走到旁邊說 你肯定比我還要餓
[00:02:52.000 --> 00:02:53.000]  不過我沒有這樣做
[00:02:53.000 --> 00:02:56.000]  結果他很快給了我一杯雪糕
[00:02:56.000 --> 00:02:58.000]  我給完錢我已經走了
[00:02:58.000 --> 00:03:03.000]  原來我們人有時候心裡有些鼓噪
[00:03:03.000 --> 00:03:06.000]  有些你覺得不公平
[00:03:06.000 --> 00:03:13.000]  你有些抱怨 有些心裡覺得很不舒服的時候
[00:03:13.000 --> 00:03:18.000]  其實是否需要像燦導行那樣對著鋼
[00:03:18.000 --> 00:03:20.000]  去解決事情呢
[00:03:20.000 --> 00:03:22.000]  其實很多時候都不需要
[00:03:22.000 --> 00:03:25.000]  如果你能夠幽默一點 一笑置之
[00:03:25.000 --> 00:03:27.000]  其實很多事情都可以迎刃而解
[00:03:27.000 --> 00:03:31.000]  我們今天看到這個星期有一個新聞
[00:03:31.000 --> 00:03:35.000]  就講到在公路上一個暴力事件
[00:03:35.000 --> 00:03:37.000]  當時在美國那些高速公路
[00:03:37.000 --> 00:03:40.000]  你知道現在的人開車很凶狠
[00:03:40.000 --> 00:03:44.000]  但是當日有一家人是亞裔人士
[00:03:44.000 --> 00:03:47.000]  那個爸爸載著太太 載著一個很小的女兒
[00:03:47.000 --> 00:03:49.000]  在那輛車裡面
[00:03:49.000 --> 00:03:52.000]  就遇到一班是那些電單車黨的人
[00:03:52.000 --> 00:03:55.000]  他們原來那天去遊行
[00:03:55.000 --> 00:03:57.000]  但是他們沒有向政府申請
[00:03:57.000 --> 00:04:02.000]  那一班人就在公路上橫衝直撞 高速地去
[00:04:02.000 --> 00:04:08.000]  同時警察局其實收到200個市民的投訴
[00:04:08.000 --> 00:04:12.000]  就有一班人在公路上橫衝直撞
[00:04:12.000 --> 00:04:18.000]  當時這輛車就碰到其中一個摩托車的電單車
[00:04:18.000 --> 00:04:21.000]  結果那些電單車黨的人就很憤怒
[00:04:21.000 --> 00:04:25.000]  他們就在公路上追他們九條街
[00:04:25.000 --> 00:04:30.000]  追到進城 死火了 進到城大塞車
[00:04:30.000 --> 00:04:34.000]  那個丈夫的老公當時其實很害怕
[00:04:34.000 --> 00:04:36.000]  他不知道會發生什麼事
[00:04:36.000 --> 00:04:41.000]  他就只能夠打911通知警察 說求救
[00:04:41.000 --> 00:04:43.000]  在這樣的情況下
[00:04:43.000 --> 00:04:45.000]  但是警察還沒來到之前
[00:04:45.000 --> 00:04:47.000]  他們已經追到他了
[00:04:47.000 --> 00:04:49.000]  就是那些電單車黨的人
[00:04:49.000 --> 00:04:53.000]  脫下頭盔就在司機位置打爛他的窗戶
[00:04:53.000 --> 00:04:56.000]  然後硬把司機拉下車
[00:04:56.000 --> 00:04:59.000]  接著就打他
[00:04:59.000 --> 00:05:05.000]  打到司機頭腫臉腫
[00:05:05.000 --> 00:05:07.000]  但不幸中的大幸
[00:05:07.000 --> 00:05:11.000]  這個亞裔人士就送去醫院
[00:05:11.000 --> 00:05:14.000]  到現在應該沒什麼大礙
[00:05:14.000 --> 00:05:18.000]  但是他受了傷 也受了很大的驚恐
[00:05:18.000 --> 00:05:20.000]  如果你是那個司機
[00:05:20.000 --> 00:05:21.000]  你當時的情況
[00:05:21.000 --> 00:05:24.000]  在這樣的情況下你會怎樣做
[00:05:24.000 --> 00:05:28.000]  你會不會站著等他來追你
[00:05:28.000 --> 00:05:33.000]  停下車 接著拉我老婆女兒下來
[00:05:33.000 --> 00:05:35.000]  被他打 當然不會
[00:05:35.000 --> 00:05:38.000]  我想是一個有理性的人
[00:05:38.000 --> 00:05:42.000]  他在當時也會想保護他的家人
[00:05:42.000 --> 00:05:45.000]  我們回看我們今天這個主題的時候
[00:05:45.000 --> 00:05:50.000]  是源自聖本督的回章第四章三十條
[00:05:50.000 --> 00:05:52.000]  他講到忍受困逼
[00:05:52.000 --> 00:05:56.000]  其實他英文的翻譯是forbear grievances
[00:05:56.000 --> 00:05:58.000]  這個困逼他用grievances
[00:05:58.000 --> 00:06:00.000]  你查過字典的話
[00:06:00.000 --> 00:06:05.000]  是表示冤情 委屈 不滿 苦情等等
[00:06:05.000 --> 00:06:09.000]  你看他引用的兩節經文
[00:06:09.000 --> 00:06:12.000]  就是剛才主席帶我們讀過的
[00:06:12.000 --> 00:06:14.000]  第一節經文就是
[00:06:14.000 --> 00:06:16.000]  耶穌在登山補訓所講的
[00:06:16.000 --> 00:06:19.000]  馬太福音五章三十九節
[00:06:19.000 --> 00:06:21.000]  我們先處理一下這一節經文
[00:06:21.000 --> 00:06:26.000]  究竟那個教導的原委是什麼
[00:06:26.000 --> 00:06:27.000]  我們要明白
[00:06:27.000 --> 00:06:29.000]  如果你單看這個經文的時候
[00:06:29.000 --> 00:06:31.000]  你會說究竟是不是那個司機
[00:06:31.000 --> 00:06:34.000]  他應該被他們抓到的時候
[00:06:34.000 --> 00:06:39.000]  不要緊 我下來被他打
[00:06:39.000 --> 00:06:40.000]  是不是呢
[00:06:40.000 --> 00:06:42.000]  還是有另外一個含義
[00:06:42.000 --> 00:06:44.000]  我想那段經文是針對的
[00:06:44.000 --> 00:06:47.000]  耶穌教我們為什麼要這樣做
