
[00:00:00.000 --> 00:00:02.000]  讓姐妹主內平安
[00:00:02.000 --> 00:00:04.400]  在疫情之下
[00:00:04.400 --> 00:00:06.920]  更加是我們能夠把握機會
[00:00:06.920 --> 00:00:09.240]  當人心憂慮的時候
[00:00:09.240 --> 00:00:13.880]  我們將美好的福音傳廣
[00:00:13.880 --> 00:00:15.400]  在預初的時候
[00:00:15.400 --> 00:00:18.880]  我開始為下半年的講壇訊息
[00:00:18.880 --> 00:00:22.040]  在想、在祈禱
[00:00:22.040 --> 00:00:24.120]  求上帝賜我有智慧
[00:00:24.120 --> 00:00:25.840]  知道怎樣去處理
[00:00:25.840 --> 00:00:31.760]  成年人感動有我 覺得我們應該去講出海及記
[00:00:31.760 --> 00:00:34.480]  當時我在想七月
[00:00:34.480 --> 00:00:38.640]  七月的時候疫情都應該會過去 隔了幾個月
[00:00:38.640 --> 00:00:42.040]  我們應該七月的時候會踏上一條新的路程
[00:00:42.040 --> 00:00:43.480]  揭開新的一頁
[00:00:43.480 --> 00:00:47.840]  出海及記應該是最悉切的訊息
[00:00:47.840 --> 00:00:50.600]  但是隨著疫情的持續變化
[00:00:50.600 --> 00:00:54.160]  我們大家都知道 今天的疫情不單止未過去
[00:00:54.160 --> 00:00:56.160]  可能會不斷的反覆
[00:00:56.160 --> 00:00:59.520]  都不知道何時會完結
[00:00:59.520 --> 00:01:01.960]  不過我是在這裡看到
[00:01:01.960 --> 00:01:03.960]  因著疫情的影響
[00:01:03.960 --> 00:01:06.520]  世界已經完全不同了
[00:01:06.520 --> 00:01:08.200]  已經完全的改變
[00:01:08.200 --> 00:01:12.320]  我們不可以好像回到以前那樣
[00:01:12.320 --> 00:01:14.720]  所以擺在我們前面幾條路
[00:01:14.720 --> 00:01:17.560]  仍然是一條嶄新的道路
[00:01:17.560 --> 00:01:19.280]  是一條嶄新的旅程
[00:01:19.280 --> 00:01:23.360]  仍然是我們生命裏面新的一頁
[00:01:23.360 --> 00:01:27.520]  仍然是一個我們未經歷過的情況
[00:01:27.520 --> 00:01:29.480]  因此我相信出海及記
[00:01:29.480 --> 00:01:34.960]  仍然會帶給我們悉切的提醒和教導
[00:01:34.960 --> 00:01:36.760]  從創世紀到出海及記
[00:01:36.760 --> 00:01:39.320]  聖經啟示上帝的本質
[00:01:39.320 --> 00:01:43.120]  是藉著「若」的概念來表達
[00:01:43.120 --> 00:01:47.880]  「若」在聖經裏面的意義就是「應許」
[00:01:47.880 --> 00:01:51.560]  今天在工作上我們需要付出很多代價
[00:01:51.560 --> 00:01:55.280]  我們才可以贏取一些事情回來
[00:01:55.280 --> 00:01:58.800]  就算是朋友之間我們要贏取友誼
[00:01:58.800 --> 00:02:02.560]  可能我們都要放下一些自我
[00:02:02.560 --> 00:02:04.800]  但是「若」剛好是相反
[00:02:04.800 --> 00:02:07.120]  神和他的百姓所立的「若」
[00:02:07.120 --> 00:02:08.720]  所建立的關係
[00:02:08.720 --> 00:02:11.520]  都是源於上帝的恩典
[00:02:11.520 --> 00:02:14.520]  而不是人的功勞
[00:02:14.520 --> 00:02:17.920]  而「若」亦都是出海及記的主題
[00:02:17.920 --> 00:02:19.320]  在每一個場景裏面
[00:02:19.320 --> 00:02:24.080]  我們都看到有「若」這個觀念在當中
[00:02:24.080 --> 00:02:27.480]  昔日神曾經向阿伯拉罕和他的後裔保證
[00:02:27.480 --> 00:02:30.920]  必定會履行這個「若」
[00:02:30.920 --> 00:02:34.680]  現在到了埃及的時候
[00:02:34.680 --> 00:02:38.640]  以色列人在埃及裏面被奴役的時候
