
[00:00:00.000 --> 00:00:05.640]  今日呢個信息嘅主題叫做「唔使驚,耶穌喺大廳」
[00:00:05.640 --> 00:00:10.400]  大家睇呢個插圖呢,可能大家都會知道
[00:00:10.400 --> 00:00:13.200]  或者你睇埋嗰個經文嘅章節
[00:00:13.200 --> 00:00:19.480]  你就會覺得,哦,你係講咩平靜風和海嘅記載呀
[00:00:19.480 --> 00:00:22.080]  我唔知道大家有冇真係試過呢
[00:00:22.080 --> 00:00:25.640]  喺隻船嗰度浪下浪下
[00:00:25.640 --> 00:00:30.240]  然後有好無助咁嘅感覺,我自己就試過
[00:00:30.240 --> 00:00:33.720]  我曾經就同一班朋友去旅行
[00:00:33.720 --> 00:00:38.960]  其中一個嘅節目呢,就係坐船去睇一個嘅景點
[00:00:38.960 --> 00:00:41.960]  我哋之前嗰晚呢,已經做好曬準備㗎啦
[00:00:41.960 --> 00:00:45.320]  我哋已經check過曬天氣報告
[00:00:45.320 --> 00:00:48.040]  天氣報告呢,話天氣係冇問題㗎
[00:00:48.040 --> 00:00:51.080]  之前呢,我哋都做好咗資料嘅搜集
[00:00:51.080 --> 00:00:55.320]  我哋知道邊間船公司係比較安全
[00:00:55.320 --> 00:00:58.280]  亦都係可靠同埋有信譽㗎
[00:00:58.280 --> 00:01:00.240]  當我哋去到嗰間船公司嘅時候呢
[00:01:00.240 --> 00:01:03.720]  我哋見到嗰日呢,會係載我哋出去嘅船長
[00:01:03.720 --> 00:01:08.160]  咁我哋都會問清楚,啊,你有幾多年揸船嘅經驗呀
[00:01:08.160 --> 00:01:10.840]  咁嗰個船長呢,就話我揸咗十幾年㗎啦
[00:01:10.840 --> 00:01:12.640]  所以我哋覺得呢,我哋一齊呢
[00:01:12.640 --> 00:01:16.200]  都已經係預備好同埋準備浸水啦
[00:01:16.200 --> 00:01:19.280]  就當我哋好興奮呢,我哋出海嘅時候呢
[00:01:19.280 --> 00:01:23.440]  去到一半呢,真係天色就突然間變黑
[00:01:23.440 --> 00:01:26.080]  於是呢,我哋開始驚驚仔啦
[00:01:26.080 --> 00:01:29.640]  到到呢,再行咗一段時間嘅時候呢
[00:01:29.640 --> 00:01:33.640]  個船長終於講出咗我哋最唔想聽到嗰句說話
[00:01:33.640 --> 00:01:38.680]  就係話,我諗,我而家要將隻船返轉頭
[00:01:38.680 --> 00:01:40.920]  車返你哋埋岸啦
[00:01:40.920 --> 00:01:43.160]  其實當嗰個船長佢有十幾年嘅經驗
[00:01:43.160 --> 00:01:46.040]  佢同我講話,佢話天氣已經唔能夠嘅時候
[00:01:46.040 --> 00:01:47.680]  其實我心都一沉
[00:01:47.680 --> 00:01:49.880]  但係回程嘅時候,天氣已經變壞啦
[00:01:49.880 --> 00:01:51.520]  又落雨,嗰啲風又起
[00:01:51.520 --> 00:01:53.800]  於是呢,我哋一度浪下浪下
[00:01:53.800 --> 00:01:55.080]  想浪下浪下嘅時候
[00:01:55.080 --> 00:01:57.920]  我哋有個朋友係特別容易暈船浪
[00:01:57.920 --> 00:02:01.720]  於是佢就,啊,我想嘔啊
[00:02:01.720 --> 00:02:06.720]  就喺呢個時候,我哋覺得人點都要做一啲嘢㗎
[00:02:06.720 --> 00:02:08.800]  於是呢,我走去問嗰個船長
[00:02:08.800 --> 00:02:11.200]  嗰個船長話,我哋而家有啲乜嘢可以做啊
[00:02:11.200 --> 00:02:12.920]  嗰個船長話,你而家乜都唔好諗
[00:02:12.920 --> 00:02:16.400]  而家我盡快載返你哋全部人埋岸
[00:02:16.400 --> 00:02:20.280]  但係當嗰啲風繼續打,嗰啲浪繼續搖嘅時候
[00:02:20.280 --> 00:02:23.040]  我嗰個朋友有啲咁嘅時候
[00:02:23.040 --> 00:02:24.480]  我再去問個船長
[00:02:24.480 --> 00:02:27.600]  我同船長話,What can we do?
[00:02:27.600 --> 00:02:30.080]  我船長話,There's nothing you can do
[00:02:30.080 --> 00:02:31.680]  你冇嘢可以做
[00:02:31.680 --> 00:02:34.240]  佢話,I'm taking you back as soon as possible
[00:02:34.240 --> 00:02:37.640]  我而家最快揸返你哋哋嘅埋岸
[00:02:37.640 --> 00:02:39.000]  佢接住就放咗樣嘢
[00:02:39.000 --> 00:02:41.120]  啊,That's one thing you can do
[00:02:41.120 --> 00:02:42.880]  你有樣嘢可以做㗎
[00:02:42.880 --> 00:02:44.440]  咁我話係咩啊?
[00:02:44.440 --> 00:02:46.120]  You can pray
[00:02:46.120 --> 00:02:48.040]  佢哋可以祈禱㗎
[00:02:48.040 --> 00:02:51.000]  我唔知道你冇試過好似呢
[00:02:51.000 --> 00:02:54.000]  經歷頭先嗰個嘅經歷就係有一啲嘢
[00:02:54.000 --> 00:02:56.560]  我哋明明已經做好咗預備
