
[00:00:00.000 --> 00:00:06.160]  歡迎大家參加2019年新年的聯合崇拜
[00:00:06.160 --> 00:00:13.680]  感恩我們有粵語、英語和普通話的弟兄姊妹
[00:00:13.680 --> 00:00:17.360]  一起參加這個聯合崇拜
[00:00:17.360 --> 00:00:20.320]  所以今天大家手上的週刊
[00:00:20.320 --> 00:00:23.520]  我們是有中英對照
[00:00:23.520 --> 00:00:25.120]  我們的PowerPoint
[00:00:25.120 --> 00:00:28.000]  稍後也會是中英對照
[00:00:28.000 --> 00:00:30.320]  並且我們的封面文章
[00:00:30.320 --> 00:00:33.440]  如果你掃描了封面的QR Code
[00:00:33.440 --> 00:00:36.240]  也有英文的翻譯
[00:00:36.240 --> 00:00:41.680]  當然我們最需要感恩的
[00:00:41.680 --> 00:00:45.440]  就是上帝賜下意象給教會
[00:00:45.440 --> 00:00:48.720]  去發展多元文化的事工
[00:00:48.720 --> 00:00:54.080]  我們見到上帝的手怎樣帶領著教會
[00:00:54.720 --> 00:00:58.400]  不單止給我們有新的地方
[00:00:58.400 --> 00:01:03.440]  去舉行普通話崇拜、英語崇拜
[00:01:03.440 --> 00:01:07.600]  更加是從北京、從荷蘭
[00:01:07.600 --> 00:01:12.000]  帶合適的目者來到我們當中
[00:01:12.000 --> 00:01:17.120]  縱然我們有不同語言的崇拜
[00:01:17.120 --> 00:01:20.320]  但是我們是同一間的教會
[00:01:20.320 --> 00:01:23.200]  有著同一個的使命
[00:01:24.000 --> 00:01:26.240]  透過今天的訊息
[00:01:26.240 --> 00:01:30.400]  我盼望我們這個使命群體
[00:01:30.400 --> 00:01:35.520]  是能夠更加明白我們的意象和使命
[00:01:35.520 --> 00:01:43.040]  並且活出我們所領受的使命
[00:01:43.040 --> 00:01:47.040]  讓我們再一次同心低頭禱告
[00:01:47.040 --> 00:01:50.080]  親愛的恩主
[00:01:50.080 --> 00:01:52.480]  在進入2019年
[00:01:52.480 --> 00:01:56.400]  我們每一個都很需要從祢而來
[00:01:56.400 --> 00:01:58.240]  額外的恩典
[00:01:58.240 --> 00:02:01.200]  很需要祢的大靈
[00:02:01.200 --> 00:02:03.680]  求主祢的靈
[00:02:03.680 --> 00:02:09.120]  就是這樣在這一刻掌管我們的心思、意念
[00:02:09.120 --> 00:02:14.400]  讓我們整間教會一同領受主祢的話語
[00:02:14.400 --> 00:02:19.680]  一同領受祢要向我們講的訊息
[00:02:19.680 --> 00:02:22.160]  多謝你聽我們的祈禱
[00:02:22.160 --> 00:02:25.040]  奉耶穌基督的聖名祈求
[00:02:25.040 --> 00:02:26.080]  阿們
[00:02:53.120 --> 00:02:56.080]  在過去的15年
[00:02:56.080 --> 00:03:01.840]  美國教會整體的聚會人數沒有改變
[00:03:01.840 --> 00:03:10.000]  但是美國的人口卻是增加了5200萬
[00:03:10.000 --> 00:03:14.480]  香港我們就靠教會普查
[00:03:14.480 --> 00:03:18.240]  我們就看看崇拜的人數等等
[00:03:18.240 --> 00:03:22.560]  教新他所做的教會普查
[00:03:22.560 --> 00:03:24.960]  在2009年
[00:03:24.960 --> 00:03:34.320]  香港基督徒參加崇拜的人數佔人口是4.2%
[00:03:34.320 --> 00:03:37.760]  每5年做一次的調查
[00:03:37.760 --> 00:03:42.960]  去到2014年仍然是4.2%
[00:03:42.960 --> 00:03:46.480]  就是說沒有增長
[00:03:48.400 --> 00:03:52.720]  隨著科技進步、價值觀的改變
[00:03:52.720 --> 00:03:56.000]  教會是否變得越來越不適切
[00:03:56.000 --> 00:03:59.280]  令人覺得越來越疏離呢?
[00:03:59.280 --> 00:04:02.320]  問題的根源是什麼呢?
[00:04:02.320 --> 00:04:05.680]  當然教會面對的問題很多
[00:04:05.680 --> 00:04:08.800]  但是有這樣的意象
[00:04:08.800 --> 00:04:11.040]  有這樣的情況
[00:04:11.040 --> 00:04:16.960]  我們見到教會的人數普遍來說沒有增長
[00:04:16.960 --> 00:04:18.960]  問題是什麼呢?
[00:04:18.960 --> 00:04:22.160]  在美國的調查裏面
[00:04:22.160 --> 00:04:24.160]  他告訴我們
[00:04:24.160 --> 00:04:27.440]  主要的問題、根本的問題
[00:04:27.440 --> 00:04:33.600]  就是教會的言行不一致
[00:04:33.600 --> 00:04:37.840]  基督徒說福音是上帝的大能
[00:04:37.840 --> 00:04:40.960]  卻不能夠活出福音
[00:04:40.960 --> 00:04:43.920]  基督徒說跟隨耶穌
[00:04:43.920 --> 00:04:46.160]  卻是跟隨這個世界
[00:04:46.160 --> 00:04:50.640]  給人的印象就是說一套做一套
[00:04:50.640 --> 00:04:52.640]  弟兄姊妹
[00:04:52.640 --> 00:04:58.160]  這個調查給我們一個很好的提醒
[00:04:58.160 --> 00:05:02.240]  我們每一個整間的教會
[00:05:02.240 --> 00:05:07.360]  都很需要在上帝面前去反省
[00:05:07.360 --> 00:05:13.440]  究竟我們是否言行一致
[00:05:13.440 --> 00:05:16.800]  啟示錄第二和第三章
[00:05:16.800 --> 00:05:21.760]  記載了基督對七間教會的評語
[00:05:21.760 --> 00:05:24.880]  我就選擇了兩間教會
[00:05:24.880 --> 00:05:29.040]  來看看今天教會面對的問題
[00:05:29.040 --> 00:05:30.800]  我選擇的兩間教會就是
[00:05:30.800 --> 00:05:34.560]  以弗所和魯迪加教會
[00:05:34.560 --> 00:05:39.920]  以弗所教會主要出了什麼問題呢?
[00:05:39.920 --> 00:05:42.240]  剛才我們讀過了
[00:05:42.240 --> 00:05:45.280]  啟示錄的二章四節
[00:05:45.280 --> 00:05:49.040]  主說:然而有一件事我要責備你
[00:05:49.040 --> 00:05:54.800]  就是你把起初的愛心離棄了
[00:05:54.800 --> 00:05:57.920]  什麼是起初的愛呢?
[00:05:57.920 --> 00:06:00.880]  解經家是有不同的看法的
[00:06:00.880 --> 00:06:03.760]  有人認為是對主的愛
[00:06:03.760 --> 00:06:07.440]  有人認為是指弟兄之間的愛
[00:06:07.440 --> 00:06:12.240]  亦有人認為是因著失去對主的愛
[00:06:12.240 --> 00:06:17.440]  而失去了對世人傳福音的心智
[00:06:17.440 --> 00:06:24.480]  這句話是針對以弗所的信徒去說的
[00:06:24.480 --> 00:06:27.280]  我們知道在上一節
[00:06:27.280 --> 00:06:30.880]  即是啟示錄的二章二節
[00:06:30.880 --> 00:06:34.960]  我們見到以弗所的信徒
[00:06:34.960 --> 00:06:40.880]  他們的行為和工作上的表現
[00:06:40.880 --> 00:06:46.800]  在真理的持守上都是非常認真的
[00:06:46.800 --> 00:06:50.960]  所以是值得稱讚的
[00:06:50.960 --> 00:06:56.240]  但是慢慢就以這些行為
[00:06:56.240 --> 00:07:00.400]  代替了剛剛信主的時候
[00:07:00.400 --> 00:07:05.120]  那一種愛神愛人火熱的心
[00:07:05.120 --> 00:07:09.680]  生活就成為一種外表的工作
[00:07:09.680 --> 00:07:12.800]  不再有從裡面而來
[00:07:12.800 --> 00:07:20.080]  從內而外那種生命的火熱的表現
[00:07:20.080 --> 00:07:23.200]  以弗所教會給我們看到
[00:07:23.200 --> 00:07:27.680]  原來基督徒是可以很辛勞
[00:07:27.680 --> 00:07:33.280]  忍耐、犧牲甚至受苦去做很多的事
[00:07:33.280 --> 00:07:38.320]  卻不是因為愛主的緣故
[00:07:38.320 --> 00:07:40.960]  將來見主面的時候
[00:07:40.960 --> 00:07:44.560]  是會被責備的
[00:07:44.560 --> 00:07:46.400]  弟兄姊妹
[00:07:46.400 --> 00:07:50.320]  今天你都可能很熱心的侍奉
[00:07:50.320 --> 00:07:54.720]  但是如果不是因為愛主的緣故
[00:07:54.720 --> 00:07:58.560]  一切都是徒然的
[00:07:58.560 --> 00:08:03.680]  因為上帝是看你的內心
[00:08:03.680 --> 00:08:08.160]  這樣解決的方案是什麼呢?
