
[00:00:00.000 --> 00:00:06.800]  希望每年一度的聖誕佳節
[00:00:06.800 --> 00:00:12.600]  都不單止帶給大家一個歡樂的節慶
[00:00:12.600 --> 00:00:21.600]  更加是一個讓大家去思考耶穌基督降生的一個意義
[00:00:21.600 --> 00:00:27.400]  8月10日大家開始見到教會很多一連串的聖誕裝飾
[00:00:27.400 --> 00:00:33.200]  1到12月大家就看見教會當中有很多的聖誕裝飾
[00:00:33.200 --> 00:00:41.400]  這波一年一度都會出現的聖誕樹都會來跟我們打招呼
[00:00:41.400 --> 00:00:48.000]  無論崇拜或者你行經大街小巷的商場都不停播這些聖誕歌
[00:00:48.000 --> 00:00:53.800]  不管是崇拜或者是大街小巷都不停地去播聖誕歌
[00:00:53.800 --> 00:00:58.200]  周圍都告訴我們不斷提醒我們聖誕節又來了
[00:00:58.200 --> 00:01:01.600]  四周圍都不斷提醒我們聖誕節就來了
[00:01:01.600 --> 00:01:06.400]  有人這樣去提醒基督徒
[00:01:06.400 --> 00:01:11.400]  他說聖誕節真正的意義到底是什麼
[00:01:11.400 --> 00:01:18.600]  今天的聖誕節包裝著很多商業的符號
[00:01:18.600 --> 00:01:25.600]  很多很虛假的歡樂 給人覺得聖誕節是要消費
[00:01:25.600 --> 00:01:32.000]  給人覺得聖誕節是要消費 要吃聖誕大餐 要慶祝
[00:01:32.000 --> 00:01:39.200]  聖誕老人 聖誕樹 聖誕禮物 一連串的東西
[00:01:39.200 --> 00:01:44.800]  甚至有時候在教會裏面都免不了要隨俗
[00:01:44.800 --> 00:01:47.800]  甚至在教會裏面我們都要隨俗
[00:01:47.800 --> 00:01:53.000]  但是如果你真正去了解耶穌降生的晚上
[00:01:53.000 --> 00:01:56.400]  但是如果你要真正去了解耶穌降生的晚上
[00:01:56.400 --> 00:01:59.000]  好像大家想像中那麼歡樂的晚上
[00:01:59.000 --> 00:02:01.800]  那個不是像大家想像中那麼歡樂的晚上
[00:02:01.800 --> 00:02:05.600]  相反是一個很淒涼的晚上
[00:02:05.600 --> 00:02:08.000]  相反是一個很淒涼的晚上
[00:02:08.000 --> 00:02:12.400]  神子耶穌基督降世為人
[00:02:12.400 --> 00:02:16.600]  藉著瑪利亞懷胎十月
[00:02:16.600 --> 00:02:18.600]  即是生在一個馬槽裏面
[00:02:18.600 --> 00:02:20.200]  生在一個馬槽裏面
[00:02:20.200 --> 00:02:23.600]  耶穌的育生父母是住在窮鄉僻壤
[00:02:23.600 --> 00:02:26.200]  這個拿撒勒小鎮的一對年輕夫婦
[00:02:26.200 --> 00:02:32.600]  耶穌的父母是住在一個窮鄉僻壤的一個
[00:02:32.600 --> 00:02:34.200]  拿撒勒的這個地方
[00:02:34.200 --> 00:02:35.200]  拿撒勒
[00:02:35.200 --> 00:02:37.200]  拿撒勒這個地方
[00:02:37.200 --> 00:02:42.200]  突然之間他們要接受一夜之間未婚懷孕
[00:02:42.200 --> 00:02:46.400]  突然間他們要接受一夜之間未婚懷孕
[00:02:46.400 --> 00:02:48.600]  兩個人兩個年輕人
[00:02:48.600 --> 00:02:51.800]  馬上要面對一個所謂婚姻忠誠的問題
[00:02:51.800 --> 00:02:55.400]  兩個年輕人馬上要面對一個婚姻忠誠的一個問題
[00:02:55.400 --> 00:02:57.600]  大家都知道在古代這些小城市
[00:02:57.600 --> 00:02:59.600]  大家都知道在古代這些小城市
[00:02:59.600 --> 00:03:01.200]  所謂人言可畏
[00:03:01.200 --> 00:03:02.600]  所謂人言可畏
