
[00:00:00.000 --> 00:00:01.840]  禮佛手術第三章二十節
[00:00:01.840 --> 00:00:03.040]  我們一同來念來
[00:00:03.040 --> 00:00:06.440]  神能照著運行在我們心裡的大力
[00:00:06.440 --> 00:00:08.800]  充充足足地成就一切
[00:00:08.800 --> 00:00:11.700]  超過我們所求所想的
[00:00:11.700 --> 00:00:13.340]  Amen
[00:00:13.340 --> 00:00:14.340]  今天是母親節
[00:00:14.340 --> 00:00:16.000]  首先讓我在這裡恭賀
[00:00:16.000 --> 00:00:18.540]  在座每一位偉大的母親
[00:00:18.540 --> 00:00:20.500]  母親節非常非常非常快樂
[00:00:20.500 --> 00:00:21.900]  Amen
[00:00:21.900 --> 00:00:24.100]  禮拜今年對我是很特別的
[00:00:24.100 --> 00:00:27.240]  今年是我第一年
[00:00:27.240 --> 00:00:28.840]  母親不在我旁邊
[00:00:28.840 --> 00:00:30.900]  去年年底的時候
[00:00:30.900 --> 00:00:33.700]  母親被神接到天家去
[00:00:33.700 --> 00:00:36.100]  今年真的是母親節
[00:00:36.100 --> 00:00:40.740]  忽然間對母親有一種極大的思念
[00:00:40.740 --> 00:00:42.340]  有的時候過母親節
[00:00:42.340 --> 00:00:45.140]  以前就好像是很習以為常
[00:00:45.140 --> 00:00:47.940]  你送個卡片 吃頓飯
[00:00:47.940 --> 00:00:50.400]  可是當母親不在的時候
[00:00:50.400 --> 00:00:52.100]  忽然真的想到
[00:00:52.100 --> 00:00:54.040]  真的母親在我身上
[00:00:54.040 --> 00:00:57.040]  那個影響 她的愛是何等的偉大
[00:00:57.040 --> 00:01:01.200]  真的遠超過我們所能夠表達
[00:01:01.200 --> 00:01:03.640]  真的想想我們從小到大
[00:01:03.640 --> 00:01:04.600]  直到如今
[00:01:04.600 --> 00:01:06.240]  母親在我們身上的愛
[00:01:06.240 --> 00:01:08.000]  都是永不止息
[00:01:08.000 --> 00:01:09.440]  所以在這裡真的要向
[00:01:09.440 --> 00:01:12.340]  每一位在座的母親
[00:01:12.340 --> 00:01:14.840]  向妳說一聲謝謝妳
[00:01:14.840 --> 00:01:16.840]  我們一起為母親來感謝
[00:01:16.840 --> 00:01:22.440]  我想這是因為你們的愛
[00:01:22.440 --> 00:01:23.640]  讓我們能夠明白
[00:01:23.640 --> 00:01:28.800]  我們上帝的愛是何等長闊高深
[00:01:28.800 --> 00:01:32.340]  有人說在現今的世代要教養兒女
[00:01:32.340 --> 00:01:35.840]  是一件叫人謙卑的功課
[00:01:35.840 --> 00:01:38.440]  我相信在座每一位現代的父母
[00:01:38.440 --> 00:01:40.140]  都會有同感
