
[00:00:00.000 --> 00:00:02.760]  讓我們同心低頭祈禱
[00:00:02.760 --> 00:00:09.060]  上主我們感謝祢
[00:00:09.060 --> 00:00:12.560]  感謝祢去呼喚我們
[00:00:12.560 --> 00:00:15.780]  讓我們能夠成為祢的孩子
[00:00:15.780 --> 00:00:20.100]  我們都知道聖靈時刻內在我們裡面
[00:00:20.100 --> 00:00:23.860]  讓上主祢親自來到我們
[00:00:23.860 --> 00:00:26.740]  透過聖靈的幫助
[00:00:26.740 --> 00:00:30.120]  以致我們能夠明白你幻想中的奧秘
[00:00:30.120 --> 00:00:32.160]  更加成為我們生命的糧
[00:00:32.160 --> 00:00:34.520]  去引帶我們生命每一步
[00:00:34.520 --> 00:00:36.980]  去怎麼去活出你的心意
[00:00:36.980 --> 00:00:40.400]  有願講的和聽的都同蒙祢的月立
[00:00:40.400 --> 00:00:42.580]  祈禱奉主耶穌基督的名求
[00:00:42.580 --> 00:00:43.580]  阿們
[00:00:43.580 --> 00:00:47.600]  很感謝雙禮位兒姊妹
[00:00:47.600 --> 00:00:50.480]  剛才讀出今天很長的經文
[00:00:50.480 --> 00:00:52.840]  不知道這段經文
[00:00:52.840 --> 00:00:58.260]  是否第一次大家去聽、去留意或去讀呢?
[00:00:58.260 --> 00:01:01.740]  當你第一次接觸這段經文時
[00:01:01.740 --> 00:01:04.160]  不知道你有什麼感受呢?
[00:01:04.160 --> 00:01:06.800]  是否很震驚?
[00:01:06.800 --> 00:01:11.580]  抑或是日光之下真的沒有新事?
[00:01:11.580 --> 00:01:16.700]  其實如果我們有留意報章或電視時
[00:01:16.700 --> 00:01:18.680]  我們久不久會知道
[00:01:18.680 --> 00:01:21.140]  啊!聽到一些不好的消息
[00:01:21.140 --> 00:01:24.260]  某位女士、女傭或男孩、女孩
[00:01:24.260 --> 00:01:26.820]  受到性侵犯或強暴
[00:01:26.820 --> 00:01:28.980]  前幾天有報紙告訴我們
[00:01:28.980 --> 00:01:33.800]  一位少年人被外籍傭工連番侵犯
[00:01:33.800 --> 00:01:37.260]  但因為這個小朋友一直不知道發生什麼事
[00:01:37.260 --> 00:01:39.900]  直至到學校教性教育
[00:01:39.900 --> 00:01:42.680]  才知道原來自己一直受到凌辱
[00:01:42.680 --> 00:01:44.820]  看到這些新聞
[00:01:44.820 --> 00:01:48.860]  真的讓我們每位家長不得不提高警覺
[00:01:48.860 --> 00:01:50.620]  因為按照統計
[00:01:50.620 --> 00:01:53.640]  犯事者比較多
[00:01:53.640 --> 00:01:57.980]  竟然是我們身邊相熟、信任的人
[00:01:57.980 --> 00:02:02.880]  而事實上受任何形式的暴力所侵犯最多的
[00:02:02.880 --> 00:02:05.880]  除了小朋友、除了長者
[00:02:05.880 --> 00:02:08.880]  婦女從古至今
[00:02:08.880 --> 00:02:12.780]  往往都是最容易受到暴力所傷害的
[00:02:12.780 --> 00:02:16.460]  今天經文一開始就告訴我們
[00:02:16.460 --> 00:02:19.700]  當以色列沒有王的時候
[00:02:19.700 --> 00:02:22.160]  指的是他們這群以色列人
[00:02:22.160 --> 00:02:24.020]  住在迦南美地之後
[00:02:24.020 --> 00:02:26.820]  領袖約書、離世的一段時期
[00:02:26.820 --> 00:02:29.080]  這一段是很紛亂的時期
[00:02:29.080 --> 00:02:32.060]  各人是按照自己的心意而行
[00:02:32.060 --> 00:02:36.140]  即是說喜歡怎樣做就怎樣做
[00:02:36.140 --> 00:02:39.160]  有一位在以法蓮山區居住的利美人
[00:02:39.160 --> 00:02:41.660]  和他的妾有不和
[00:02:41.660 --> 00:02:44.380]  利美人是上帝的僕人
[00:02:44.380 --> 00:02:46.620]  是十二支派裏面其中一個支派
[00:02:46.620 --> 00:02:52.140]  是被上帝所指定專職侍奉上帝
[00:02:52.140 --> 00:02:54.800]  好像今天的教睦同工
