
[00:00:00.000 --> 00:00:05.600]  好 今天會跟大家一起去分享就是《成王敗寇》
[00:00:05.600 --> 00:00:09.720]  這個部分讓我先分享一下
[00:00:09.720 --> 00:00:15.320]  好 我自己讀聖經的時候越來越深感受
[00:00:15.320 --> 00:00:19.380]  特別是未來這幾章聖經更加給我們很深的體會
[00:00:19.380 --> 00:00:21.780]  原來數千年前的歷史
[00:00:21.780 --> 00:00:25.900]  在現在這個世代裏面可以重複 不斷地出現的
[00:00:25.900 --> 00:00:29.240]  歷史是可以不斷地重複的
[00:00:29.240 --> 00:00:33.100]  今天我們就會來講大衛的兒子阿撒隆
[00:00:33.100 --> 00:00:35.260]  怎樣謀朝篡位
[00:00:35.260 --> 00:00:39.060]  在這個歷史片段裏面
[00:00:39.060 --> 00:00:44.240]  我們看回和今天的社會 今天的世代是很相似的
[00:00:44.240 --> 00:00:46.580]  特別下一次我們更加會看到
[00:00:46.580 --> 00:00:49.840]  我們經常都說 傳道人不要講政治
[00:00:49.840 --> 00:00:54.200]  不要講關於政治的東西 或者甚至參與在當中
[00:00:54.200 --> 00:00:57.900]  下一章我們會更加看到究竟這個是不是真理呢
[00:00:57.900 --> 00:01:04.280]  我們會看到有很多的事情 我們懂得如何鑑古而思今
[00:01:04.280 --> 00:01:07.040]  我們先看《聖皇》
[00:01:07.040 --> 00:01:12.160]  阿撒隆有一個很吸引人的外表
[00:01:12.160 --> 00:01:14.000]  很完美無瑕的
[00:01:14.000 --> 00:01:21.020]  我們來看看《撒姆爾記》第14章 25到27節
[00:01:21.020 --> 00:01:26.320]  以識別傳遞之中 無人像阿撒隆那樣俊美
[00:01:26.320 --> 00:01:30.660]  得人的稱讚 從腳底到頭頂毫無瑕疵
[00:01:30.660 --> 00:01:34.840]  他的頭髮甚重 每到年底剪髮一次
[00:01:34.840 --> 00:01:39.940]  所剪下來的暗黃的平 稱一稱 重二百尺克
[00:01:39.940 --> 00:01:43.360]  阿撒隆生了三個兒子 一個女兒
[00:01:43.360 --> 00:01:47.720]  女兒名叫湯瑪 試過容貌俊美的女子
[00:01:47.720 --> 00:01:55.200]  如果你留意到 聖經對阿撒隆的外表有很清楚的描繪
[00:01:55.200 --> 00:01:59.120]  很少會有這樣的稱讚
[00:01:59.120 --> 00:02:05.680]  他有容貌俊美 而且得到很多人的喜愛
[00:02:05.680 --> 00:02:09.660]  從頭到腳找不到任何的瑕疵
[00:02:09.660 --> 00:02:13.080]  我想如果他現在在這個年代裏面
[00:02:13.080 --> 00:02:15.020]  一定吸引死那些人
[00:02:15.020 --> 00:02:19.600]  你想想我們政府的高官在看《叱咤》的時候
[00:02:19.600 --> 00:02:23.920]  哇 看到他喜歡那個偶像 年輕人而已
[00:02:23.920 --> 00:02:26.260]  都很開心的
[00:02:26.260 --> 00:02:28.720]  你想想 瘋魔了多少人
[00:02:28.720 --> 00:02:32.680]  那些四五十歲或者五十多歲以上的女士
[00:02:32.680 --> 00:02:34.780]  甚至已經結了婚的那些主婦
[00:02:34.780 --> 00:02:40.240]  都很喜歡這些所謂的「姜濤灣」
[00:02:40.240 --> 00:02:42.360]  姜濤很重要 是不是
[00:02:42.360 --> 00:02:46.240]  你想想 如果阿撒隆在現在這個年代裏面
[00:02:46.240 --> 00:02:48.980]  一定會吸引萬千的人
[00:02:48.980 --> 00:02:52.180]  還有 他有一個很完美的家庭
[00:02:52.180 --> 00:02:55.140]  有三個兒子 一個女兒
[00:02:55.140 --> 00:02:59.140]  所以一站出來的時候 一定很有吸引力的
[00:02:59.140 --> 00:03:01.060]  阿撒隆的特別之處是什麼呢
[00:03:01.060 --> 00:03:05.480]  他的頭髮是很多聾耳物
[00:03:05.480 --> 00:03:11.040]  我們現在這個年齡 頭髮就越來越稀少了
[00:03:11.040 --> 00:03:14.180]  我師母就跟我說 你後面都土土地了
[00:03:14.180 --> 00:03:15.840]  我說70歲的人了
[00:03:15.840 --> 00:03:18.580]  已經有這樣的頭髮 已經算不錯了
[00:03:18.580 --> 00:03:22.160]  沒有直髮 沒有戴假髮 是真的
[00:03:22.160 --> 00:03:25.320]  不同的姓梁的那個人就經常戴假髮
[00:03:25.320 --> 00:03:26.620]  戴假髮很難看
[00:03:26.620 --> 00:03:30.460]  好了 他一年只剪一次頭髮
[00:03:30.460 --> 00:03:33.380]  那時候剪了頭髮 那個重量是多少
[00:03:33.380 --> 00:03:35.380]  二百四克
[00:03:35.380 --> 00:03:39.000]  當然等於今天多少磅 有不同的說法
[00:03:39.000 --> 00:03:42.960]  但是很肯定 一定是很厚 很濃
[00:03:42.960 --> 00:03:44.520]  而且很密
[00:03:44.520 --> 00:03:48.080]  甚至可以承受整個人的體重
[00:03:48.080 --> 00:03:49.880]  因為下一次我們就會看到
[00:03:49.880 --> 00:03:53.380]  在《薩博爾記》 第18章的9到10節
[00:03:53.380 --> 00:03:57.220]  就是他的頭髮被掛在這棵樹上
[00:03:57.220 --> 00:04:00.940]  所以他的強項也是他的致命傷
[00:04:00.940 --> 00:04:02.680]  我們稍後會再看
[00:04:02.680 --> 00:04:04.660]  那時候 阿撒隆的死
[00:04:04.660 --> 00:04:07.080]  原來是死在自己的頭髮上
[00:04:07.080 --> 00:04:09.040]  你想想 頭髮是很重要的
[00:04:09.040 --> 00:04:10.560]  特別對於一個男士
[00:04:10.560 --> 00:04:13.060]  很多時候那些廣告
[00:04:13.060 --> 00:04:16.180]  都要很強調說你有很濃密的頭髮
[00:04:16.180 --> 00:04:19.040]  於是就會吸引到別人
[00:04:19.040 --> 00:04:22.000]  好了 阿撒隆有吸引別人的外表
[00:04:22.000 --> 00:04:23.740]  但是不要忘記
[00:04:23.740 --> 00:04:27.540]  他內裡是非常深層的
[00:04:27.540 --> 00:04:28.920]  正如你記不記得
[00:04:28.920 --> 00:04:35.480]  他的親妹妹被同父異母的哥哥強姦了
[00:04:35.480 --> 00:04:37.480]  他很生氣
[00:04:37.480 --> 00:04:40.720]  但是他真的是一個很深藏不露的人
[00:04:40.720 --> 00:04:42.400]  他知道自己那時候
[00:04:42.400 --> 00:04:46.720]  不是適合的時間去對付這個哥哥
[00:04:46.720 --> 00:04:48.720]  沒有足夠的抗衡力
[00:04:48.720 --> 00:04:51.240]  所以他忍 忍
[00:04:51.240 --> 00:04:54.400]  完全沒有表露他的不悅之情
[00:04:54.400 --> 00:04:56.400]  是兩年之後
[00:04:56.400 --> 00:05:00.140]  才試機殺了自己的兄長
[00:05:00.140 --> 00:05:04.060]  大家可以 如果沒有上週三的茶驚
[00:05:04.060 --> 00:05:06.060]  你可以在YouTube上去
[00:05:06.060 --> 00:05:09.060]  講男人心 海底針
[00:05:09.060 --> 00:05:12.060]  講不同的男士他們的心境是怎樣的
[00:05:12.060 --> 00:05:14.060]  所以是很可怕的
[00:05:14.060 --> 00:05:16.060]  有人就說到
[00:05:16.060 --> 00:05:20.860]  阿撒隆是體格無瑕
[00:05:20.860 --> 00:05:23.940]  但是人格是有限的
[00:05:23.940 --> 00:05:29.020]  進超的外表只不過是一個包裝
[00:05:29.020 --> 00:05:32.320]  但是很快就會原形不露
[00:05:32.320 --> 00:05:34.320]  其實我最好心看到
[00:05:34.320 --> 00:05:36.820]  外表就是次要的
[00:05:36.820 --> 00:05:38.820]  不好的外表
[00:05:38.820 --> 00:05:40.820]  但是你有美麗的內在
[00:05:40.820 --> 00:05:43.820]  慢慢慢慢你就會被別人欣賞
[00:05:43.820 --> 00:05:46.820]  接受和讚許
[00:05:46.820 --> 00:05:48.820]  很簡單舉個例子
[00:05:48.820 --> 00:05:50.820]  德能修女她的外表一點都不漂亮
[00:05:50.820 --> 00:05:54.820]  又矮 那個臉是皺皮的
[00:05:54.820 --> 00:05:56.820]  但是你絕對不會覺得她差的
[00:05:56.820 --> 00:05:58.820]  你會覺得很美麗的
[00:05:58.820 --> 00:06:00.820]  因為她有很美麗的內在
[00:06:00.820 --> 00:06:02.820]  好了 反之呢
[00:06:02.820 --> 00:06:04.820]  如果只是有很美麗的外表
[00:06:04.820 --> 00:06:07.820]  但是內裡卻是有缺陷的人格
[00:06:07.820 --> 00:06:10.820]  那時候別人慢慢認識你的時候
[00:06:10.820 --> 00:06:13.820]  只會對你有那個反感
[00:06:13.820 --> 00:06:15.820]  而有缺陷的人格的話
[00:06:15.820 --> 00:06:16.820]  更加可怕地
[00:06:16.820 --> 00:06:18.820]  如果你有權力
[00:06:18.820 --> 00:06:20.820]  你往往就會令到
[00:06:20.820 --> 00:06:22.820]  很多人受害
[00:06:22.820 --> 00:06:24.820]  有多的衝擊
[00:06:24.820 --> 00:06:26.820]  所以完美的外在
[00:06:26.820 --> 00:06:29.820]  不一定人人可以擁有
[00:06:29.820 --> 00:06:31.820]  但是美麗的內在
