
[00:00:00.000 --> 00:00:05.400]  話說有一次一隻小白兔走到森林草原裏面
[00:00:05.400 --> 00:00:08.200]  去到這麼大的草原很開心
[00:00:08.200 --> 00:00:09.800]  到處跑到處跳
[00:00:09.800 --> 00:00:12.000]  跑著跑著跳著跳著
[00:00:12.000 --> 00:00:14.200]  誰知撞到一隻獅子
[00:00:14.200 --> 00:00:17.000]  那隻獅子在那裏午睡
[00:00:17.000 --> 00:00:18.800]  在那裏睡覺
[00:00:18.800 --> 00:00:23.200]  那隻獅子被這隻小白兔弄醒了就很生氣了
[00:00:23.200 --> 00:00:26.000]  一手抱著這隻小白兔
[00:00:26.000 --> 00:00:27.400]  想吃掉它
[00:00:28.000 --> 00:00:31.800]  那隻小白兔馬上就搖命了
[00:00:31.800 --> 00:00:34.800]  馬上說:我沒有心的,我沒有心的,我不想這樣做的
[00:00:34.800 --> 00:00:39.800]  我是開心的頭,所以就打擾了你的睡眠覺
[00:00:39.800 --> 00:00:45.200]  於是獅子就見到這隻小白兔那麼小
[00:00:45.200 --> 00:00:47.600]  一口吞下去了
[00:00:47.600 --> 00:00:49.000]  也不夠厚
[00:00:49.000 --> 00:00:52.200]  於是就說:好,我放過你都可以
[00:00:52.200 --> 00:00:54.400]  你那麼喜歡搞搞震
[00:00:54.400 --> 00:00:55.800]  你搞一下另一隻動物
[00:00:55.800 --> 00:00:57.200]  然後引到過來我那裏
[00:00:57.800 --> 00:01:00.000]  獅子就想:嘩,有另一隻動物的時候
[00:01:00.000 --> 00:01:02.200]  就比較適合吃,比較健碩
[00:01:02.200 --> 00:01:05.000]  兔子就說:OK,沒問題
[00:01:05.000 --> 00:01:08.400]  於是兔子就在那裏搞搞震
[00:01:08.400 --> 00:01:11.000]  一踩到大象那裏
[00:01:11.000 --> 00:01:13.600]  大象看不到牠
[00:01:13.600 --> 00:01:15.200]  馬上就跑到獅子那裏
[00:01:15.200 --> 00:01:17.000]  躲起來
[00:01:17.000 --> 00:01:18.600]  大象就看見獅子
[00:01:18.600 --> 00:01:20.600]  馬上衝過來獅子那裏
[00:01:20.600 --> 00:01:23.000]  哇!獅子一看到大象
[00:01:23.000 --> 00:01:26.000]  不敢吃牠,跑得走不及
[00:01:26.800 --> 00:01:28.800]  這個當然有一個故事
[00:01:28.800 --> 00:01:30.400]  這個故事就在說
[00:01:30.400 --> 00:01:34.000]  不要想那麼多報仇的事情
[00:01:34.000 --> 00:01:38.000]  因為獅子想想
[00:01:38.000 --> 00:01:42.600]  要報仇,大象自己可能是受不了的
[00:01:42.600 --> 00:01:46.200]  剛才這段經文
[00:01:46.200 --> 00:01:49.600]  其實就是舊約的律例裏面
[00:01:49.600 --> 00:01:54.200]  特別耶穌說:以眼還眼,以牙還牙
[00:01:54.200 --> 00:01:56.400]  舊約的律例主要目的
[00:01:56.600 --> 00:02:00.600]  就是針對人在報復的事情裏面
[00:02:00.600 --> 00:02:04.200]  有時會有個過火的態度
[00:02:04.200 --> 00:02:05.600]  太過猖狂
[00:02:05.600 --> 00:02:10.800]  以致可能會傷害到鄧神
[00:02:10.800 --> 00:02:13.800]  於是耶穌就會體會
[00:02:13.800 --> 00:02:17.000]  冤冤相報何時了呢?
[00:02:17.000 --> 00:02:20.800]  最好停止報復為上策
[00:02:20.800 --> 00:02:23.600]  所以今天跟大家去看這段經文
[00:02:24.000 --> 00:02:28.600]  講解解脫報復的枷鎖
[00:02:28.600 --> 00:02:31.000]  包括三方面
[00:02:31.000 --> 00:02:33.800]  第一是消極的法則
