
[00:00:00.000 --> 00:00:03.740]  今天我會用一段我們很熟悉的聖經
[00:00:03.740 --> 00:00:05.440]  就是《馬可福音》第五章
[00:00:05.440 --> 00:00:07.500]  由第一節到第二十節
[00:00:07.500 --> 00:00:11.540]  是說到有一個在格拉森被鬼附的人
[00:00:11.540 --> 00:00:15.180]  耶穌如何將這個被鬼附的人得罪釋放
[00:00:15.180 --> 00:00:17.580]  然後這個人曾經跟耶穌說
[00:00:17.580 --> 00:00:19.980]  他說我想一生跟隨耶穌
[00:00:19.980 --> 00:00:23.340]  耶穌說你不需要跟隨我的約外座的人
[00:00:23.340 --> 00:00:24.540]  但你可以跟隨我
[00:00:24.540 --> 00:00:27.540]  不過你可以繼續在格拉森這個地方
[00:00:27.540 --> 00:00:30.440]  在底加坡這個區域裏面
[00:00:30.440 --> 00:00:33.340]  你繼續宣講上帝耶穌基督
[00:00:33.340 --> 00:00:36.140]  如何將你的生命被轉化
[00:00:36.140 --> 00:00:37.040]  一生
[00:00:37.040 --> 00:00:39.540]  究竟什麼令到我們一生跟隨耶穌
[00:00:39.540 --> 00:00:43.140]  究竟什麼令到我們一生走在神的路
[00:00:43.140 --> 00:00:46.140]  其實有時候我們想我們信耶穌
[00:00:46.140 --> 00:00:47.740]  信耶穌初期的時候
[00:00:47.740 --> 00:00:49.240]  我們可能很熱心
[00:00:49.240 --> 00:00:50.740]  但越信耶穌越久
[00:00:50.740 --> 00:00:53.540]  有時候我們就會變成隔夜油炸鬼
[00:00:53.540 --> 00:00:54.740]  大家明不明白隔夜油炸鬼
[00:00:54.740 --> 00:00:57.740]  有些人的術語就說變成了鹹魚
[00:00:57.740 --> 00:00:59.540]  都是魚不過變成了鹹魚
[00:00:59.540 --> 00:01:01.940]  就是沒有了一個動力
[00:01:01.940 --> 00:01:03.540]  沒有了一個能力
[00:01:03.540 --> 00:01:08.140]  究竟什麼令到我們能夠繼續成為一條生鮮魚
[00:01:08.140 --> 00:01:09.540]  繼續可以走
[00:01:09.540 --> 00:01:12.040]  繼續是脆的一個油炸鬼
[00:01:12.040 --> 00:01:13.140]  弟兄姊妹
[00:01:13.140 --> 00:01:14.340]  我望著一班前輩
[00:01:14.340 --> 00:01:15.740]  他們一生侍奉
[00:01:15.740 --> 00:01:19.140]  我經常都覺得他們那種熱誠
[00:01:19.140 --> 00:01:21.140]  就是因為他們看到上帝
[00:01:21.140 --> 00:01:26.740]  讓他們不斷地在神的路上
[00:01:26.740 --> 00:01:28.140]  他們不斷地愛神
[00:01:28.140 --> 00:01:29.940]  不斷地經歷神的愛
[00:01:29.940 --> 00:01:31.540]  無論他們發生什麼事
[00:01:31.540 --> 00:01:35.740]  他們仍然深信上帝有他們的美意在當中
[00:01:35.740 --> 00:01:36.940]  以致他們幾十年
[00:01:36.940 --> 00:01:40.140]  仍然是帶著上帝給他們的鼓勵
[00:01:40.140 --> 00:01:41.340]  給他們的祝福
[00:01:41.340 --> 00:01:44.540]  他們繼續在神的路上奔跑
[00:01:44.540 --> 00:01:45.740]  弟兄姊妹
[00:01:45.740 --> 00:01:48.140]  一個隔開心被鬼附的人
[00:01:48.140 --> 00:01:49.740]  他生命改變之後
[00:01:49.740 --> 00:01:52.140]  他能夠一生侍奉神
[00:01:52.140 --> 00:01:55.940]  我相信今天你和我都經歷過
[00:01:55.940 --> 00:01:58.340]  耶穌基督在我們生命裡面的轉化
[00:01:58.340 --> 00:01:59.140]  那個改變
[00:01:59.140 --> 00:02:00.140]  弟兄姊妹
[00:02:00.140 --> 00:02:01.340]  我們今天能夠信耶穌
[00:02:01.340 --> 00:02:03.340]  完全都是上帝的恩典
[00:02:03.340 --> 00:02:05.740]  祂策劃祂獨身兒子來到這個世界
[00:02:05.740 --> 00:02:06.940]  為了你、為了我
[00:02:06.940 --> 00:02:09.140]  祂將生命擺在十字架上面
[00:02:09.140 --> 00:02:11.140]  我深信今天我們的生命
[00:02:11.140 --> 00:02:15.140]  是被耶穌的寵駕賣回來
