
[00:00:00.000 --> 00:00:06.700]  蔡同學 原本上禮拜我就已經把這個起訴要講完了
[00:00:06.700 --> 00:00:10.000]  那師母一直在問我 這幾個禮拜她一直在問
[00:00:10.000 --> 00:00:12.800]  起訴錄講完了嗎 起訴錄講完了嗎
[00:00:12.800 --> 00:00:14.500]  她意思就是說 起訴錄講完的話
[00:00:14.500 --> 00:00:16.600]  要不要有一個celebration
[00:00:16.600 --> 00:00:20.600]  就是說可能要唱首哈雷路亞什麼的
[00:00:20.600 --> 00:00:23.800]  我說 其實我一直在想說 講完了嗎
[00:00:23.800 --> 00:00:27.800]  好像覺得講完了 但這個已經講到22章了
[00:00:27.800 --> 00:00:32.800]  但是好像又覺得 好像沒完沒了
[00:00:32.800 --> 00:00:39.200]  那麼最近這個俄羅斯跟烏克蘭的戰爭
[00:00:39.200 --> 00:00:42.600]  我想大家應該都很清楚的看見
[00:00:42.600 --> 00:00:44.200]  這個帶來結果是什麼呢
[00:00:44.200 --> 00:00:50.100]  你大概出去開車的人都會感覺到 怎麼樣
[00:00:50.100 --> 00:00:53.700]  喔 油價 油價高漲啊
[00:00:53.700 --> 00:00:57.700]  我覺得以前在油價到4塊錢的時候
[00:00:57.700 --> 00:01:01.000]  那個時候就覺得說 怎麼這麼高
[00:01:01.000 --> 00:01:05.200]  就期待有一天它會往下降
[00:01:05.200 --> 00:01:07.800]  現在已經要到達6了
[00:01:07.800 --> 00:01:09.900]  有些地方已經是超過6了
[00:01:09.900 --> 00:01:13.900]  但是我們那個地方的 我看到我們那個地方已經是
[00:01:13.900 --> 00:01:17.900]  最便宜的87 已經是接近6 已經就是6了
[00:01:17.900 --> 00:01:20.700]  它5.99就是6嘛 是不是
[00:01:20.700 --> 00:01:27.800]  那其他的如果是這個89的 或者還有什麼91的 那都已經是超過6了
[00:01:27.800 --> 00:01:34.000]  這個油價這個高漲 就讓我想到什麼 你知道嗎
[00:01:34.000 --> 00:01:40.500]  就讓我想到我們曾經講過的 啟示錄第6章的黑馬
[00:01:40.500 --> 00:01:46.200]  好 考考大家 你問一下你旁邊 黑馬是什麼
[00:01:46.200 --> 00:01:53.600]  黑馬是什麼
[00:01:53.600 --> 00:02:00.800]  好 沒關係 我們等一下慢慢來看
[00:02:00.800 --> 00:02:06.500]  我們看見啟示錄裡面 畫了很大的篇幅
[00:02:06.500 --> 00:02:15.400]  講到7印 然後7號 然後7晚 對不對
[00:02:15.400 --> 00:02:17.900]  很大的篇幅
[00:02:17.900 --> 00:02:20.600]  所以大概兩個禮拜前吧
[00:02:20.600 --> 00:02:24.900]  這個師母跟我講說 她在家庭團聚
[00:02:24.900 --> 00:02:26.800]  他們不知道是小組還是怎麼樣
[00:02:26.800 --> 00:02:34.300]  他們要有針對啟示錄做一個總結
[00:02:34.300 --> 00:02:39.300]  我講了兩年 她不知道是5分鐘還是10分鐘
[00:02:39.300 --> 00:02:40.500]  就把它解決了
[00:02:40.500 --> 00:02:44.200]  她就很高興地跟我講 她說 啟示錄
[00:02:44.200 --> 00:02:48.300]  她就跟地獄人民講說 其實什麼奇異性 這些苦難這些東西
[00:02:48.300 --> 00:02:54.600]  這些都不重要 最重要就是你要知道什麼
[00:02:54.600 --> 00:02:59.100]  基督得勝了 最重要就是知道說 主耶穌基督要再來
[00:02:59.100 --> 00:03:01.700]  在基督裡面有盼望
[00:03:01.700 --> 00:03:04.200]  講的也真是對
[00:03:04.200 --> 00:03:12.800]  所以啟示錄裡面講了 畫了這麼大的篇幅
[00:03:12.800 --> 00:03:16.500]  再講到這個災難 那個災難
[00:03:16.500 --> 00:03:20.100]  你看啟示錄的時候 心裡面真是看了這些災難
[00:03:20.100 --> 00:03:23.100]  心裡面很沉 有沒有
[00:03:23.100 --> 00:03:29.600]  但是另外一方面 這些的災難代表的是上帝的審判
[00:03:29.600 --> 00:03:33.400]  那為什麼上帝要審判
[00:03:33.400 --> 00:03:39.900]  因為這個地上充滿了罪惡 是不是
[00:03:39.900 --> 00:03:43.700]  所以親愛的同志們 苦難這件事情
[00:03:43.700 --> 00:03:45.600]  是沒有一個人喜歡的
[00:03:45.600 --> 00:03:53.200]  但它又是你我一生當中 不得不去面對的 是不是
[00:03:53.200 --> 00:03:57.400]  而且在末世裡面你可以看見 從啟示錄我們就可以看見
[00:03:57.400 --> 00:04:04.300]  末世這些的災難 是越來越多 越來越多
[00:04:04.300 --> 00:04:09.800]  所以當我講說 這個啟示錄好像沒完沒了的意思
[00:04:09.800 --> 00:04:14.400]  其實你會發現 不是說今天講完啟示錄之後
[00:04:14.400 --> 00:04:19.600]  那麼就結束了 這個世界就過去了
[00:04:19.600 --> 00:04:25.700]  Hallelujah 新天新地來臨 主耶穌降臨了 Amen
[00:04:25.700 --> 00:04:28.300]  那你在每一天我們的生活當中
[00:04:28.300 --> 00:04:31.600]  結果你發現油價在高漲 是不是
[00:04:31.600 --> 00:04:34.600]  你發現這個戰爭在進行
[00:04:34.600 --> 00:04:39.600]  所以我們再一次的回到啟示錄第六章裡面來看
[00:04:39.600 --> 00:04:43.800]  這些的災難 今天我們這時候來看
[00:04:43.800 --> 00:04:46.600]  你可能會感覺更深刻一點
[00:04:46.600 --> 00:04:51.100]  跟在去年或者前年 講這個的時候
[00:04:51.100 --> 00:04:54.300]  你可能感覺沒有那麼深
[00:04:54.300 --> 00:04:58.000]  我們來看看 在啟示錄這一段聖經裡面
[00:04:58.000 --> 00:04:59.800]  那麼啟示錄這段聖經裡面
[00:04:59.800 --> 00:05:06.800]  今天我們要來對照 耶穌在約翰福音16章33節
[00:05:06.800 --> 00:05:09.200]  我們剛才所讀過的這段經文裡面
[00:05:09.200 --> 00:05:15.900]  他提到說 耶穌說 在世上你們有苦難
[00:05:15.900 --> 00:05:18.100]  在世上你們有苦難
[00:05:18.100 --> 00:05:22.000]  千秋之輩 耶穌講這句話讓我們看見一件事實
[00:05:22.000 --> 00:05:23.600]  就是在這個世上有苦難
[00:05:23.600 --> 00:05:25.400]  耶穌講這句話的時候
[00:05:25.400 --> 00:05:29.300]  是耶穌已經要準備要定十字架了
[00:05:29.300 --> 00:05:32.800]  在耶穌定十字架之前 耶穌告訴他們說
[00:05:32.800 --> 00:05:35.900]  我們最近在約翰福音 讀這個約翰福音
