
[00:00:00.000 --> 00:00:04.000]  各位領子妹,聖誕快樂!新年蒙印!
[00:00:04.000 --> 00:00:07.000]  兄弟姊妹,聖誕快樂!新年快樂!
[00:00:07.000 --> 00:00:08.000]  好像沒有反應
[00:00:08.000 --> 00:00:10.000]  沒有反應
[00:00:10.000 --> 00:00:12.000]  聖誕快樂!新年蒙印!
[00:00:12.000 --> 00:00:13.000]  聖誕快樂!新年蒙印!
[00:00:13.000 --> 00:00:15.000]  可不可以跟你旁邊那個說一聲
[00:00:15.000 --> 00:00:16.000]  聖誕快樂!新年蒙印!
[00:00:16.000 --> 00:00:19.000]  你可以跟鄰居說一聲
[00:00:19.000 --> 00:00:21.000]  很開心今天能夠見到大家一起
[00:00:21.000 --> 00:00:25.000]  來紀念耶穌基督降生對我們的意義
[00:00:25.000 --> 00:00:25.000]  很高興今天能夠見到大家一起
[00:00:25.000 --> 00:00:26.000]  來紀念耶穌基督降生對我們的意義
[00:00:26.000 --> 00:00:26.000]  很高興今天能夠見到大家一起
[00:00:26.000 --> 00:00:27.000]  來紀念耶穌基督降生對我們的意義
[00:00:27.000 --> 00:00:28.000]  很高興今天能夠見到大家一起
[00:00:28.000 --> 00:00:31.000]  來紀念耶穌基督降生對我們的意義
[00:00:31.000 --> 00:00:34.000]  不知道在大家年輕的時候
[00:00:34.000 --> 00:00:38.000]  有沒有做過耶穌出生的畫劇呢?
[00:00:38.000 --> 00:00:39.000]  不知道在大家年輕的時候
[00:00:39.000 --> 00:00:40.000]  有沒有做過耶穌出生的畫劇呢?
[00:00:40.000 --> 00:00:41.000]  不知道在大家年輕的時候
[00:00:41.000 --> 00:00:42.000]  有沒有做過耶穌出生的畫劇呢?
[00:00:42.000 --> 00:00:43.000]  不知道在大家年輕的時候
[00:00:43.000 --> 00:00:44.000]  有沒有做過耶穌出生的畫劇呢?
[00:00:44.000 --> 00:00:47.000]  如果你有,你還記不記得你做過什麼角色?
[00:00:47.000 --> 00:00:48.000]  如果你有,你還記不記得你做過什麼角色?
[00:00:48.000 --> 00:00:49.000]  如果你有,你還記不記得你做過什麼角色?
[00:00:49.000 --> 00:00:50.000]  或者你喜歡什麼角色?
[00:00:50.000 --> 00:00:51.000]  或者你喜歡什麼角色?
[00:00:51.000 --> 00:00:53.000]  或者你喜歡什麼角色?
[00:00:53.000 --> 00:00:56.000]  一般人都喜歡贊助做主角的,對不對?
[00:00:56.000 --> 00:01:00.000]  一般人都喜歡贊助做主角的,對不對?
[00:01:00.000 --> 00:01:01.000]  主角是誰?
[00:01:01.000 --> 00:01:02.000]  主角是誰?
[00:01:02.000 --> 00:01:04.000]  當然是耶穌嬰兒
[00:01:04.000 --> 00:01:06.000]  當然是耶穌嬰兒
[00:01:06.000 --> 00:01:08.000]  不過通常在這個所謂的聖境
[00:01:08.000 --> 00:01:09.000]  不過通常在這個所謂的聖境
[00:01:09.000 --> 00:01:10.000]  這個戲劇裡面
[00:01:10.000 --> 00:01:12.000]  耶穌嬰兒也是一個玩偶
[00:01:12.000 --> 00:01:16.000]  耶穌嬰兒也是一個玩偶
[00:01:16.000 --> 00:01:18.000]  所以沒有人會做那個角色
[00:01:18.000 --> 00:01:20.000]  所以沒有人會做那個角色
[00:01:20.000 --> 00:01:22.000]  通常一般人會贊助做的
[00:01:22.000 --> 00:01:24.000]  就是要做約瑟和瑪利亞
[00:01:24.000 --> 00:01:25.000]  通常一般人會贊助做的
[00:01:25.000 --> 00:01:27.000]  就是要做約瑟和瑪利亞
[00:01:27.000 --> 00:01:28.000]  因為我夠英俊
[00:01:28.000 --> 00:01:29.000]  因為我夠英俊
[00:01:29.000 --> 00:01:31.000]  所以要做約瑟,對不對?
[00:01:31.000 --> 00:01:32.000]  所以要做約瑟,對不對?
[00:01:32.000 --> 00:01:33.000]  所以要做約瑟,對不對?
[00:01:33.000 --> 00:01:34.000]  我很漂亮
[00:01:34.000 --> 00:01:35.000]  我很漂亮
[00:01:35.000 --> 00:01:36.000]  所以要做瑪利亞
[00:01:36.000 --> 00:01:37.000]  所以要做瑪利亞
[00:01:37.000 --> 00:01:38.000]  David和Jonathan都有過去
[00:01:38.000 --> 00:01:39.000]  David和Jonathan都有過去
[00:01:39.000 --> 00:01:40.000]  同一齊讀過一間基督教的幼稚園
[00:01:40.000 --> 00:01:43.000]  同一齊讀過一間基督教的幼稚園
[00:01:43.000 --> 00:01:45.000]  David和Jonathan
[00:01:45.000 --> 00:01:47.000]  他們以前都在一個基督教學校
[00:01:47.000 --> 00:01:48.000]  他們以前都在一個基督教學校
[00:01:48.000 --> 00:01:49.000]  所以每年在聖誕節裡面
[00:01:49.000 --> 00:01:50.000]  所以每年在聖誕節裡面
[00:01:50.000 --> 00:01:51.000]  就會有聖誕節的崇拜
[00:01:51.000 --> 00:01:55.000]  所以每年在聖誕節裡面
[00:01:55.000 --> 00:01:56.000]  就會有聖誕節的崇拜
[00:01:56.000 --> 00:01:58.000]  其中有一個環節是最興奮
[00:01:58.000 --> 00:01:59.000]  其中有一個環節是最興奮
[00:01:59.000 --> 00:02:00.000]  最吸引的就是學生
[00:02:00.000 --> 00:02:01.000]  最吸引的就是學生
[00:02:01.000 --> 00:02:02.000]  去扮演聖景
[00:02:02.000 --> 00:02:03.000]  去扮演聖景
[00:02:03.000 --> 00:02:04.000]  耶穌出世這一幕
[00:02:04.000 --> 00:02:05.000]  去扮演聖景
[00:02:05.000 --> 00:02:06.000]  耶穌出世這一幕
[00:02:06.000 --> 00:02:07.000]  每一年
[00:02:07.000 --> 00:02:08.000]  每一位學生
[00:02:08.000 --> 00:02:09.000]  每一位學生
[00:02:09.000 --> 00:02:10.000]  都會出現
[00:02:10.000 --> 00:02:11.000]  每一位學生
[00:02:11.000 --> 00:02:12.000]  都會出現
[00:02:12.000 --> 00:02:13.000]  跟師母一起看了五年
[00:02:13.000 --> 00:02:14.000]  跟師母一起看了五年
[00:02:14.000 --> 00:02:15.000]  我和師母一起看了五年
[00:02:15.000 --> 00:02:16.000]  我和師母一起看了五年
[00:02:16.000 --> 00:02:17.000]  我和師母一起看了五年
[00:02:17.000 --> 00:02:18.000]  我和師母一起看了五年
[00:02:18.000 --> 00:02:21.000]  最吸引我的 雖然看了五年
[00:02:21.000 --> 00:02:22.000]  最吸引我的 雖然看了五年
[00:02:22.000 --> 00:02:23.000]  最吸引我的 雖然看了五年
[00:02:23.000 --> 00:02:24.000]  最吸引我的 雖然看了五年
[00:02:24.000 --> 00:02:25.000]  最吸引我的 雖然看了五年
[00:02:25.000 --> 00:02:26.000]  最吸引我的 雖然看了五年
[00:02:26.000 --> 00:02:28.000]  最吸引我的角色
[00:02:28.000 --> 00:02:30.000]  其實就不是約瑟和瑪利亞
[00:02:30.000 --> 00:02:31.000]  其實就不是約瑟和瑪利亞
[00:02:31.000 --> 00:02:32.000]  其實就不是約瑟和瑪利亞
[00:02:32.000 --> 00:02:33.000]  其實就不是約瑟和瑪利亞
[00:02:33.000 --> 00:02:34.000]  其實就不是約瑟和瑪利亞
[00:02:34.000 --> 00:02:35.000]  其實就不是約瑟和瑪利亞
[00:02:35.000 --> 00:02:36.000]  你知道為什麼嗎
[00:02:36.000 --> 00:02:37.000]  其實就不是約瑟和瑪利亞
[00:02:37.000 --> 00:02:38.000]  你知道為什麼嗎
[00:02:38.000 --> 00:02:39.000]  因為通常都沒有對白
[00:02:39.000 --> 00:02:40.000]  因為通常都沒有對白
[00:02:40.000 --> 00:02:41.000]  因為通常都沒有對白
[00:02:48.000 --> 00:02:49.000]  反而最吸引我的
[00:02:49.000 --> 00:02:50.000]  反而最吸引我的
[00:02:50.000 --> 00:02:51.000]  是周圍的騎呢啡
