
[00:00:00.000 --> 00:00:06.160]  我很感恩看到你們每一張的面孔
[00:00:06.160 --> 00:00:11.640]  尤其是今天來到當中的長者
[00:00:11.640 --> 00:00:13.160]  今天是敬老主人
[00:00:13.160 --> 00:00:15.960]  八號風球你們要選擇
[00:00:15.960 --> 00:00:18.960]  回到上帝的殿裡面來敬拜
[00:00:18.960 --> 00:00:21.000]  當中除了長者之外
[00:00:21.000 --> 00:00:22.360]  也有小朋友
[00:00:22.360 --> 00:00:26.040]  我知道家長帶著小朋友也很辛苦
[00:00:26.040 --> 00:00:30.760]  還有在肚子裡的小朋友
[00:00:30.760 --> 00:00:33.640]  多謝老公陪著
[00:00:33.640 --> 00:00:38.360]  還有認識的教母同工也在我們當中
[00:00:38.360 --> 00:00:42.040]  所以你們每一個今天坐在這個聖殿裡面
[00:00:42.040 --> 00:00:46.240]  你們也在做一個上帝很喜悅的見證
[00:00:46.240 --> 00:00:51.040]  願主賜福給各位
[00:00:51.040 --> 00:00:53.040]  經過一段時間的禱告
[00:00:53.040 --> 00:00:59.400]  我選用了提摩太後書一章三至七節
[00:00:59.400 --> 00:01:04.960]  作為我第一次在敬老主人宣導的經文
[00:01:04.960 --> 00:01:07.240]  根據聖經學者的研究
[00:01:07.240 --> 00:01:14.040]  當時執政的是大大迫害基督徒的尼祿
[00:01:14.040 --> 00:01:16.120]  年屆六十多歲
[00:01:16.120 --> 00:01:18.480]  因為囚在監裡面
[00:01:18.480 --> 00:01:20.920]  因為傳福音而囚在監裡面的保羅
[00:01:20.920 --> 00:01:24.800]  他正在等候接受審判
[00:01:24.800 --> 00:01:27.760]  並且他已經有心理準備
[00:01:27.760 --> 00:01:30.480]  即將會為主宣導
[00:01:30.480 --> 00:01:33.160]  所以這個時候的保羅寫的這封信
[00:01:33.160 --> 00:01:36.200]  是懷著一個宣導的心情
[00:01:36.200 --> 00:01:42.360]  去寫這封信給他的徒弟提摩太
[00:01:42.360 --> 00:01:44.400]  這個時日無多的師父
[00:01:44.400 --> 00:01:47.720]  他以真誠和迫切的心情
[00:01:47.720 --> 00:01:52.960]  去勸勉、去指導、去堅固徒弟提摩太
[00:01:52.960 --> 00:01:55.480]  今天我們會透過這段經文
[00:01:55.480 --> 00:01:59.600]  一起看看保羅對提摩太的直話
[00:01:59.600 --> 00:02:04.120]  一起領受上帝給我們的提醒和勸勉
[00:02:04.120 --> 00:02:06.000]  以致我們肅靈的生命
[00:02:06.000 --> 00:02:08.440]  能夠因此被造就
[00:02:08.440 --> 00:02:11.880]  活出更具生命力的侍奉
[00:02:11.880 --> 00:02:14.120]  讓我們一起低頭祈禱
[00:02:18.720 --> 00:02:23.120]  聖靈啊 願我們能夠在祢裡面合一
[00:02:23.120 --> 00:02:27.640]  我們需要和祢結連
[00:02:27.640 --> 00:02:33.840]  就如同枝子和葡萄樹結連一樣
[00:02:33.840 --> 00:02:37.600]  因為沒有了祢 我們就不能作神魔
[00:02:37.600 --> 00:02:41.960]  最後求祢幫助孩子
[00:02:41.960 --> 00:02:44.320]  說出祢要我說的話
[00:02:44.320 --> 00:02:46.760]  以致無論聽的、說的
[00:02:46.760 --> 00:02:49.120]  都能夠同德益處
[00:02:49.120 --> 00:02:51.240]  同德美享福分
[00:02:51.240 --> 00:02:52.680]  我們祈禱感恩
[00:02:52.680 --> 00:02:56.080]  直賴救主耶穌基督得聖命致祈求
[00:02:56.080 --> 00:02:58.080]  阿們
[00:02:58.080 --> 00:03:03.240]  雖然說保羅和提摩太是兩師徒
[00:03:03.240 --> 00:03:06.520]  但其實他們彼此之間的關係緊密度
[00:03:06.520 --> 00:03:09.040]  猶如一對父子
[00:03:09.040 --> 00:03:13.360]  而事實上保羅在提摩太前書第一章
[00:03:13.360 --> 00:03:21.080]  他已經稱提摩太為「因信主作我真兒子」的關係
[00:03:21.080 --> 00:03:25.160]  他當提摩太就是他的「真兒子」一樣
[00:03:25.160 --> 00:03:27.160]  這是提摩太前書
[00:03:27.160 --> 00:03:29.160]  而我們今天看的提摩太後書
[00:03:29.160 --> 00:03:32.880]  是保羅臨死之前的一封書信
[00:03:32.880 --> 00:03:36.960]  我們看到原來保羅和提摩太之間的關係
[00:03:36.960 --> 00:03:40.360]  直到最後依然沒有改變
[00:03:40.360 --> 00:03:46.320]  他依然視提摩太為他屬靈的兒子
[00:03:46.320 --> 00:03:47.800]  請大家揭開聖經
[00:03:47.800 --> 00:03:51.440]  我們一起看看今天講到的經文
[00:03:51.440 --> 00:03:57.320]  提摩太後書一章三至四節
[00:03:57.320 --> 00:04:01.800]  我請大家讀讀第三和第四節
[00:04:01.800 --> 00:04:03.280]  預備起
[00:04:03.280 --> 00:04:05.040]  我感謝上帝
[00:04:05.040 --> 00:04:10.840]  就是我接續祖先用純潔的良心所侍奉的上帝
[00:04:10.840 --> 00:04:14.720]  在祈禱中晝夜不停地想念祢
[00:04:14.720 --> 00:04:17.000]  我一想起祢的眼淚
[00:04:17.000 --> 00:04:19.200]  就急切想見祢
[00:04:19.200 --> 00:04:21.960]  好讓我滿心快樂
[00:04:21.960 --> 00:04:26.880]  自從保羅在書信裡的第一二節的問安語之後
[00:04:26.880 --> 00:04:28.880]  在第三節一開始
[00:04:28.880 --> 00:04:31.600]  他就說感謝上帝
[00:04:31.600 --> 00:04:34.360]  究竟他為了什麼感謝上帝呢?
[00:04:34.360 --> 00:04:38.560]  到底什麼原因使得被囚的保羅
[00:04:38.560 --> 00:04:43.480]  依然能夠滿心快樂地感謝上帝呢?
[00:04:43.480 --> 00:04:48.080]  原來保羅是為了他能夠像我一樣
