
[00:00:00.000 --> 00:00:03.200]  弟子們今天又繼續講史詩記
[00:00:03.200 --> 00:00:04.400]  就是《機殿》
[00:00:04.400 --> 00:00:06.400]  《機殿》來到這裏
[00:00:06.400 --> 00:00:11.200]  我覺得《機殿》終於煉成了一個
[00:00:11.200 --> 00:00:14.800]  跟隨神很信服的人
[00:00:14.800 --> 00:00:17.600]  變成有一個很信服的心,而且有信心
[00:00:17.600 --> 00:00:20.400]  看看《生命樹》怎樣跟大家講
[00:00:20.400 --> 00:00:23.600]  聖經人聖經士看到上帝的心意,怎樣做
[00:00:23.600 --> 00:00:27.800]  今天是用手捧著舔水的三百人
[00:00:27.800 --> 00:00:29.800]  有三百人
[00:00:29.800 --> 00:00:33.400]  是用手捧起水來喝的
[00:00:33.400 --> 00:00:39.400]  當然捧起水來舔,舔的舌頭是怎樣舔的呢?
[00:00:39.400 --> 00:00:42.400]  不太清楚,因為捧起水來舔,多數都是這樣喝的
[00:00:42.400 --> 00:00:47.400]  他說捧著舔水,意思就是捧起水來喝
[00:00:47.400 --> 00:00:50.400]  又或者跟機殿說,人還是過多
[00:00:50.400 --> 00:00:52.400]  不是吧?
[00:00:52.400 --> 00:00:57.400]  唉,不如你告訴我,你想要多少人?
[00:00:57.400 --> 00:01:02.400]  叫了,你感動了,我又叫了三萬二千人來
[00:01:02.400 --> 00:01:04.400]  然後你跟他說,誰怕的回去
[00:01:04.400 --> 00:01:08.400]  又來又去,那些人怨我的
[00:01:08.400 --> 00:01:14.400]  好了,然後三萬多人,人多勢好,你又說不好
[00:01:14.400 --> 00:01:17.400]  好,剩下一萬人
[00:01:17.400 --> 00:01:19.400]  一萬人,你竟然說人還是過多
[00:01:19.400 --> 00:01:22.400]  喂,上帝不如你說,你說要多少?
[00:01:22.400 --> 00:01:24.400]  你說要多少人,我就找多少個人
[00:01:24.400 --> 00:01:27.400]  而且你最好說人數多少人
[00:01:27.400 --> 00:01:31.400]  還想他們怎樣的,用刀還是用矛的
[00:01:31.400 --> 00:01:35.400]  跳得多高的,他的身體怎樣的
[00:01:35.400 --> 00:01:37.400]  跑一百公尺要多快的
[00:01:37.400 --> 00:01:40.400]  體力怎樣的,你說完就好了
[00:01:40.400 --> 00:01:44.400]  人還是過多,帶他去水泉旁邊
[00:01:44.400 --> 00:01:47.400]  我會逐個試他
[00:01:47.400 --> 00:01:52.400]  唉,如果我是機殿就只有深呼吸
[00:01:52.400 --> 00:01:54.400]  嘆一口氣,不是吧
[00:01:54.400 --> 00:01:58.400]  你堂堂上帝,你給我名字吧
[00:01:58.400 --> 00:02:02.400]  你就不用叫那些人去喝水,在那裡試
[00:02:02.400 --> 00:02:04.400]  我要在水邊試他
[00:02:04.400 --> 00:02:07.400]  我就會逐個指點你
[00:02:07.400 --> 00:02:10.400]  這個可以去,這個不可以跟你去
[00:02:10.400 --> 00:02:13.400]  我指點誰,這個不可以去
[00:02:13.400 --> 00:02:15.400]  我指點誰,這個可以去
[00:02:15.400 --> 00:02:19.400]  我逐個點,你就給我起個名字叫他就行了
[00:02:19.400 --> 00:02:23.400]  上帝,你這個辦法會不會煩一點
[00:02:23.400 --> 00:02:27.400]  不如一次過,你叫那些人自己分開站
[00:02:27.400 --> 00:02:30.400]  機殿就帶他們走到水邊
[00:02:30.400 --> 00:02:34.400]  神沒這樣做,機殿就神吩咐他
[00:02:34.400 --> 00:02:37.400]  你叫他們喝水,全部人喝水
[00:02:37.400 --> 00:02:41.400]  凡用舌頭舔水,好像狗一樣的
[00:02:41.400 --> 00:02:43.400]  就使他們站在一處
[00:02:43.400 --> 00:02:47.400]  跪下喝水的,要使他們單站在一處
[00:02:47.400 --> 00:02:51.400]  那些是單站在一處,這裡是單站在一處
[00:02:51.400 --> 00:02:54.400]  我講一下,分別人還是太多
[00:02:54.400 --> 00:02:58.400]  現在我要選哪些,用舌頭舔水那些
[00:02:58.400 --> 00:03:04.400]  無論他跪下喝水,都是說
[00:03:04.400 --> 00:03:07.400]  我選哪些呢,我要用舔水的三百人
[00:03:07.400 --> 00:03:11.400]  因此你會發覺到,大家都舔水的
[00:03:11.400 --> 00:03:14.400]  舔的,這麼有趣
[00:03:14.400 --> 00:03:20.400]  舔水,舔就好像狗一樣,喝水
[00:03:20.400 --> 00:03:25.400]  舔舌頭,舔舌頭舔水
[00:03:25.400 --> 00:03:29.400]  好像狗一樣,那些人站在一處
[00:03:29.400 --> 00:03:34.400]  跪下喝,跪下怎麼喝?跪下喝不到,離開水很遠
[00:03:34.400 --> 00:03:40.400]  其實下面就講了,用手捧著舔水的有三百人
[00:03:40.400 --> 00:03:46.400]  其他都跪下喝水,其實應該這樣說
[00:03:46.400 --> 00:03:52.400]  在飲水過程裡面,誰把水放在手上舔上來
[00:03:52.400 --> 00:03:55.400]  然後人不是趴在河邊
[00:03:55.400 --> 00:03:59.400]  而是把水這樣,然後這樣喝呢?
[00:03:59.400 --> 00:04:05.400]  我就選那些,趴下去,好像狗一樣
[00:04:05.400 --> 00:04:07.400]  伸頭下去喝呢?我不選那些
[00:04:07.400 --> 00:04:10.400]  我選那些跪在水邊,或者去到水邊
[00:04:10.400 --> 00:04:14.400]  不過無論如何,他們是把水舀在手上拿上來喝
[00:04:14.400 --> 00:04:17.400]  我就選那些,我就選這些人
[00:04:17.400 --> 00:04:21.400]  這些用手捧著的有三百人
[00:04:21.400 --> 00:04:23.400]  好,這三百人站在一邊
[00:04:23.400 --> 00:04:27.400]  不是的,就這樣趴到水邊這樣
[00:04:27.400 --> 00:04:29.400]  全部又站在另一邊
[00:04:29.400 --> 00:04:32.400]  那些是跪下喝水的
[00:04:32.400 --> 00:04:35.400]  即是跪在水邊,然後人這樣彎身下去
[00:04:35.400 --> 00:04:38.400]  那些去到水邊這樣拿上來喝呢?
[00:04:38.400 --> 00:04:40.400]  那些我就選了
