
[00:00:00.000 --> 00:00:04.320]  今天講題是「殺該,尋回真我」
[00:00:04.320 --> 00:00:06.880]  我們怎樣看自己
[00:00:06.880 --> 00:00:11.040]  以及怎樣認知自己的人生
[00:00:11.040 --> 00:00:13.400]  其實就決定我們的生命是怎樣走
[00:00:13.400 --> 00:00:14.240]  我再講一次
[00:00:14.240 --> 00:00:15.320]  我們的生命是怎樣走
[00:00:15.320 --> 00:00:19.880]  是因為我們怎樣看自己的人生
[00:00:19.880 --> 00:00:22.080]  怎樣認知自己的人生
[00:00:22.080 --> 00:00:24.560]  就會決定我們人生怎樣走
[00:00:24.560 --> 00:00:26.760]  今天我們講「殺該」這個事件
[00:00:26.760 --> 00:00:30.160]  正正是講這個東西
[00:00:30.160 --> 00:00:34.680]  不過開始前當然有些破冰的問題問一下大家
[00:00:34.680 --> 00:00:36.800]  我不知道大家去旅行的時候
[00:00:36.800 --> 00:00:39.600]  有沒有試過在酒店留下一些
[00:00:39.600 --> 00:00:41.600]  忘記拿走的重要東西
[00:00:41.600 --> 00:00:42.560]  有沒有試過?
[00:00:42.560 --> 00:00:44.280]  真的留下了
[00:00:44.280 --> 00:00:46.120]  很多人點頭,有些是零頭
[00:00:46.120 --> 00:00:48.600]  如果你真的試過,check out
[00:00:48.600 --> 00:00:50.800]  哎呀,然後走了,忘記拿走
[00:00:50.800 --> 00:00:51.800]  有沒有人試過這件事?
[00:00:51.800 --> 00:00:57.040]  舉手先,都有20-30%
[00:00:57.040 --> 00:01:01.640]  根據hotel.com在上年做過報告
[00:01:01.640 --> 00:01:05.880]  就研究訪問了400間酒店
[00:01:05.880 --> 00:01:10.120]  搜集資料究竟客人常常留在房間
[00:01:10.120 --> 00:01:12.760]  是包括些什麼,看是不是你留的東西
[00:01:12.760 --> 00:01:17.200]  他就發現很多人留的是尿道,可以俗稱
[00:01:17.200 --> 00:01:19.240]  手機充電器,有沒有人試過?
[00:01:19.240 --> 00:01:21.640]  留下了,真的有
[00:01:21.640 --> 00:01:23.360]  也有變壓器
[00:01:23.360 --> 00:01:25.360]  他說有些人留下了髒衣服
[00:01:25.360 --> 00:01:27.360]  我這樣看其實他不是留下的
[00:01:27.360 --> 00:01:30.560]  是送給你的,他不要搞了,拜拜
[00:01:30.560 --> 00:01:34.320]  有化妝品留下過,也有
[00:01:34.320 --> 00:01:37.760]  也有些是灌洗用品,可能很多人真的留下了
[00:01:37.760 --> 00:01:39.600]  不過這裡也很普遍
[00:01:39.600 --> 00:01:41.480]  待會說一些很特別的東西
[00:01:41.480 --> 00:01:44.400]  我不知道你們有沒有試過留下這麼特別的東西
[00:01:44.400 --> 00:01:47.240]  他說曾經有人留下什麼東西呢?
[00:01:47.240 --> 00:01:49.480]  就是一隻勞力士手錶
[00:01:49.480 --> 00:01:55.560]  嘩,看看旁邊那隻手有沒有手錶
[00:01:55.560 --> 00:02:00.800]  然後越看越有趣,是一輛豪華汽車的車鑰匙
[00:02:00.800 --> 00:02:03.680]  和成交的文件
[00:02:03.680 --> 00:02:05.760]  成交了,忘記拿走
[00:02:05.760 --> 00:02:09.600]  待會你看看,如果你開車來,你的車還在停車場
[00:02:09.600 --> 00:02:12.200]  我昨天說的時候,徐徐說
[00:02:12.200 --> 00:02:14.800]  曾經有人留過車鑰匙在教會
[00:02:14.800 --> 00:02:16.480]  你看看你的椅子有沒有
[00:02:16.480 --> 00:02:20.000]  接著就有趣了,這個你一定沒聽過
[00:02:20.000 --> 00:02:22.200]  我也是剛剛搜集資料聽過
[00:02:22.200 --> 00:02:26.200]  就是有人留了汽車的車輪
[00:02:26.200 --> 00:02:30.440]  這件事真是大整蠱
[00:02:30.440 --> 00:02:32.040]  顯然所思
[00:02:32.040 --> 00:02:36.080]  接著就更奇怪,你看看你兩隻腳有沒有留下
[00:02:36.080 --> 00:02:38.480]  有人留下兩隻腳的石膏
[00:02:38.480 --> 00:02:41.640]  打完石膏留下了,真的很奇怪
