
[00:00:00.000 --> 00:00:03.000]  讓我們一起低頭 再一次有禱告
[00:00:03.000 --> 00:00:07.000]  草必枯幹 花必凋殘
[00:00:07.000 --> 00:00:10.000]  但惟有我們神的話必永遠立定
[00:00:10.000 --> 00:00:14.000]  神今日我們再一次在祖上來到您的面前
[00:00:14.000 --> 00:00:17.000]  謙卑苦服 在聖祭的羔羊面前
[00:00:17.000 --> 00:00:21.000]  願您除去我們心中的雜念
[00:00:21.000 --> 00:00:25.000]  使我們誤會被不同的聲音牽走
[00:00:25.000 --> 00:00:32.000]  叫我們專心一意就像瑪利亞般在您面前聽道
[00:00:32.000 --> 00:00:35.000]  叫我們的心再被打開
[00:00:35.000 --> 00:00:39.000]  容得下您的話而不是人的聲音
[00:00:39.000 --> 00:00:41.000]  我們這樣的禱告
[00:00:41.000 --> 00:00:46.000]  是奉群羊大目者耶穌基督的命求 阿們
[00:00:46.000 --> 00:00:51.000]  他的名字叫多瑪金碧斯 Thomas of Cambus
[00:00:51.000 --> 00:00:54.000]  在十四世紀的時候
[00:00:54.000 --> 00:00:58.000]  他生活在一個奧古斯丁修院裡面
[00:00:58.000 --> 00:01:01.000]  一個叫共同生活弟兄會
[00:01:01.000 --> 00:01:04.000]  三大守則是他們的操練
[00:01:04.000 --> 00:01:07.000]  就是作為一個天主教徒 基督徒
[00:01:07.000 --> 00:01:10.000]  他說我們是要安貧
[00:01:10.000 --> 00:01:14.000]  安於現狀 貧窮當中仍然樂得逍遙
[00:01:14.000 --> 00:01:18.000]  第二 我們要過一個簡樸的人生
[00:01:18.000 --> 00:01:21.000]  不要將事情複雜化
[00:01:21.000 --> 00:01:25.000]  反而越清簡我們更加能夠感受到生命的可貴
[00:01:25.000 --> 00:01:30.000]  第三 我們要服從上帝在這個黑暗的世代
[00:01:30.000 --> 00:01:34.000]  要做一個真正見證主的人
[00:01:34.000 --> 00:01:38.000]  這個修士和他的弟兄都表達了
[00:01:38.000 --> 00:01:42.000]  當時十四世紀是一個政治混亂 教廷腐敗
