
[00:00:00.000 --> 00:00:02.000]  各位頂英姐妹早安
[00:00:02.000 --> 00:00:05.000]  本來今天是教會的堂慶崇拜
[00:00:05.000 --> 00:00:09.000]  我選擇了獵王紀相
[00:00:09.000 --> 00:00:16.000]  一段講上帝保存一個群體
[00:00:16.000 --> 00:00:18.000]  鼓勵我們頂英姐妹
[00:00:18.000 --> 00:00:21.000]  如何在這個不信的世代裏作見證
[00:00:21.000 --> 00:00:23.000]  大家思前想後
[00:00:23.000 --> 00:00:25.000]  想起近期發生的事
[00:00:25.000 --> 00:00:27.000]  如果我不講的時候好像跟自己
[00:00:27.000 --> 00:00:30.000]  我的講道跟我的生活跟我的生命很割裂
[00:00:30.000 --> 00:00:32.000]  我相信有部份人知道
[00:00:32.000 --> 00:00:35.000]  兩個月前我姐姐因乳癌病逝
[00:00:35.000 --> 00:00:39.000]  上星期四我二嫂因為心臟病發
[00:00:39.000 --> 00:00:41.000]  在街上暈倒
[00:00:41.000 --> 00:00:45.000]  她搶救之後延了一日就安息主懷
[00:00:45.000 --> 00:00:48.000]  連續兩個月痛失家人
[00:00:48.000 --> 00:00:50.000]  其實真的很難受
[00:00:50.000 --> 00:00:52.000]  心很痛
[00:00:52.000 --> 00:00:56.000]  想起我們七月一起去旅行
[00:00:56.000 --> 00:00:58.000]  是去年一家人
[00:00:58.000 --> 00:01:00.000]  十三個鴨子團
[00:01:00.000 --> 00:01:02.000]  沒有跟團自己去
[00:01:02.000 --> 00:01:04.000]  姪女今天有五堂
[00:01:04.000 --> 00:01:06.000]  姐姐她媽媽我二嫂
[00:01:06.000 --> 00:01:09.000]  在兩個月裏就翻天覆地
[00:01:09.000 --> 00:01:11.000]  很不捨得
[00:01:11.000 --> 00:01:15.000]  這篇信息我沒有在命恩堂講過
[00:01:15.000 --> 00:01:16.000]  在七月的時候
[00:01:16.000 --> 00:01:17.000]  當二嫂在醫院
[00:01:17.000 --> 00:01:19.000]  我應邀去拿打掃
[00:01:19.000 --> 00:01:21.000]  他們有五間崇拜和病人
[00:01:21.000 --> 00:01:25.000]  還有醫院裏的同工
[00:01:25.000 --> 00:01:28.000]  去分享主所愛的人病療
[00:01:28.000 --> 00:01:30.000]  這段信息
[00:01:30.000 --> 00:01:32.000]  上星期沒有想過
[00:01:32.000 --> 00:01:34.000]  在命恩堂講甚麼好呢
[00:01:34.000 --> 00:01:38.000]  我記得他們會有一個家庭
[00:01:38.000 --> 00:01:41.000]  有一位女兒
[00:01:41.000 --> 00:01:43.000]  她突然離世
[00:01:43.000 --> 00:01:45.000]  我就想起
[00:01:45.000 --> 00:01:47.000]  用這段經文去鼓勵他們
[00:01:47.000 --> 00:01:50.000]  沒有想過上帝要透過這段經文
[00:01:50.000 --> 00:01:52.000]  跟我說話
[00:01:52.000 --> 00:01:54.000]  所以我也很想用這段經文
[00:01:54.000 --> 00:01:57.000]  跟頂姊妹來分享
[00:01:57.000 --> 00:02:00.000]  我們在面對家人
[00:02:00.000 --> 00:02:03.000]  或者面對自己有病的時候
[00:02:03.000 --> 00:02:05.000]  我們所經歷的上帝
[00:02:05.000 --> 00:02:07.000]  是一個怎樣的上帝
[00:02:07.000 --> 00:02:08.000]  頂姊妹不知道你
[00:02:08.000 --> 00:02:11.000]  因為甚麼原因信主呢
[00:02:11.000 --> 00:02:13.000]  你因為甚麼原因信主呢
[00:02:13.000 --> 00:02:14.000]  以我所知
[00:02:14.000 --> 00:02:16.000]  有不少的人
[00:02:16.000 --> 00:02:18.000]  是帶著民間宗教信仰的心態
[00:02:18.000 --> 00:02:20.000]  來對信主
[00:02:20.000 --> 00:02:22.000]  或者帶著民間宗教信仰的心態
[00:02:22.000 --> 00:02:23.000]  來對回教會
[00:02:23.000 --> 00:02:24.000]  即是怎樣呢
[00:02:24.000 --> 00:02:27.000]  民間宗教信仰有幾個特點
[00:02:27.000 --> 00:02:29.000]  就是尋求心靈安穩
[00:02:29.000 --> 00:02:31.000]  趨吉避凶
[00:02:31.000 --> 00:02:33.000]  福蔭加澤
[00:02:33.000 --> 00:02:35.000]  就是你信耶穌
[00:02:35.000 --> 00:02:37.000]  你遇到困難的時候
[00:02:37.000 --> 00:02:39.000]  可以祈禱
[00:02:39.000 --> 00:02:40.000]  主耶穌會聽你的祈禱
[00:02:40.000 --> 00:02:42.000]  我們的天父會聽你的祈禱
[00:02:42.000 --> 00:02:43.000]  祂會幫助你的
[00:02:43.000 --> 00:02:44.000]  信耶穌很好
[00:02:44.000 --> 00:02:45.000]  你會得到祝福
[00:02:45.000 --> 00:02:47.000]  你的家人會有平安
[00:02:47.000 --> 00:02:48.000]  你遇到困難的時候
[00:02:48.000 --> 00:02:50.000]  就是這樣的來祈禱
[00:02:50.000 --> 00:02:56.000]  我不是說我們帶著這些心態來教會是錯
[00:02:56.000 --> 00:02:59.000]  或者我說這些都是一個信仰的起點
[00:02:59.000 --> 00:03:01.000]  但如果我們永遠都停留在這個起點
[00:03:01.000 --> 00:03:03.000]  每一次來到教會
[00:03:03.000 --> 00:03:05.000]  或者我們每一次人生的際遇
[00:03:05.000 --> 00:03:07.000]  我一想起就是我要心靈得安穩
