
[00:00:00.000 --> 00:00:01.280]  領子們午安
[00:00:01.280 --> 00:00:09.020]  過去幾個星期我們用了三次的時間
[00:00:09.020 --> 00:00:12.200]  去跟大家分享希臘書的第十一章
[00:00:12.200 --> 00:00:18.360]  在這個信心英雄榜的結尾
[00:00:18.360 --> 00:00:21.220]  即是第四十節
[00:00:21.220 --> 00:00:23.840]  那裡作者是這麼說的
[00:00:23.840 --> 00:00:27.340]  因為神給我們預備了更美的事
[00:00:27.600 --> 00:00:32.320]  「叫他們若不與我們同德,就不能完全」
[00:00:32.320 --> 00:00:38.040]  當時作者是用了第三人稱
[00:00:38.040 --> 00:00:40.720]  是在說「他們」
[00:00:40.720 --> 00:00:45.000]  幫助我們回顧這個歷史
[00:00:45.000 --> 00:00:48.200]  接著去到第十二章
[00:00:48.200 --> 00:00:49.920]  如果稍後大家有留意
[00:00:49.920 --> 00:00:54.720]  他就將那個焦點由「他們」變成「我們」
[00:00:55.560 --> 00:00:59.520]  即是說要讀者去回應
[00:00:59.520 --> 00:01:06.760]  將我們的焦點放在我們信仰歷程的終點位置
[00:01:06.760 --> 00:01:14.040]  究竟我們怎樣才能夠好好地去跑完我們的人生歷程呢?
[00:01:14.040 --> 00:01:18.440]  今天我要跟大家分享的經文很短
[00:01:18.440 --> 00:01:19.920]  只有三節
[00:01:19.920 --> 00:01:23.560]  第十二章的第一至第三節
[00:01:23.800 --> 00:01:28.200]  我想請大家和我一起讀出這三節的經文
[00:01:28.200 --> 00:01:29.720]  預備起
[00:01:29.720 --> 00:01:33.080]  我們既有者許多的見證人
[00:01:33.080 --> 00:01:35.680]  如同雲彩圍著我們
[00:01:35.680 --> 00:01:38.720]  就當放下各樣的重擔
[00:01:38.720 --> 00:01:41.840]  脫去容易纏累我們的罪
[00:01:41.840 --> 00:01:43.480]  全心忍耐
[00:01:43.480 --> 00:01:47.000]  不那擺在我們前頭的路程
[00:01:47.000 --> 00:01:52.000]  仰望為我們信心創始成中的耶穌
[00:01:52.280 --> 00:01:55.440]  他因那擺在前面的起落
[00:01:55.440 --> 00:01:57.360]  就輕看羞辱
[00:01:57.360 --> 00:02:00.200]  忍受了十字架的苦難
[00:02:00.200 --> 00:02:03.160]  便坐在神寶座的右邊
[00:02:03.160 --> 00:02:06.760]  那忍受罪人這樣頂撞的
[00:02:06.760 --> 00:02:08.720]  你們要思想
[00:02:08.720 --> 00:02:11.000]  免得疲倦灰心
[00:02:11.000 --> 00:02:14.880]  在開始分享這段經文之先
[00:02:14.880 --> 00:02:17.520]  我想請陰控幫我一個忙
[00:02:17.520 --> 00:02:21.560]  就是播放一段最近很近的八月份
[00:02:21.760 --> 00:02:24.200]  當時在德國慕尼克
[00:02:24.200 --> 00:02:27.960]  舉行了一個歐洲田徑錦標賽
[00:02:27.960 --> 00:02:32.600]  這場賽事是四乘一百女子接力賽
[00:02:32.600 --> 00:02:36.240]  給大家看一段很短的短片,好嗎?
[00:02:36.240 --> 00:02:37.120]  謝謝
[00:02:52.760 --> 00:02:54.520]  如果你夠眼力的話
[00:02:54.520 --> 00:02:57.240]  可能你便會看到發生了甚麼事
[00:02:57.240 --> 00:03:04.480]  如果你看不到,再看清楚一點,好嗎?
[00:03:04.480 --> 00:03:09.240]  看你能否拍到出現了一個突發的詛咒
[00:03:09.240 --> 00:03:17.800]  如果你還看不到的話
[00:03:17.800 --> 00:03:21.560]  請你留意,一會兒有兩個運動員
[00:03:21.760 --> 00:03:26.320]  穿著紫色背心,黃色的運動鞋的兩位
[00:03:26.320 --> 00:03:38.920]  看不看到甚麼事?
[00:03:38.920 --> 00:03:43.000]  看不看到?都是好眼花,是嗎?
[00:03:43.000 --> 00:03:49.920]  在這裡,原來他們將那支棒跌了在地上
