
[00:00:00.000 --> 00:00:02.380]  各位大英姐妹,早安!
[00:00:02.380 --> 00:00:06.880]  很開心聽到大家很精神的回應
[00:00:06.880 --> 00:00:12.180]  今天就跟大家一起分享這個講道的題目
[00:00:12.180 --> 00:00:15.100]  在基督裡建造聖殿
[00:00:15.100 --> 00:00:16.780]  大家都應該知道
[00:00:16.780 --> 00:00:19.580]  我們在120週年的時候
[00:00:19.580 --> 00:00:22.480]  我們透過教會所認定的
[00:00:22.480 --> 00:00:26.080]  有五個我們信徒的標記
[00:00:26.080 --> 00:00:28.880]  一起去反覆思考
[00:00:28.880 --> 00:00:32.680]  究竟我們在當代的時間裡
[00:00:32.680 --> 00:00:34.180]  我們的身份
[00:00:34.180 --> 00:00:35.880]  我們的工作
[00:00:35.880 --> 00:00:38.080]  我們在主裡面的領袖
[00:00:38.080 --> 00:00:39.680]  應該是怎麼樣的
[00:00:39.680 --> 00:00:42.280]  我們已經經歷了一段時間
[00:00:42.280 --> 00:00:48.580]  我們現在就進入到活石靈宮的主題當中
[00:00:48.580 --> 00:00:54.380]  今天我就會嘗試在這個大的框架裡面
[00:00:54.380 --> 00:00:59.480]  去跟大家一起想想在基督裡面建造聖殿的意思
[00:00:59.480 --> 00:01:03.280]  總共我會有三個段落
[00:01:03.280 --> 00:01:04.880]  殿的根基
[00:01:04.880 --> 00:01:07.680]  神的靈在殿當中
[00:01:07.680 --> 00:01:09.680]  以及殿的使命
[00:01:09.680 --> 00:01:14.880]  不過我們要進入到這個討論當中的時候
[00:01:14.880 --> 00:01:17.080]  我都希望你們都明白到
[00:01:17.080 --> 00:01:23.880]  我心裡面覺得這個題目的張力和困難所在
[00:01:23.880 --> 00:01:25.080]  在哪裡
[00:01:25.080 --> 00:01:26.980]  因為大家都會留意到
[00:01:26.980 --> 00:01:28.580]  在舊約的時期
[00:01:28.580 --> 00:01:30.480]  神就是藉著約季
[00:01:30.480 --> 00:01:31.680]  會幕
[00:01:31.680 --> 00:01:36.480]  或者甚至他讓所羅門建造聖殿
[00:01:36.480 --> 00:01:44.480]  去表達他願意與他創造的世人同在
[00:01:44.480 --> 00:01:46.780]  同時我們又留意到
[00:01:46.780 --> 00:01:50.080]  因為人犯罪的緣故
[00:01:50.080 --> 00:01:53.080]  任何所有的物質
[00:01:53.080 --> 00:01:55.680]  要象徵去代表神
[00:01:55.680 --> 00:01:59.180]  都不會帶來我們救贖
[00:01:59.180 --> 00:02:02.380]  我們都不能夠藉著那些物質
[00:02:02.380 --> 00:02:05.780]  得到生命的改變
[00:02:05.780 --> 00:02:08.380]  更加我們會看到
[00:02:08.380 --> 00:02:10.780]  神在歷史當中
[00:02:10.780 --> 00:02:15.880]  讓那些人怎樣去拆毀聖殿
[00:02:15.880 --> 00:02:17.680]  今天我們都見不到
[00:02:17.680 --> 00:02:22.080]  過去所羅門所建造的聖殿
[00:02:22.080 --> 00:02:25.880]  神彷彿要告訴我們
[00:02:25.880 --> 00:02:30.280]  這個物質究竟重要些
[00:02:30.280 --> 00:02:33.780]  還是祂自己重要些
[00:02:33.780 --> 00:02:35.380]  所以當我們去說
[00:02:35.380 --> 00:02:38.280]  基督裡面建造聖殿
[00:02:38.280 --> 00:02:39.780]  我們就要問
[00:02:39.780 --> 00:02:42.880]  究竟這個殿是物質的殿
[00:02:42.880 --> 00:02:45.980]  還是神自己重要些
[00:02:45.980 --> 00:02:51.180]  所以我們要值得去抓緊這個主題
[00:02:51.180 --> 00:02:53.380]  記得上星期
[00:02:53.380 --> 00:02:57.380]  洛桑傳道跟大家說到
[00:02:57.380 --> 00:03:00.280]  耶穌潔淨聖殿
[00:03:00.280 --> 00:03:05.080]  耶穌稱呼當時的聖殿是什麼地方
[00:03:05.080 --> 00:03:06.380]  「賊窩」
[00:03:06.380 --> 00:03:08.480]  大家真的很有聽度
[00:03:08.480 --> 00:03:10.580]  我很安慰
[00:03:10.580 --> 00:03:11.980]  但是記得
[00:03:11.980 --> 00:03:14.080]  初代教會的時候
[00:03:14.080 --> 00:03:18.280]  保羅曾經這樣去問候教會
[00:03:18.280 --> 00:03:19.280]  他怎麼寫呢?
[00:03:19.280 --> 00:03:21.580]  無論在羅馬書的結尾
[00:03:21.580 --> 00:03:23.180]  或者在哥羅西書
[00:03:23.180 --> 00:03:24.680]  他都曾經這樣寫
[00:03:24.680 --> 00:03:25.880]  他說問候
[00:03:25.880 --> 00:03:28.580]  多數就是問候一些人
[00:03:28.580 --> 00:03:32.180]  家中教會安
[00:03:32.180 --> 00:03:34.980]  這句話很清楚告訴我們
[00:03:34.980 --> 00:03:38.080]  就是說當這群聖徒
[00:03:38.080 --> 00:03:42.680]  這群門徒進入到家庭裡面的時候
[00:03:42.680 --> 00:03:45.080]  那個家庭就變成了什麼?
[00:03:45.080 --> 00:03:46.980]  變成了教會
[00:03:46.980 --> 00:03:48.980]  我們不禁要問
[00:03:48.980 --> 00:03:56.980]  究竟是地點重要還是信徒重要?
[00:03:56.980 --> 00:03:59.080]  這個很值得我們思考
[00:03:59.080 --> 00:04:04.680]  原來哪裡有真心相信耶穌基督的人
[00:04:04.680 --> 00:04:09.380]  他們奉耶穌基督的名去聚會的時候
[00:04:09.380 --> 00:04:13.580]  那裡就成為了教會
[00:04:13.580 --> 00:04:18.780]  不是驅離在耶路撒冷的聖殿裡面
[00:04:18.780 --> 00:04:20.680]  所以當我們去說
[00:04:20.680 --> 00:04:24.380]  在基督裡面建造的聖殿
[00:04:24.380 --> 00:04:26.580]  我們有很多的向度
[00:04:26.580 --> 00:04:28.480]  我們需要去思考
[00:04:28.480 --> 00:04:31.080]  又或者我們要持定
[00:04:31.080 --> 00:04:33.980]  我們今天心裡面的價值觀
[00:04:33.980 --> 00:04:35.180]  如果你覺得
[00:04:35.180 --> 00:04:36.980]  真是神比較重要
[00:04:36.980 --> 00:04:39.980]  又或者那群信徒比較重要的話
[00:04:39.980 --> 00:04:41.480]  我們就要思考
[00:04:41.480 --> 00:04:42.880]  在將來裡面
[00:04:42.880 --> 00:04:45.580]  如果我們要做抉擇的時候
[00:04:45.580 --> 00:04:48.280]  我們怎麼去選擇
[00:04:48.280 --> 00:04:52.580]  在一個這樣糾結的框架裡面的時候
[00:04:52.580 --> 00:04:56.080]  我就進入我原先要和大家說的
[00:04:56.080 --> 00:04:57.580]  那三個範疇
[00:04:57.580 --> 00:05:00.780]  我先進入到殿的根基
[00:05:00.780 --> 00:05:05.480]  今天會選了幾段經文和大家一起分享
[00:05:05.480 --> 00:05:07.080]  而當中裡面
[00:05:07.080 --> 00:05:10.680]  我刻意用了新譯本
[00:05:10.680 --> 00:05:13.580]  希望給一些新鮮感給大家
[00:05:13.580 --> 00:05:15.180]  也希望大家
[00:05:15.180 --> 00:05:18.280]  不但聽到的時候看了聖經
[00:05:18.280 --> 00:05:21.780]  你可以拿了崇拜的程序
[00:05:21.780 --> 00:05:23.380]  你回到家的時候
[00:05:23.380 --> 00:05:25.580]  你又可以看看和合本
[00:05:25.580 --> 00:05:26.780]  也可以
[00:05:26.780 --> 00:05:31.080]  如果你參加教會的小組聚會的話
