
[00:00:00.000 --> 00:00:01.800]  讓我們一起來讀一段經文
[00:00:01.800 --> 00:00:05.480]  是在《以佛所書》二章十節
[00:00:05.480 --> 00:00:07.440]  我們一起來念 來
[00:00:07.440 --> 00:00:10.280]  我們原是他的工作
[00:00:10.280 --> 00:00:12.880]  在基督耶穌裡造成的
[00:00:12.880 --> 00:00:14.960]  為要叫我們行善
[00:00:14.960 --> 00:00:18.520]  就是神所預備叫我們行的
[00:00:18.520 --> 00:00:19.360]  那我們也來
[00:00:19.360 --> 00:00:20.680]  因為這個下週
[00:00:20.680 --> 00:00:23.680]  《環球聖經》一本就要來到灣區了
[00:00:23.680 --> 00:00:25.040]  我們也一起來讀一下
[00:00:25.040 --> 00:00:27.360]  《環球聖經》一本的《以佛所書》二章十節
[00:00:27.360 --> 00:00:28.800]  一起來
[00:00:28.800 --> 00:00:31.640]  事實上我們是神的作品
[00:00:31.640 --> 00:00:34.800]  是他在基督耶穌裡創造的
[00:00:34.800 --> 00:00:36.480]  為要我們做神
[00:00:36.480 --> 00:00:41.880]  早已預備好要我們做的各樣善工
[00:00:41.880 --> 00:00:44.760]  今天是感恩節長週末的最後一天
[00:00:44.760 --> 00:00:46.480]  不知道大家在這週末
[00:00:46.480 --> 00:00:48.080]  有沒有去哪裡走走
[00:00:48.080 --> 00:00:50.360]  或是在昨天 前天
[00:00:50.360 --> 00:00:53.880]  有沒有血拼到什麼好的一些deals
[00:00:53.880 --> 00:00:54.840]  如果在網路上朋友
[00:00:54.840 --> 00:00:56.960]  你可以打字跟我們分享一下
[00:00:56.960 --> 00:01:00.360]  在現場的就請專心聽到
[00:01:00.360 --> 00:01:02.080]  你看我今天一身裝扮
[00:01:02.080 --> 00:01:04.320]  可能就說 哇 亞神牧師今天
[00:01:04.320 --> 00:01:06.560]  是從哪裡剛回來
[00:01:06.560 --> 00:01:07.720]  事實上過去兩週
[00:01:07.720 --> 00:01:11.440]  我很榮幸的有機會去拜訪兩個不同的分堂
[00:01:11.440 --> 00:01:13.120]  第一個是在Iowa的
[00:01:13.120 --> 00:01:14.440]  Cedar Rapids的一個教會
[00:01:14.440 --> 00:01:18.400]  叫做Shakina Glory Christian Church
[00:01:18.400 --> 00:01:19.720]  我們來看一下照片
[00:01:19.720 --> 00:01:20.680]  這是什麼教會呢
[00:01:20.680 --> 00:01:24.120]  是神明和良堂多個分堂
[00:01:24.120 --> 00:01:26.640]  在美國所執的分堂
[00:01:26.640 --> 00:01:29.280]  這個很有意思 感謝主
