
[00:00:00.000 --> 00:00:02.980]  早陣子看了一個節目
[00:00:02.980 --> 00:00:04.320]  一個特輯
[00:00:04.320 --> 00:00:05.360]  不知道大家有沒有看過
[00:00:05.360 --> 00:00:09.360]  叫做《2045智能世界》
[00:00:09.360 --> 00:00:13.160]  大家都很迷惘 應該都沒有看過
[00:00:13.160 --> 00:00:17.000]  在這個節目 這個特輯裏面說什麼呢
[00:00:17.000 --> 00:00:20.680]  其實這個節目是2015年播出的
[00:00:20.680 --> 00:00:22.680]  我最近才看
[00:00:22.680 --> 00:00:25.320]  這個節目就是2015年的時候說
[00:00:25.320 --> 00:00:30.120]  接下來30年的科技如何影響我們的生活
[00:00:30.120 --> 00:00:33.120]  很多令人讚嘆的事情
[00:00:33.120 --> 00:00:35.120]  很多 真的很多
[00:00:35.120 --> 00:00:38.680]  原來有一個是說警察現在可以靠著電腦分析
[00:00:38.680 --> 00:00:40.680]  就知道接下來這一天裏面
[00:00:40.680 --> 00:00:43.120]  哪個地方犯什麼罪的機會很大
[00:00:43.120 --> 00:00:45.480]  就會去那裏巡邏多一點
[00:00:45.480 --> 00:00:47.120]  很奇怪
[00:00:47.120 --> 00:00:52.320]  另外有一個令我很驚嘆 很讚嘆
[00:00:52.320 --> 00:00:59.560]  原來每一天我們知道電腦的速度在增加快 加快
[00:00:59.560 --> 00:01:04.320]  原來電腦的速度和我們的壽命很有關係
[00:01:04.320 --> 00:01:08.720]  我們原來的科學家計算出來
[00:01:08.720 --> 00:01:12.240]  每一天電腦加快的速度直接影響我們
[00:01:12.240 --> 00:01:14.880]  我們可以長五個小時的生命
[00:01:14.880 --> 00:01:15.880]  知不知道什麼意思
[00:01:15.880 --> 00:01:17.880]  即是我們每一天就多五個小時
[00:01:17.880 --> 00:01:19.880]  每一天多五個小時
[00:01:23.320 --> 00:01:25.880]  計算著計算著 科學家就開始計算了
[00:01:25.880 --> 00:01:32.840]  原來去到2045年 人的平均壽命是100歲
[00:01:32.840 --> 00:01:36.840]  大家想不想100歲
[00:01:36.840 --> 00:01:40.840]  我每一條紋身 大家都是說不想
[00:01:40.840 --> 00:01:44.840]  不想100歲 為什麼不想100歲
[00:01:44.840 --> 00:01:48.840]  因為怕什麼都做不到是不是100歲 是不是
[00:01:48.840 --> 00:01:50.840]  我再講一個消息給你聽
[00:01:50.840 --> 00:01:52.840]  都是在節目裡面講給我聽的
[00:01:52.840 --> 00:01:58.840]  原來科學家已經找到逆鱗的秘密
[00:01:58.840 --> 00:02:00.840]  知不知道什麼叫逆鱗的秘密
[00:02:00.840 --> 00:02:03.840]  這台有弟兄額頭
[00:02:03.840 --> 00:02:05.840]  我堂堂的弟兄都不知道什麼叫逆鱗的秘密
[00:02:05.840 --> 00:02:07.840]  姐妹就額頭
[00:02:07.840 --> 00:02:09.840]  逆鱗的秘密 什麼叫逆鱗的秘密
[00:02:09.840 --> 00:02:13.840]  即是 怎樣
[00:02:13.840 --> 00:02:15.840]  不再老不得止 還怎樣
[00:02:15.840 --> 00:02:18.840]  年輕 越來越年輕 想不想
[00:02:18.840 --> 00:02:20.840]  那100歲現在制不制
[00:02:20.840 --> 00:02:24.840]  現在就制了
[00:02:24.840 --> 00:02:26.840]  現在就制
[00:02:26.840 --> 00:02:28.840]  逆鱗的秘密 很有趣
[00:02:28.840 --> 00:02:30.840]  先看看逆鱗的秘密
[00:02:30.840 --> 00:02:33.840]  科學家在人的身體基因裡面
[00:02:33.840 --> 00:02:37.840]  找到一種代謝物質 叫NMN
[00:02:37.840 --> 00:02:39.840]  這種NMN是什麼呢
[00:02:39.840 --> 00:02:41.840]  原來是在我們年輕的時候
[00:02:41.840 --> 00:02:44.840]  在我們身體裡面分泌出來的一種物質
[00:02:44.840 --> 00:02:46.840]  這種物質很奇怪
[00:02:46.840 --> 00:02:48.840]  會怎樣呢
[00:02:48.840 --> 00:02:52.840]  令到我們的細胞有活力 年輕化
[00:02:52.840 --> 00:02:54.840]  正不正 很正
[00:02:54.840 --> 00:02:56.840]  科學家研究這種物質的時候
[00:02:56.840 --> 00:02:58.840]  還發現一個秘密
[00:02:58.840 --> 00:03:00.840]  原來這種物質不單止令到我們的細胞
[00:03:00.840 --> 00:03:02.840]  年輕 有活力
[00:03:02.840 --> 00:03:04.840]  更加是怎樣呢
[00:03:04.840 --> 00:03:08.840]  更加是將一些壞了的細胞
[00:03:08.840 --> 00:03:10.840]  去修復
[00:03:10.840 --> 00:03:12.840]  嘩 很厲害
[00:03:12.840 --> 00:03:14.840]  他們用了一隻老鼠做實驗
[00:03:14.840 --> 00:03:16.840]  這隻老鼠是有糖尿病的
[00:03:16.840 --> 00:03:18.840]  老鼠也有糖尿病
[00:03:18.840 --> 00:03:21.840]  那隻糖尿病的老鼠就餵牠吃這隻NMN
[00:03:21.840 --> 00:03:23.840]  餵了一個星期
[00:03:23.840 --> 00:03:25.840]  吃了一個星期之後
[00:03:25.840 --> 00:03:27.840]  那隻老鼠竟然
[00:03:27.840 --> 00:03:30.840]  那個胰臟好得不止
[00:03:30.840 --> 00:03:32.840]  還要年輕了
[00:03:32.840 --> 00:03:34.840]  那個胰臟年輕了 整隻老鼠都年輕了
[00:03:34.840 --> 00:03:36.840]  厲害吧
[00:03:36.840 --> 00:03:38.840]  是不是馬上想上網看看
[00:03:38.840 --> 00:03:40.840]  不要吧
[00:03:42.840 --> 00:03:44.840]  很厲害
[00:03:44.840 --> 00:03:46.840]  很厲害
[00:03:46.840 --> 00:03:48.840]  我早前才看
[00:03:48.840 --> 00:03:50.840]  知道這個節目2015年推出
[00:03:50.840 --> 00:03:52.840]  馬上上網找找這隻
[00:03:52.840 --> 00:03:54.840]  NMN
[00:03:54.840 --> 00:03:56.840]  原來日本已經有藥廠
[00:03:56.840 --> 00:03:58.840]  推出了
[00:03:58.840 --> 00:04:00.840]  可以賣了
[00:04:00.840 --> 00:04:02.840]  過了臨床的測試
[00:04:02.840 --> 00:04:04.840]  可以賣了
[00:04:04.840 --> 00:04:06.840]  香港能不能賣
[00:04:06.840 --> 00:04:08.840]  香港不知道能不能賣
[00:04:08.840 --> 00:04:10.840]  其實我沒有深研究下去
[00:04:10.840 --> 00:04:12.840]  請你告訴我
[00:04:12.840 --> 00:04:14.840]  如果知道的話
[00:04:14.840 --> 00:04:16.840]  很厲害
[00:04:16.840 --> 00:04:22.840]  其實我一邊看特輯
[00:04:22.840 --> 00:04:24.840]  一邊去思考今天的題目
[00:04:24.840 --> 00:04:26.840]  今天是什麼題目呢
[00:04:26.840 --> 00:04:30.840]  今天是講耶和華拉法
[00:04:30.840 --> 00:04:32.840]  這位醫治主的心
[00:04:32.840 --> 00:04:34.840]  一邊看一邊想
[00:04:34.840 --> 00:04:38.840]  當一種藥物
[00:04:38.840 --> 00:04:40.840]  來到神級的位置
[00:04:40.840 --> 00:04:42.840]  好像什麼都能搞定
[00:04:42.840 --> 00:04:44.840]  這個時候
[00:04:44.840 --> 00:04:46.840]  究竟
[00:04:46.840 --> 00:04:48.840]  耶和華拉法
[00:04:48.840 --> 00:04:50.840]  上帝這個自己
[00:04:50.840 --> 00:04:52.840]  的宣稱
[00:04:52.840 --> 00:04:54.840]  國際醫治的那個位
[00:04:54.840 --> 00:04:56.840]  當他這樣說的時候
[00:04:56.840 --> 00:04:58.840]  跟我們有什麼關係
