
[00:00:00.000 --> 00:00:09.500]  現在十月是我們尋求榮之後第一個開始一季新的開始
[00:00:09.500 --> 00:00:16.000]  我們知道這一季其中一個 這一年度其中一個講到我們與神親密的關係
[00:00:16.000 --> 00:00:20.000]  我覺得今早我們一開始敬拜神就已經向我們說話
[00:00:20.000 --> 00:00:25.500]  祂是使我們靈魂甦醒的位置 祂是會更新我們生命的位置
[00:00:25.500 --> 00:00:29.500]  願神的話語繼續更新鼓勵我們
[00:00:29.500 --> 00:00:33.000]  我們打開聖經 看我們今天要看的經文
[00:01:00.500 --> 00:01:03.000]  十九節 找到我們一起讀 請
[00:01:03.000 --> 00:01:18.000]  這段聖經是記載在楊富欽二十一章
[00:01:18.000 --> 00:01:24.000]  如果你看第十四節是耶穌復活之後第三次向門徒顯現
[00:01:24.000 --> 00:01:28.000]  其實不止第三次顯現給其他人看
[00:01:28.000 --> 00:01:32.000]  不過他說向教會 向門徒顯現
[00:01:32.000 --> 00:01:39.000]  有一章記載一次他們在聚會裡
[00:01:39.000 --> 00:01:42.000]  耶穌復活在中間顯現 願你們平安
[00:01:42.000 --> 00:01:45.000]  然後先後有兩次向門徒顯現
[00:01:45.000 --> 00:01:50.000]  這就是聖經記載向門徒顯現第三次
[00:01:50.000 --> 00:01:58.000]  而且這次讀的經文是德德 記載耶穌和彼得單獨的對話
[00:01:58.000 --> 00:02:00.000]  和他的親近
[00:02:00.000 --> 00:02:03.000]  其實彼得我們都認識的 很多時候都看的
[00:02:03.000 --> 00:02:08.000]  這個時刻其實是彼得生命裡最關鍵的時刻
[00:02:08.000 --> 00:02:13.000]  是他生命裡一個躍進一個跨越的時刻
[00:02:13.000 --> 00:02:17.000]  大家知道這裡有三次問彼得
[00:02:17.000 --> 00:02:21.000]  其實大家知道彼得之前有三次做什麼
[00:02:21.000 --> 00:02:23.000]  不認主
[00:02:23.000 --> 00:02:26.000]  我們看之前發生什麼事
[00:02:26.000 --> 00:02:34.000]  看馬太福音第26章31節
[00:02:34.000 --> 00:02:36.000]  我們一起讀
[00:02:48.000 --> 00:02:54.000]  但我復活以後要在你們耳先往加利利去
[00:02:54.000 --> 00:02:57.000]  眾人雖然為你的緣故跌倒
[00:02:57.000 --> 00:02:59.000]  我卻永不跌倒
[00:02:59.000 --> 00:03:02.000]  耶穌說我實在告訴你
[00:03:02.000 --> 00:03:04.000]  今夜雞叫耳先
[00:03:04.000 --> 00:03:06.000]  你要三次不認我
[00:03:06.000 --> 00:03:10.000]  我就是必會和你同死
[00:03:10.000 --> 00:03:12.000]  也總不能不認你
[00:03:12.000 --> 00:03:14.000]  我們和道次這樣說
[00:03:14.000 --> 00:03:21.000]  這裡是三次不認主的前面要說的
[00:03:21.000 --> 00:03:24.000]  其實耶穌最後晚餐的時候跟我們說
[00:03:24.000 --> 00:03:29.000]  跟著就說牧人要被擊打羊就分散
[00:03:29.000 --> 00:03:31.000]  其實是經常的說
[00:03:31.000 --> 00:03:33.000]  是神命定會發生的
[00:03:33.000 --> 00:03:35.000]  彼得說什麼呢
[00:03:35.000 --> 00:03:37.000]  彼得就很大的口氣
[00:03:37.000 --> 00:03:39.000]  看不看到
