
[00:00:00.000 --> 00:00:03.600]  歷代自下第七章第一節
[00:00:03.600 --> 00:00:04.960]  我們一同來唸 好不好
[00:00:04.960 --> 00:00:07.280]  來 所羅門祈禱已畢
[00:00:07.280 --> 00:00:09.680]  就由火從天上降下來
[00:00:09.680 --> 00:00:12.200]  燒盡繁基和別的祭
[00:00:12.200 --> 00:00:14.920]  耶和華的榮光充滿了電
[00:00:14.920 --> 00:00:16.600]  我們就讀到這裏
[00:00:16.600 --> 00:00:17.600]  兄弟姐妹們 今天是
[00:00:17.600 --> 00:00:19.520]  Sekanagor建電工程
[00:00:19.520 --> 00:00:21.440]  動土典禮的日子
[00:00:21.440 --> 00:00:23.000]  興奮嗎
[00:00:23.000 --> 00:00:27.400]  兄弟們 哈利路亞
[00:00:27.400 --> 00:00:29.920]  回想我們從2007年開始
[00:00:29.920 --> 00:00:32.960]  就考慮要建第二期工程
[00:00:32.960 --> 00:00:35.160]  直到現在
[00:00:35.160 --> 00:00:38.840]  中間經過多少的高山與低谷
[00:00:38.840 --> 00:00:42.920]  現在終於要動土準備開工了
[00:00:42.920 --> 00:00:46.960]  真是有一種夢想成真的感覺
[00:00:46.960 --> 00:00:48.480]  在這裏真的要感謝
[00:00:48.480 --> 00:00:49.640]  每一位弟兄姐妹
[00:00:49.640 --> 00:00:54.080]  對Sekanagor建電計劃的支持跟擺上
[00:00:54.080 --> 00:00:58.200]  想想看從2015年6月
[00:00:58.200 --> 00:01:01.840]  直到現在 還不到兩年的時間
[00:01:01.840 --> 00:01:05.560]  我們都籌到將近800萬的現金
[00:01:05.560 --> 00:01:07.720]  這不是神的恩典跟神蹟嗎
[00:01:07.720 --> 00:01:08.440]  Amen
[00:01:08.440 --> 00:01:12.520]  讓我們將榮耀歸給我們的神
[00:01:12.520 --> 00:01:14.800]  另一方面也要特別感謝大家
[00:01:14.800 --> 00:01:18.360]  對我們Shuttle Bus Program的支持
[00:01:18.360 --> 00:01:21.560]  上禮拜一共有250輛車子
[00:01:21.560 --> 00:01:23.200]  停在Shuttle Station
[00:01:23.200 --> 00:01:25.480]  比以前多了100部
[00:01:25.480 --> 00:01:28.520]  我們需要大家繼續來支持
[00:01:28.520 --> 00:01:31.000]  我們停車的這樣一個事工
[00:01:31.000 --> 00:01:34.320]  因爲你對停車事工的支持
[00:01:34.320 --> 00:01:37.400]  就是我們教會繼續成長
[00:01:37.400 --> 00:01:39.640]  非常重要的關鍵
[00:01:39.640 --> 00:01:40.880]  Amen
[00:01:40.880 --> 00:01:42.440]  因爲一旦開工
[00:01:42.440 --> 00:01:46.480]  我們就會損失150個停車位
[00:01:46.480 --> 00:01:48.360]  你現在還不感覺到
[00:01:48.360 --> 00:01:52.080]  等到一開工你就覺得壓力重重
[00:01:52.080 --> 00:01:52.760]  跟你朋友說
[00:01:52.760 --> 00:01:54.480]  你是教會成長不可少的關鍵
[00:01:54.480 --> 00:01:58.560]  你也跟他說
[00:01:58.560 --> 00:01:59.000]  第二點
[00:01:59.000 --> 00:02:03.000]  今天我們的神不但是一個賜下夢想的神
[00:02:03.000 --> 00:02:06.800]  我們的神也是能夠使夢想成真的神
[00:02:06.800 --> 00:02:07.800]  Amen
[00:02:07.800 --> 00:02:09.080]  前一陣子我讀到一本書
[00:02:09.080 --> 00:02:10.400]  那個書名很簡單
